neighbor10,qslots2011,qslots2012,qslots2013,qslots2014,qslots2015
Bellaire-Puritas,0,38,228,61,211
Broadway-Slavic Village,0,3,9,12,43
Brooklyn Centre,70,74,86,94,40
Buckeye-Shaker Square,55,54,124,58,62
Buckeye-Woodhill,5,6,89,57,74
Central,220,162,335,390,555
Clark-Fulton,0,4,31,17,21
Collinwood-Nottingham,14,15,11,30,18
Cudell,210,193,223,183,196
Cuyahoga Valley,0,0,0,0,0
Detroit Shoreway,150,183,183,125,139
Downtown,36,36,36,0,0
Edgewater,0,0,0,0,0
Euclid-Green,0,0,280,269,268
Fairfax,20,16,19,14,3
Glenville,172,166,224,198,153
Goodrich-Kirtland Pk,0,0,0,0,0
Hopkins,0,0,0,0,0
Hough,16,19,28,33,79
Jefferson,14,16,16,9,4
Kamm's,82,89,65,24,82
Kinsman,76,79,52,66,141
Lee-Harvard,299,374,67,384,431
Lee-Seville,0,0,7,9,11
Mount Pleasant,45,61,74,68,63
North Shore Collinwood,44,45,43,12,99
Ohio City,0,0,2,1,21
Old Brooklyn,6,6,8,6,60
St.Clair-Superior,6,84,130,155,143
Stockyards,56,60,59,14,87
Tremont,60,80,81,116,171
Union-Miles,18,17,66,58,100
University,159,128,130,163,142
West Boulevard,7,5,182,186,194
Cleveland City,1840,2013,2888,2812,3611
