neighbor10,al_sales2011,al_sales2012,al_sales2013,al_sales2014,al_sales2015,sfsale2011,sfsale2012,sfsale2013,sfsale2014,sfsale2015,mfsale2011,mfsale2012,mfsale2013,mfsale2014,mfsale2015,cdsale2011,cdsale2012,cdsale2013,cdsale2014,cdsale2015,med_al_price2011,med_al_price2012,med_al_price2013,med_al_price2014,med_al_price2015,med_sfprice2011,med_sfprice2012,med_sfprice2013,med_sfprice2014,med_sfprice2015,med_mfprice2011,med_mfprice2012,med_mfprice2013,med_mfprice2014,med_mfprice2015,med_cdprice2011,med_cdprice2012,med_cdprice2013,med_cdprice2014,med_cdprice2015,distress2011,distress2012,distress2013,distress2014,distress2015,_distress2011,_distress2012,_distress2013,_distress2014,_distress2015,pctchg_alsales,pctchgrt_sfsales,pctchgrt_mfsales,pctchgrt_cdsales,pctchgrt_distress,pctchg_medalprice,pctchg_medsfprice,pctchg_medmfprice,pctchg_medcdprice,ntal_sales2011,ntal_sales2012,ntal_sales2013,ntal_sales2014,ntal_sales2015,med_ntal_price2011,med_ntal_price2012,med_ntal_price2013,med_ntal_price2014,med_ntal_price2015,pctchgrt_ntalsales,pctchg_medntalprice,_sfsale2011,_sfsale2012,_sfsale2013,_sfsale2014,_sfsale2015,_mfsale2011,_mfsale2012,_mfsale2013,_mfsale2014,_mfsale2015,_cdsale2011,_cdsale2012,_cdsale2013,_cdsale2014,_cdsale2015,_ntalsales2011,_ntalsales2012,_ntalsales2013,_ntalsales2014,_ntalsales2015
Bellaire-Puritas,143,149,181,190,171,135,140,178,178,164,8,9,3,12,7,,,,,,25000,27000,27600,30000,32500,25100,27000,27600,29600,33375,16750.5,29500,24000,40500,15000,,,,,,17,13,15,15,15,11.89,8.72,8.29,7.89,8.77,19.58,1.59,-26.83,,-26.24,30,32.97,-10.45,,61,66,89,112,90,36000,38650,41000,36900,40000,23.37,11.11,94.41,93.96,98.34,93.68,95.91,5.59,6.04,1.66,6.32,4.09,,,,,,42.66,44.3,49.17,58.95,52.63
Broadway-Slavic Village,325,327,341,359,339,219,232,245,251,236,106,95,96,108,103,,,,,,12000,12500,12500,15000,14137,15000,12000,13500,15750,14050,9100,13400,10908.5,12764,15000,,,,,,150,138,150,130,134,46.15,42.2,43.99,36.21,39.53,4.31,3.32,-6.87,,-14.34,17.81,-6.33,64.84,,153,147,178,180,176,16000,15000,17150,17000,15500,10.28,-3.13,67.38,70.95,71.85,69.92,69.62,32.62,29.05,28.15,30.08,30.38,,,,,,47.08,44.95,52.2,50.14,51.92
Brooklyn Centre,73,71,84,103,110,51,56,58,69,70,22,15,26,34,40,,,,,,16110,15000,16000,22500,25000.5,18900,14100,17750,21600,25900,15100,19900,15000,31443.5,19700,,,,,,22,23,22,25,29,30.14,32.39,26.19,24.27,26.36,50.68,-8.9,20.64,,-12.54,55.19,37.04,30.46,,30,34,37,56,51,18000,18000,22500,26750,35000,12.8,94.44,69.86,78.87,69.05,66.99,63.64,30.14,21.13,30.95,33.01,36.36,,,,,,41.1,47.89,44.05,54.37,46.36
Buckeye-Shaker Square,109,115,140,127,178,37,46,45,42,62,53,49,61,59,71,19,20,34,26,45,21000,25101,21754.5,25000,35000,22000,17350,19500,28448.5,36450,13600,14900,9900,13000,20000,39000,61250,65000,65000,79000,36,36,50,33,39,33.03,31.3,35.71,25.98,21.91,63.3,2.62,-17.96,45.04,-33.67,66.67,65.68,47.06,102.56,51,56,71,56,91,30450,46500,49500,35500,50000,9.25,64.2,33.94,40,32.14,33.07,34.83,48.62,42.61,43.57,46.46,39.89,17.43,17.39,24.29,20.47,25.28,46.79,48.7,50.71,44.09,51.12
Buckeye-Woodhill,49,37,65,64,66,27,15,40,30,29,22,22,25,34,37,,,,,,10000,10163,15000,9850,14875,20750,18000,22204,17425,14750,5000,9200,6659,5500,16700,,,,,,26,18,29,36,27,53.06,48.65,44.62,56.25,40.91,34.69,-20.25,24.86,,-22.9,48.75,-28.92,234,,23,14,31,33,33,25000,25000,25100,16000,21700,6.52,-13.2,55.1,40.54,61.54,46.88,43.94,44.9,59.46,38.46,53.13,56.06,,,,,,46.94,37.84,47.69,51.56,50
Central,15,19,35,26,28,11,18,31,20,22,4,1,2,4,2,,,2,2,4,25000,44900,36000,43250,34250,34900,51100,40000,112400,62475,8000,7800,18150,19125,8050,,,1820,5881,4350,4,2,4,6,10,26.67,10.53,11.43,23.08,35.71,86.67,7.15,-73.23,,33.9,37,79.01,0.63,,5,4,7,6,4,16000,57650,28000,14600,23875,-57.13,49.22,73.33,94.74,88.57,76.92,78.57,26.67,5.26,5.71,15.38,7.14,,,5.71,7.69,14.29,33.33,21.05,20,23.08,14.29
Clark-Fulton,75,68,92,107,114,45,43,51,61,65,30,25,41,46,49,,,,,,11000,13800,16125,19900,19860.5,13000,14100,16000,19900,20000,10000,13500,17842,18750,17000,,,,,,37,27,28,35,30,49.33,39.71,30.43,32.71,26.32,52,-4.97,7.45,,-46.65,80.55,53.85,70,,39,36,34,40,63,15000,15286.5,21375,24200,20000,6.27,33.33,60,63.24,55.43,57.01,57.02,40,36.76,44.57,42.99,42.98,,,,,,52,52.94,36.96,37.38,55.26
Collinwood-Nottingham,130,139,175,173,172,76,82,95,93,92,54,57,80,80,80,,,,,,11134,10000,14900,17900,16000,11050,11500,15500,17900,16250,11750,8500,11270,17500,16000,,,,,,61,70,74,53,46,46.92,50.36,42.29,30.64,26.74,32.31,-8.5,11.96,,-43.01,43.7,47.06,36.17,,45,33,59,73,65,12000,13000,17500,19750,20154,9.16,67.95,58.46,58.99,54.29,53.76,53.49,41.54,41.01,45.71,46.24,46.51,,,,,,34.62,23.74,33.71,42.2,37.79
Cudell,66,82,75,109,111,43,55,54,77,80,23,27,21,32,31,,,,,,20000,17750,19000,22000,20000,20000,20000,16382.5,20000,20000,20000,15000,22750,23750,20200,,,,,,14,23,19,20,32,21.21,28.05,25.33,18.35,28.83,68.18,10.62,-19.86,,35.93,0,0,1,,26,40,35,57,52,25000,19250,19000,27000,25000,18.94,0,65.15,67.07,72,70.64,72.07,34.85,32.93,28,29.36,27.93,,,,,,39.39,48.78,46.67,52.29,46.85
Cuyahoga Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
