cdc_name,rpass502011,rpass502012,rpass502013,rpass502014,rpass502015,rpass102011,rpass102012,rpass102013,rpass102014,rpass102015,rpass202011,rpass202012,rpass202013,rpass202014,rpass202015,rpass412011,rpass412012,rpass412013,rpass412014,rpass412015,mpass502011,mpass502012,mpass502013,mpass502014,mpass502015,mpass102011,mpass102012,mpass102013,mpass102014,mpass102015,mpass202011,mpass202012,mpass202013,mpass202014,mpass202015,mpass412011,mpass412012,mpass412013,mpass412014,mpass412015,_rpass502011,_rpass502012,_rpass502013,_rpass502014,_rpass502015,_rpass102011,_rpass102012,_rpass102013,_rpass102014,_rpass102015,_rpass202011,_rpass202012,_rpass202013,_rpass202014,_rpass202015,_rpass412011,_rpass412012,_rpass412013,_rpass412014,_rpass412015,_mpass502011,_mpass502012,_mpass502013,_mpass502014,_mpass502015,_mpass102011,_mpass102012,_mpass102013,_mpass102014,_mpass102015,_mpass202011,_mpass202012,_mpass202013,_mpass202014,_mpass202015,_mpass412011,_mpass412012,_mpass412013,_mpass412014,_mpass412015,pctchgrt_rpass50,pctchgrt_rpass10,pctchgrt_rpass20,pctchgrt_rpass41,pctchgrt_mpass50,pctchgrt_mpass10,pctchgrt_mpass20,pctchgrt_mpass41
Bellaire Puritas Community Dev. Corp.,115,142,130,130,999999,132,105,133,130,999999,135,156,101,99,999999,112,116,120,125,108,116,140,127,110,999999,111,95,106,119,999999,93,130,67,85,999999,93,115,110,97,112,60.21,70.65,75.14,71.43,999999,65.67,66.04,73.08,76.47,999999,71.43,77.23,61.96,63.87,999999,72.26,69.88,74.53,79.62,60,60.73,69.65,73.41,64.33,999999,55.22,59.75,58.24,70.41,999999,49.21,64.68,41.1,54.84,999999,59.24,68.86,68.32,61.78,61.54,999999,999999,999999,-16.97,999999,999999,999999,3.88
Buckeye Area Dev Corp.,60,70,46,54,999999,82,50,66,50,999999,90,82,64,59,999999,101,96,86,89,71,65,62,54,45,999999,54,43,40,37,999999,55,45,33,38,999999,93,85,69,61,56,39.47,47.3,44.23,42.19,999999,52.23,38.46,54.1,49.5,999999,59.21,64.06,47.76,46.09,999999,55.19,63.58,68.25,72.36,62.83,42.76,41.89,52.43,37.82,999999,34.39,33.08,32.79,36.63,999999,36.18,35.16,24.63,29.46,999999,51.38,55.92,51.11,50.41,47.46,999999,999999,999999,13.84,999999,999999,999999,-7.63
Burton Bell Carr Dev. Corp.,128,91,66,66,999999,73,110,86,51,999999,80,104,49,60,999999,73,69,79,90,77,120,91,68,50,999999,60,68,57,38,999999,45,43,26,27,999999,62,66,65,63,69,49.04,39.39,36.07,38.15,999999,38.42,52.63,49.14,33.12,999999,43.48,58.76,38.28,40.54,999999,51.05,50.74,64.23,68.18,56.2,45.98,39.74,37.57,29.76,999999,31.58,32.54,32.76,24.84,999999,24.46,24.29,20.31,18.24,999999,44.6,47.83,52.42,46.32,51.88,999999,999999,999999,10.09,999999,999999,999999,16.32
"Campus District, Inc.",32,19,11,12,999999,8,18,17,4,999999,12,12,5,8,999999,8,8,999999,9,999999,23,21,17,5,999999,7,10,12,6,999999,9,4,1,4,999999,5,10,999999,5,999999,62.75,43.18,34.38,46.15,999999,32,56.25,51.52,19.05,999999,41.38,48,21.74,61.54,999999,50,42.11,999999,90,999999,45.1,47.73,53.13,20,999999,28,31.25,36.36,28.57,999999,31.03,16,4.35,30.77,999999,31.25,55.56,999999,45.45,999999,999999,999999,999999,999999,999999,999999,999999,999999
Collinwood Nottingham Villages Dev. Corp.,24,18,11,21,999999,24,14,16,14,999999,28,25,20,19,999999,42,40,28,44,15,22,12,8,14,999999,12,8,10,16,999999,10,14,10,11,999999,34,34,22,20,8,41.38,45,52.38,58.33,999999,52.17,46.67,45.71,43.75,999999,58.33,59.52,62.5,52.78,999999,70,54.79,65.12,84.62,48.39,37.93,30,38.1,38.89,999999,26.09,26.67,28.57,50,999999,20.83,33.33,31.25,29.73,999999,54.84,45.95,50,37.74,25.81,999999,999999,999999,-30.87,999999,999999,999999,-52.94
"Cudell Improvement, Inc.",73,66,63,85,999999,74,69,63,73,999999,89,71,54,52,999999,61,49,45,45,61,83,67,61,76,999999,61,65,47,54,999999,77,60,37,38,999999,57,49,45,37,51,58.87,58.93,60,69.67,999999,60.16,58.47,62.38,70.87,999999,66.42,79.78,58.06,57.78,999999,59.22,53.85,52.33,52.33,62.89,66.94,59.82,58.1,63.87,999999,49.59,55.56,46.53,51.92,999999,57.46,67.42,40.22,42.22,999999,56.44,53.85,50.56,43.02,53.13,999999,999999,999999,6.2,999999,999999,999999,-5.86
Detroit Shoreway Community Dev. Org.,60,53,54,55,999999,69,71,75,47,999999,84,57,50,48,999999,57,42,47,62,53,62,57,55,52,999999,61,51,61,37,999999,61,38,27,40,999999,51,40,39,44,50,54.05,51.96,62.79,56.12,999999,55.65,74.74,74.26,58.75,999999,67.2,66.28,49.5,51.61,999999,61.29,54.55,71.21,74.7,63.86,55.86,57,63.95,54.17,999999,49.19,53.68,60.4,45.68,999999,48.8,44.19,27,42.55,999999,53.13,51.28,58.21,53.66,60.98,999999,999999,999999,4.19,999999,999999,999999,14.78
Fairfax Renaissance Dev. Corp.,22,21,20,17,999999,25,18,20,17,999999,24,18,21,19,999999,35,25,18,31,16,30,14,16,13,999999,11,12,12,12,999999,21,3,11,13,999999,35,20,11,24,17,43.14,63.64,62.5,40.48,999999,47.17,43.9,64.52,51.52,999999,48,48.65,48.84,48.72,999999,60.34,56.82,64.29,73.81,55.17,58.82,42.42,51.61,30.95,999999,20.75,29.27,38.71,36.36,999999,42,8.11,25.58,32.5,999999,60.34,42.55,37.93,54.55,60.71,999999,999999,999999,-8.57,999999,999999,999999,0.61
Famicos Foundation,109,85,74,67,999999,93,89,99,64,999999,107,104,67,59,999999,125,91,86,99,105,97,85,73,52,999999,64,55,56,41,999999,73,43,43,42,999999,108,82,70,76,82,54.77,47.22,43.53,54.03,999999,48.95,53.94,56.57,46.72,999999,54.87,61.9,44.67,48.76,999999,59.81,55.49,58.11,66.44,65.22,48.74,47.75,42.94,43.33,999999,33.68,33.33,32,29.93,999999,37.44,25.6,28.67,34.71,999999,51.43,47.4,45.75,50.67,50.93,999999,999999,999999,9.05,999999,999999,999999,-0.97
Flats Forward,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
