cdc_name,v2010,v2011,v2012,v2013,v2014,h2010,h2011,h2012,h2013,h2014,r2010,r2011,r2012,r2013,r2014,ro2010,ro2011,ro2012,ro2013,ro2014,ag2010,ag2011,ag2012,ag2013,ag2014,a2010,a2011,a2012,a2013,a2014,dv2010,dv2011,dv2012,dv2013,dv2014,p2010,p2011,p2012,p2013,p2014,b2010,b2011,b2012,b2013,b2014,l2010,l2011,l2012,l2013,l2014,mv2010,mv2011,mv2012,mv2013,mv2014,ar2010,ar2011,ar2012,ar2013,ar2014,d2010,d2011,d2012,d2013,d2014,dp2010,dp2011,dp2012,dp2013,dp2014,dt2010,dt2011,dt2012,dt2013,dt2014,od2010,od2011,od2012,od2013,od2014,lq2010,lq2011,lq2012,lq2013,lq2014,Ia2010,Ia2011,Ia2012,Ia2013,Ia2014,II2010,II2011,II2012,II2013,II2014,_v2010,_v2011,_v2012,_v2013,_v2014,_h2010,_h2011,_h2012,_h2013,_h2014,_r2010,_r2011,_r2012,_r2013,_r2014,_ro2010,_ro2011,_ro2012,_ro2013,_ro2014,_ag2010,_ag2011,_ag2012,_ag2013,_ag2014,_a2010,_a2011,_a2012,_a2013,_a2014,_dv2010,_dv2011,_dv2012,_dv2013,_dv2014,_p2010,_p2011,_p2012,_p2013,_p2014,_b2010,_b2011,_b2012,_b2013,_b2014,_l2010,_l2011,_l2012,_l2013,_l2014,_mv2010,_mv2011,_mv2012,_mv2013,_mv2014,_ar2010,_ar2011,_ar2012,_ar2013,_ar2014,_d2010,_d2011,_d2012,_d2013,_d2014,_dp2010,_dp2011,_dp2012,_dp2013,_dp2014,_dt2010,_dt2011,_dt2012,_dt2013,_dt2014,_od2010,_od2011,_od2012,_od2013,_od2014,_lq2010,_lq2011,_lq2012,_lq2013,_lq2014,_Ia2010,_Ia2011,_Ia2012,_Ia2013,_Ia2014,_II2010,_II2011,_II2012,_II2013,_II2014,pctchgrt_v,pctchgrt_h,pctchgrt_r,pctchgrt_ro,pctchgrt_ag,pctchgrt_a,pctchgrt_dv,pctchgrt_p,pctchgrt_b,pctchgrt_l,pctchgrt_mv,pctchgrt_ar,pctchgrt_d,pctchgrt_dp,pctchgrt_dt,pctchgrt_od,pctchgrt_lq,pctchgrt_Ia,pctchgrt_II
Bellaire Puritas Community Dev. Corp.,207,163,179,166,191,3,3,1,0,1,18,14,22,21,20,114,96,108,93,112,72,50,48,52,58,332,311,336,326,332,233,233,191,226,249,1126,1214,1273,1453,1303,377,459,454,454,344,597,582,640,801,788,142,160,171,187,159,10,13,8,11,12,114,68,47,74,71,76,52,34,39,36,38,15,12,35,31,0,1,1,0,4,9,3,4,2,2,1333,1377,1452,1619,1494,1313,1022,1217,1258,1319,870.85,693.29,763.68,710.36,822.05,12.62,12.76,4.27,0,4.3,75.73,59.55,93.86,89.87,86.08,479.6,408.32,460.77,397.98,482.04,302.91,212.67,204.79,222.52,249.63,1396.73,1322.79,1433.51,1395.05,1428.91,980.24,991.03,814.88,967.12,1071.68,4737.11,5163.54,5431.11,6217.83,5608.05,1586.05,1952.28,1936.94,1942.8,1480.56,2511.59,2475.44,2730.49,3427.72,3391.51,597.4,680.53,729.55,800.23,684.33,42.07,55.29,34.13,47.07,51.65,479.6,289.23,200.52,316.67,305.58,319.73,221.17,145.06,166.89,154.94,159.87,63.8,51.2,149.78,133.42,0,4.25,4.27,0,17.22,37.86,12.76,17.07,8.56,8.61,5607.97,5856.84,6194.79,6928.19,6430.1,5523.83,4346.9,5192.19,5383.36,5676.91,-5.6,-65.93,13.67,0.51,-17.59,2.3,9.33,18.39,-6.65,35.03,14.55,22.77,-36.28,-51.54,-16.54,,-77.26,14.66,2.77
Buckeye Area Dev Corp.,344,354,399,397,375,2,5,9,4,8,16,15,29,39,27,181,186,224,208,199,145,148,137,146,141,446,438,508,488,478,358,338,348,378,398,1318,1693,1553,1441,1432,593,864,672,502,488,469,515,540,532,654,245,297,319,384,265,11,17,22,23,25,164,124,133,111,78,120,90,100,80,58,43,32,27,29,20,1,2,6,2,0,3,4,1,4,6,1662,2047,1952,1838,1807,1807,1567,1889,1897,2010,1429.84,1487.61,1681.85,1678.49,1594.61,8.31,21.01,37.94,16.91,34.02,66.5,63.03,122.24,164.89,114.81,752.33,781.62,944.2,879.41,846.2,602.7,621.94,577.48,617.28,599.57,1853.81,1840.6,2141.31,2063.23,2032.59,1488.04,1420.37,1466.88,1598.16,1692.41,5478.3,7114.45,6546.16,6092.45,6089.27,2464.82,3630.76,2832.6,2122.42,2075.11,1949.41,2164.17,2276.19,2249.26,2780.99,1018.35,1248.08,1344.64,1623.53,1126.86,45.72,71.44,92.73,97.24,106.31,681.67,521.08,560.62,469.3,331.68,498.78,378.2,421.52,338.23,246.63,178.73,134.47,113.81,122.61,85.05,4.16,8.4,25.29,8.46,0,12.47,16.81,4.22,16.91,25.51,6908.14,8602.05,8228.02,7770.94,7683.88,7510.84,6584.96,7962.46,8020.39,8547.09,11.52,309.39,72.65,12.48,-0.52,9.64,13.73,11.15,-15.81,42.66,10.66,132.52,-51.34,-50.55,-52.41,-100,104.57,11.23,13.8
Burton Bell Carr Dev. Corp.,506,555,514,538,483,8,9,8,3,8,36,35,51,39,50,270,310,262,316,228,192,201,193,180,197,715,655,624,628,680,402,386,366,388,413,1286,1356,1268,1113,1174,634,622,541,436,424,454,466,484,426,478,181,248,227,233,250,17,20,16,18,22,251,204,199,176,154,139,107,92,81,86,101,88,94,78,57,11,9,13,17,11,18,12,6,5,7,1792,1911,1782,1651,1657,2312,1943,2118,2042,2190,2713.07,3008.55,2794.85,2934.2,2649.41,42.89,48.79,43.5,16.36,43.88,193.02,189.73,277.31,212.7,274.27,1447.68,1680.45,1424.61,1723.43,1250.65,1029.46,1089.58,1049.43,981.7,1080.61,3833.68,3550.63,3392.96,3425.05,3730.01,2155.44,2092.43,1990.1,2116.11,2265.43,6895.26,7350.61,6894.68,6070.19,6439.76,3399.37,3371.74,2941.66,2377.9,2325.77,2434.25,2526.09,2631.72,2323.36,2621.98,970.48,1344.36,1234.3,1270.76,1371.33,91.15,108.42,87,98.17,120.68,1345.81,1105.84,1082.05,959.89,844.74,745.29,580.03,500.24,441.77,471.74,541.54,477.03,511.12,425.4,312.66,58.98,48.79,70.69,92.72,60.34,96.51,65.05,32.62,27.27,38.4,9608.33,10359.16,9689.52,9004.39,9089.17,12396.46,10532.62,11516.5,11136.87,12012.84,-2.35,2.31,42.09,-13.61,4.97,-2.7,5.1,-6.61,-31.58,7.71,41.3,32.4,-37.23,-36.7,-42.26,2.31,-60.21,-5.4,-3.09
"Campus District, Inc.",125,147,104,120,108,4,2,2,0,0,8,11,13,13,9,63,83,47,67,50,50,51,42,40,49,175,179,219,155,224,89,83,72,75,61,379,367,351,282,274,112,99,53,70,45,221,209,242,158,188,44,57,53,49,39,2,2,3,5,2,38,37,70,49,64,24,21,45,39,44,13,15,21,8,19,1,1,4,2,1,5,3,3,0,0,504,514,455,402,382,509,452,556,460,537,2539.28,3019.06,2142.49,2479.59,2244.48,81.26,41.08,41.2,0,0,162.51,225.92,267.81,268.62,187.04,1279.8,1704.64,968.24,1384.44,1039.11,1015.71,1047.43,865.24,826.53,1018.33,3554.99,3676.27,4511.59,3202.8,4655.22,1807.97,1704.64,1483.26,1549.74,1267.72,7699.1,7537.38,7230.9,5827.03,5694.33,2275.2,2033.25,1091.85,1446.43,935.2,4489.45,4292.41,4985.41,3264.79,3907.06,893.83,1170.66,1091.85,1012.5,810.51,40.63,41.08,61.8,103.32,41.56,771.94,759.9,1442.06,1012.5,1330.06,487.54,431.29,927.04,805.87,914.42,264.09,308.07,432.62,165.31,394.86,20.31,20.54,82.4,41.33,20.78,101.57,61.61,61.8,0,0,10238.38,10556.45,9373.39,8306.62,7938.82,10339.95,9283.1,11454.08,9505.09,11160.06,-11.61,-100,15.09,-18.81,0.26,30.95,-29.88,-26.04,-58.9,-12.97,-9.32,2.29,72.3,87.56,49.52,2.31,-100,-22.46,7.93
Collinwood Nottingham Villages Dev. Corp.,82,90,83,112,117,2,0,2,1,0,5,4,4,9,13,37,34,34,56,57,38,52,43,46,47,187,161,196,209,191,118,105,85,132,135,456,422,504,426,360,250,243,267,153,146,148,118,167,191,166,54,58,64,77,46,4,3,6,5,2,92,71,70,36,51,70,55,52,26,31,21,16,15,9,17,1,0,3,1,3,1,2,1,1,3,538,512,587,538,477,668,568,688,705,687,1298.25,1440.59,1332.62,1803.68,1895.06,31.66,0,32.11,16.1,0,79.16,64.03,64.22,144.94,210.56,585.8,544.22,545.89,901.84,923.23,601.63,832.34,690.39,740.8,761.26,2960.64,2577.06,3146.92,3365.8,3093.64,1868.21,1680.69,1364.73,2125.77,2186.6,7219.53,6754.77,8092.07,6860.43,5830.94,3958.08,3889.6,4286.87,2463.96,2364.77,2343.18,1888.78,2681.3,3075.92,2688.71,854.94,928.38,1027.56,1240.03,745.06,63.33,48.02,96.33,80.52,32.39,1456.57,1136.47,1123.9,579.75,826.05,1108.26,880.36,834.9,418.71,502.11,332.48,256.11,240.84,144.94,275.35,15.83,0,48.17,16.1,48.59,15.83,32.01,16.06,16.1,48.59,8517.78,8195.36,9424.69,8664.12,7726,10575.98,9091.73,11046.32,11353.53,11127.38,45.97,-100,165.99,57.6,26.53,4.49,17.04,-19.23,-40.25,14.75,-12.85,-48.86,-43.29,-54.69,-17.18,206.95,206.95,-9.3,5.21
"Cudell Improvement, Inc.",235,210,197,283,239,4,4,3,4,0,16,18,17,26,31,134,119,113,164,148,81,69,64,89,60,389,323,315,387,365,235,192,190,256,235,800,933,904,862,844,337,416,389,300,300,343,362,367,417,378,109,143,141,141,157,11,12,7,4,9,174,192,155,141,123,102,82,80,66,75,71,108,73,70,47,1,2,2,5,1,3,2,3,3,1,1035,1143,1101,1145,1083,1340,1107,1361,1434,1323,1526.62,1379.23,1297.82,1870.03,1588.38,25.99,26.27,19.76,26.43,0,103.94,118.22,111.99,171.8,206.02,870.5,781.56,744.44,1083.69,983.6,526.2,453.18,421.63,588.1,398.76,2527.05,2121.39,2075.2,2557.24,2425.76,1526.62,1261.01,1251.7,1691.61,1561.79,5197.01,6127.72,5955.48,5695.98,5609.16,2189.24,2732.19,2562.7,1982.36,1993.78,2228.22,2377.53,2417.77,2755.48,2512.16,708.09,939.19,928.9,931.71,1043.41,71.46,78.81,46.12,26.43,59.81,1130.35,1261.01,1021.13,931.71,817.45,662.62,538.56,527.03,436.12,498.44,461.23,709.32,480.92,462.55,312.36,6.5,13.14,13.18,33.04,6.65,19.49,13.14,19.76,19.82,6.65,6723.63,7506.95,7253.3,7566.01,7197.53,8704.99,7270.51,8966.16,9475.68,8792.56,4.05,-100,98.21,12.99,-24.22,-4.01,2.3,7.93,-8.93,12.74,47.36,-16.3,-27.68,-24.78,-32.28,2.31,-65.88,7.05,1.01
Detroit Shoreway Community Dev. Org.,248,224,273,266,223,1,2,4,1,1,25,19,22,20,19,147,145,184,171,132,75,58,63,74,71,335,299,357,293,303,209,198,176,209,222,762,865,909,793,745,316,397,414,329,246,310,330,362,341,322,116,131,117,107,166,20,7,16,16,11,124,94,145,109,159,76,59,103,67,97,47,35,41,36,60,1,0,1,6,2,1,2,2,4,0,1010,1089,1182,1059,968,1211,1043,1222,1165,1218,1951.84,1782.36,2178.92,2129.48,1795.52,7.87,15.91,31.93,8.01,8.05,196.76,151.18,175.59,160.11,152.98,1156.94,1153.76,1468.58,1368.95,1062.82,590.28,461.5,502.83,592.41,571.67,2636.56,2379.13,2849.36,2345.63,2439.65,1644.9,1575.48,1404.72,1673.16,1787.47,5997.2,6882.77,7255.08,6348.4,5998.48,2487.03,3158.92,3304.29,2633.83,1980.71,2439.81,2625.8,2889.26,2729.89,2592.63,912.96,1042.36,933.82,856.59,1336.58,157.41,55.7,127.7,128.09,88.57,975.92,747.95,1157.3,872.6,1280.21,598.15,469.46,822.08,536.37,781.01,369.91,278.49,327.24,288.2,483.1,7.87,0,7.98,48.03,16.1,7.87,15.91,15.96,32.02,0,7949.04,8665.13,9434,8477.88,7794,9530.98,8299.11,9753.26,9326.47,9806.92,-8.01,2.29,-22.25,-8.14,-3.15,-7.47,8.67,0.02,-20.36,6.26,46.4,-43.73,31.18,30.57,30.6,104.57,-100,-1.95,2.9
Fairfax Renaissance Dev. Corp.,160,171,177,163,148,4,2,3,1,2,7,5,15,17,11,95,104,94,96,78,54,60,65,49,57,204,186,180,192,198,94,77,82,111,107,508,504,423,446,423,236,211,156,155,134,203,201,190,218,206,64,86,75,69,76,5,6,2,4,7,69,61,92,63,35,48,40,48,32,22,20,21,39,26,13,1,0,5,5,0,0,1,3,1,2,668,675,600,609,571,691,565,685,663,628,2702.03,2919.58,3031.29,2799.98,2556.96,67.55,34.15,51.38,17.18,34.55,118.21,85.37,256.89,292.02,190.04,1604.33,1775.65,1609.84,1649.07,1347.58,911.93,1024.41,1113.19,841.71,984.77,3445.08,3175.68,3082.67,3298.14,3420.79,1587.44,1314.66,1404.33,1906.73,1848.61,8578.93,8605.06,7244.27,7661.29,7308.06,3985.49,3602.52,2671.65,2662.56,2315.08,3428.2,3431.78,3253.93,3744.76,3559.01,1080.81,1468.32,1284.45,1185.27,1313.03,84.44,102.44,34.25,68.71,120.94,1165.25,1041.49,1575.59,1082.2,604.69,810.61,682.94,822.05,549.69,380.09,337.75,358.54,667.91,446.62,224.6,16.89,0,85.63,85.89,0,0,17.07,51.38,17.18,34.55,11280.96,11524.64,10275.57,10461.27,9865.01,11669.38,9646.55,11731.27,11388.88,10849.78,-5.37,-48.85,60.76,-16,7.99,-0.71,16.45,-14.81,-41.91,3.82,21.49,43.23,-48.11,-53.11,-33.5,-100,,-12.55,-7.02
Famicos Foundation,420,376,418,454,404,12,5,9,4,4,23,25,28,27,35,225,194,222,259,226,160,152,159,164,139,475,447,410,467,450,357,317,327,329,295,1265,1252,1373,1281,1189,578,591,594,454,401,492,471,585,587,552,164,172,176,226,214,31,18,18,14,22,324,307,270,161,197,262,230,200,124,129,60,76,69,33,61,2,1,1,4,7,12,24,13,32,21,1685,1628,1791,1735,1593,2089,1712,1916,1948,1902,1831.95,1658.08,1848.95,2014.27,1802.76,52.34,22.05,39.81,17.75,17.85,100.32,110.24,123.85,119.79,156.18,981.4,855.5,981.98,1149.11,1008.47,697.89,670.29,703.31,727.62,620.26,2071.85,1971.18,1813.56,2071.95,2008.02,1557.16,1397.9,1446.43,1459.68,1316.37,5517.66,5521.06,6073.23,5683.44,5305.64,2521.11,2606.19,2627.46,2014.27,1789.37,2146,2077.01,2587.65,2604.35,2463.17,715.33,758.48,778.51,1002.7,954.93,135.22,79.38,79.62,62.11,98.17,1413.22,1353.81,1194.3,714.31,879.07,1142.79,1014.25,884.67,550.15,575.63,261.71,335.14,305.21,146.41,272.2,8.72,4.41,4.42,17.75,31.24,52.34,105.84,57.5,141.98,93.71,7349.61,7179.14,7922.18,7697.71,7108.4,9111.77,7549.57,8475.1,8642.73,8487.24,-1.59,-65.9,55.68,2.76,-11.12,-3.08,-15.46,-3.84,-29.02,14.78,33.5,-27.4,-37.8,-49.63,4.01,258.26,79.04,-3.28,-6.85
Flats Forward,48,70,46,41,33,1,0,0,1,0,1,4,3,2,4,31,33,22,19,16,15,33,21,19,13,66,73,71,55,42,14,18,20,18,16,247,308,263,194,178,64,49,62,50,58,161,221,162,116,92,21,38,39,28,26,1,0,0,0,2,18,20,33,20,11,11,13,30,14,8,7,7,3,5,3,0,0,0,1,0,0,1,14,1,3,295,378,309,235,211,202,240,252,190,175,1540.59,2271.42,1497.23,1338.52,1083.55,32.1,0,0,32.65,0,32.1,129.8,97.65,65.29,131.34,994.96,1070.81,716.06,620.29,525.36,481.43,1070.81,683.52,620.29,426.85,2118.31,2368.76,2310.94,1795.58,1379.07,449.34,584.08,650.97,587.64,525.36,7927.6,9994.23,8560.23,6333.5,5844.62,2054.11,1589.99,2018,1632.35,1904.43,5167.38,7171.19,5272.84,3787.04,3020.82,674.01,1233.05,1269.39,914.11,853.71,32.1,0,0,0,65.67,577.72,648.98,1074.1,652.94,361.18,353.05,421.83,976.45,457.06,262.68,224.67,227.14,97.65,163.23,98.5,0,0,0,32.65,0,0,32.45,455.68,32.65,98.5,9468.18,12265.65,10057.45,7672.03,6928.18,6483.3,7787.71,8202.2,6202.92,5746.12,-29.67,-100,309.16,-47.2,-11.34,-34.9,16.92,-26.28,-7.29,-41.54,26.66,104.58,-37.48,-25.6,-56.16,,,-26.83,-11.37
