NEIGHBOR10,grad_rate2013,grad_rate2014
Bellaire-Puritas,67.92,72.29
Broadway-Slavic Village,59.32,57.43
Brooklyn Centre,68.18,70.67
Buckeye-Shaker Square,68.33,72.92
Buckeye-Woodhill,68.75,66.04
Central,56.52,68.49
Clark-Fulton,44.3,56.47
Collinwood-Nottingham,67.35,68.75
Cudell,59.21,68.12
Cuyahoga Valley,999999,999999
Detroit Shoreway,61.84,54.55
Downtown,999999,999999
Edgewater,999999,999999
Euclid-Green,70.27,75
Fairfax,62.75,47.62
Glenville,71.03,71.98
Goodrich-Kirtland Pk,53.33,60
Hopkins,999999,999999
Hough,64.38,66.67
Jefferson,69.37,73.28
Kamm's,67.69,75
Kinsman,68.63,62.75
Lee-Harvard,75,76.47
Lee-Seville,61.36,59.38
Mount Pleasant,66.05,64.24
North Shore Collinwood,66.29,76.47
Ohio City,64.58,55.88
Old Brooklyn,69.63,66.12
St.Clair-Superior,54.41,56.82
Stockyards,58.25,61.11
Tremont,51.35,58.82
Union-Miles,61.4,66.04
University,999999,999999
West Boulevard,62.5,67.65
_Suburbs,77.69,69.17
_Unknown neighborhood,42.86,44.59
__CMSD,64.46,65.95
