Category,Variable Name Prefix,Variable Description,Definition,Universe,Limitations,Note,Source,Data as of,Numerator Tables,Denominator Tables
Progress Metrics,med_al_price,Median sales price of residential parcels,Median sales price of residential parcels,Arms-length sales,"Only arms-length sales of residential single family, multi-family, and condominium parcels are included","Armslength sales include all property sales except those transferred at Sheriff sale, purchased by a bank, financial institution, GSE or local government,  or recorded with a zero price.   Bulk sales and self-sales are also excluded.",Cuyahoga County Fiscal Office,"December 31, 2015",,
Progress Metrics,med_sfprice,Median sales price: single-family,Median sales price of single-family parcels,Arms-length sales,"Only arms-length sales of residential single family, multi-family, and condominium parcels are included","Armslength sales include all property sales except those transferred at Sheriff sale, purchased by a bank, financial institution, GSE or local government,  or recorded with a zero price.   Bulk sales and self-sales are also excluded.",Cuyahoga County Fiscal Office,"December 31, 2015",,
Progress Metrics,med_mfprice,Median sales price: multi-family ,Median sales price of multi-family (2 to 4-family) parcels,Arms-length sales,"Only arms-length sales of residential single family, multi-family, and condominium parcels are included","Armslength sales include all property sales except those transferred at Sheriff sale, purchased by a bank, financial institution, GSE or local government,  or recorded with a zero price.   Bulk sales and self-sales are also excluded.",Cuyahoga County Fiscal Office,"December 31, 2015",,
Progress Metrics,med_cdprice,Median sales price: condo parcels ,Median sales price of condo parcels ,Arms-length sales,"Only arms-length sales of residential single family, multi-family, and condominium parcels are included","Armslength sales include all property sales except those transferred at Sheriff sale, purchased by a bank, financial institution, GSE or local government,  or recorded with a zero price.   Bulk sales and self-sales are also excluded.",Cuyahoga County Fiscal Office,"December 31, 2015",,
Progress Metrics,al_sales,# of arms-length sales of parcels,Number of arms-length sales of parcels,Arms-length sales,"Only arms-length sales of residential single family, multi-family, and condominium parcels are included","Armslength sales include all property sales except those transferred at Sheriff sale, purchased by a bank, financial institution, GSE or local government,  or recorded with a zero price.   Bulk sales and self-sales are also excluded.",Cuyahoga County Fiscal Office,"December 31, 2015",,
Progress Metrics,sfsale,Single-family sales,Number of arms-length sales of single-family parcels,Arms-length sales,"Only arms-length sales of residential single family, multi-family, and condominium parcels are included","Armslength sales include all property sales except those transferred at Sheriff sale, purchased by a bank, financial institution, GSE or local government,  or recorded with a zero price.   Bulk sales and self-sales are also excluded.",Cuyahoga County Fiscal Office,"December 31, 2015",,
Progress Metrics,mfsale,Multi-family sales,Number of arms-length sales of multi-family (2 to 4-family) parcels,Arms-length sales,"Only arms-length sales of residential single family, multi-family, and condominium parcels are included","Armslength sales include all property sales except those transferred at Sheriff sale, purchased by a bank, financial institution, GSE or local government,  or recorded with a zero price.   Bulk sales and self-sales are also excluded.",Cuyahoga County Fiscal Office,"December 31, 2015",,
Progress Metrics,cdsale,Condo parcel sales,Number of arms-length sales of condominium parcels,Arms-length sales,"Only arms-length sales of residential single family, multi-family, and condominium parcels are included","Armslength sales include all property sales except those transferred at Sheriff sale, purchased by a bank, financial institution, GSE or local government,  or recorded with a zero price.   Bulk sales and self-sales are also excluded.",Cuyahoga County Fiscal Office,"December 31, 2015",,
Progress Metrics,_grent,Median gross rent,Median gross rent,Renter-occupied housing units paying cash rent,,,U.S. Census Bureau,"December 31, 2014","2000:  P053
2010-2014:  B25064",
Progress Metrics,rent_den,# of renter households,Number of renter-occupied housing units,,,,U.S. Census Bureau,"December 31, 2014","2000:  H062
2010-2014:  B25063",
Progress Metrics,_medinc,Median Household Income,Median household income,Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001",
Progress Metrics,hhincls10k,"Number of households with income less than $10,000","Number of households with income less than $10,000",Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001",
Progress Metrics,_hhincls10k,"% income less than $10,000","Percent of households with income less than $10,000",Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001","2000:  P052
2010-2014:  B19001"
Progress Metrics,hhinc10to15k,"Number of households with income $10,000-14,999","Number of households with income $10,000-14,999",Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001",
Progress Metrics,_hhinc10to15k,"% income $10,000-14,999","Percent of households with income $10,000-14,999",Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001","2000:  P052
2010-2014:  B19001"
Progress Metrics,hhinc15to25k,"Number of households with income $15,000-24,999","Number of households with income $15,000-24,999",Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001",
Progress Metrics,_hhinc15to25k,"% income $15,000-24,999","Percent of households with income $15,000-24,999",Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001","2000:  P052
2010-2014:  B19001"
Progress Metrics,hhinc25to35k,"Number of households with income $25,000-34,999","Number of households with income $25,000-34,999",Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001",
Progress Metrics,_hhinc25to35k,"% income $25,000-34,999","Percent of households with income $25,000-34,999",Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001","2000:  P052
2010-2014:  B19001"
Progress Metrics,hhinc35to50k,"Number of households with income $35,000-49,999","Number of households with income $35,000-49,999",Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001",
Progress Metrics,_hhinc35to50k,"% income $35,000-49,999","Percent of households with income $35,000-49,999",Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001","2000:  P052
2010-2014:  B19001"
Progress Metrics,hhinc50to75k,"Number of households with income $50,000-74,999","Number of households with income $50,000-74,999",Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001",
