cdc_name,ams_res2011,ams_res2012,ams_res2013,ams_res2014,ams_res2015,res_occ2011,res_occ2012,res_occ2013,res_occ2014,res_occ2015,ams_bus2011,ams_bus2012,ams_bus2013,ams_bus2014,ams_bus2015,bus_occ2011,bus_occ2012,bus_occ2013,bus_occ2014,bus_occ2015,_res_occ2011,_res_occ2012,_res_occ2013,_res_occ2014,_res_occ2015,_bus_occ2011,_bus_occ2012,_bus_occ2013,_bus_occ2014,_bus_occ2015,pctchgrt_res,pctchgrt_bus
Buckeye Area Dev Corp.,15387.948779,16278.805035,16299.899088,16177.236429,16181.78072,12741.690273,13609.360722,13466.510707,13356.282891,13624.879585,875.25795219,1071.7818613,1046.4077843,1028.0259837,1002.9979104,752.82392363,943.62016943,917.15942643,894.59467807,870.69989942,82.8,83.6,82.62,82.56,84.2,86.01,88.04,87.65,87.02,86.81,1.69,0.93
Detroit Shoreway Community Dev. Org.,6920.2431167,7163.4803418,7138.0106323,7101.7370151,7080.1515148,5553.9735682,5834.2374934,5897.5663417,5876.0273385,6035.2016598,624.21207372,673.07284018,678.71877705,671.29019364,669.17016359,470.17740725,513.59700518,534.74762317,528.07994891,531.55067498,80.26,81.44,82.62,82.74,85.24,75.32,76.31,78.79,78.67,79.43,6.2,5.46
Hough Dev. Corp.,13563.309711,14392.833171,14394.224358,14920.97102,14937.605452,11672.914127,12532.879914,12490.994114,13078.325371,13164.735046,2050.0855133,2202.5880553,2195.8307234,2158.8116291,2237.1344126,1792.9287289,1914.2098681,1892.0529222,1814.6702752,1870.9192773,86.06,87.08,86.78,87.65,88.13,87.46,86.91,86.17,84.06,83.63,2.41,-4.38
Kamm's Corners Dev. Corp.,11581.59227,11998.284265,12028.259365,11952.46755,12002.156687,11101.085232,11599.146741,11657.625708,11609.393048,11730.681585,588.41472781,653.98372492,643.99035506,633.5069586,634.19073159,500.34743879,565.2569881,560.92234385,555.94995941,566.85503096,95.85,96.67,96.92,97.13,97.74,85.03,86.43,87.1,87.76,89.38,1.97,5.12
Little Italy Redevelopment Corp.,1312.5995058,1313.1949634,1354.7071082,1349.2369473,1368.4712037,1249.8899435,1242.5242016,1273.0903097,1257.6668136,1292.9500344,113.89497855,114.63598211,115.67338782,109.15255339,107.37414387,97.20095414,98.19059217,101.29750178,94.77401351,93.88480886,95.22,94.62,93.98,93.21,94.48,85.34,85.65,87.57,86.83,87.44,-0.78,2.46
Northeast Shores Dev. Corp.,11441.009364,11418.783805,11382.415187,11332.862572,11224.527189,10083.710828,9955.6697628,9860.7833793,9835.909892,9744.4287583,703.61266455,697.07886949,694.61760042,687.57995501,688.46810003,598.88803043,589.36648323,569.8057639,546.05609856,551.71527725,88.14,87.19,86.63,86.79,86.81,85.12,84.55,82.03,79.42,80.14,-1.51,-5.85
Slavic Village Dev. Corp.,12907.18377,12598.182104,12276.916693,12009.994281,11944.401827,10125.522492,9744.0785087,9517.0619449,9157.2531434,9328.2522235,1012.7429803,1006.5005852,991.05951841,981.56500274,974.98151886,848.53447999,805.00684368,793.19785039,784.6127109,784.95605922,78.45,77.35,77.52,76.25,78.1,83.79,79.98,80.04,79.93,80.51,-0.45,-3.91
Tremont West Dev. Corp.,4367.7227667,4345.2774006,4426.233219,4458.718867,4445.0808024,4014.7641821,4032.3425583,4117.7773264,4160.1959794,4143.2883562,590.09224642,586.61083096,584.77814922,578.45343839,572.22115495,522.46493636,522.66113877,527.07232358,526.24913013,523.33201494,91.92,92.8,93.03,93.3,93.21,88.54,89.1,90.13,90.98,91.46,1.4,3.3
Westown Community Dev. Corp.,11464.444915,11439.472659,11427.634463,11402.455419,11377.242783,10236.246104,10285.944,10298.638249,10308.186966,10397.214229,716.7641376,715.63451469,714.4036939,708.76165499,708.08968383,555.26496189,555.29263028,562.13829017,572.93083752,578.35991046,89.29,89.92,90.12,90.4,91.39,77.47,77.59,78.69,80.84,81.68,2.35,5.43
Bellaire Puritas Community Dev. Corp.,11381.342004,11920.129371,11932.756139,11870.925881,11891.853083,10581.572788,11143.453456,11216.302281,11211.911349,11352.241186,939.95720615,1056.1139831,1044.5251462,1031.6248429,1020.2844637,831.30805844,949.76807084,944.13125635,931.49860225,927.23111374,92.97,93.48,94,94.45,95.46,88.44,89.93,90.39,90.29,90.88,2.68,2.76
Burton Bell Carr Dev. Corp.,9322.0226748,9528.4037204,9420.372761,9088.5382354,8981.5313628,8297.839266,8544.5162791,8509.9972959,8216.8425641,8273.8764889,1548.4238571,1577.6846021,1569.4956101,1558.8946022,1544.4700376,1333.0180562,1342.2542692,1328.0425126,1303.6945101,1306.5521892,89.01,89.67,90.34,90.41,92.12,86.09,85.08,84.62,83.63,84.6,3.49,-1.73
Famicos Foundation,12748.136454,13003.117429,12886.693406,12756.293824,12580.805264,9817.4850163,9878.8508547,9674.1314467,9599.9639005,9598.6491897,604.53874784,639.79154317,642.37763184,637.64173769,631.03643976,512.28933197,534.15100651,529.64444804,520.49195974,516.71166513,77.01,75.97,75.07,75.26,76.3,84.74,83.49,82.45,81.63,81.88,-0.92,-3.38
Harvard Community Services Center,11495.100653,11970.082238,11987.002889,11792.058908,11690.533487,10323.472336,10780.132611,10708.95808,10419.162136,10354.209583,604.93098254,741.41154731,719.95023726,675.50768498,656.27918358,546.35441364,677.36235204,647.94058041,597.92236335,580.08061549,89.81,90.06,89.34,88.36,88.57,90.32,91.36,90,88.51,88.39,-1.38,-2.14
Historic Warehouse District,1806.4413615,1850.9455269,1856.6725865,1870.5599736,1933.4822157,1660.2755845,1738.0317479,1757.5073108,1788.3224619,1887.2335011,814.02240887,831.94727225,855.78883078,874.52021364,877.82220065,679.71686979,685.53695772,713.30956365,735.30277863,747.53725165,91.91,93.9,94.66,95.6,97.61,83.5,82.4,83.35,84.08,85.16,6.2,1.99
"Stockyards, Clark Fulton, Brooklyn Center Comm. Dev. Corp.",14678.87682,14546.524477,14561.375732,14492.429254,14330.516566,12568.540663,12466.856558,12436.895439,12307.070655,12322.864624,1031.402974,1015.9193375,1022.6636535,1028.277684,1028.8492216,852.99610663,835.73173235,841.19660577,835.7716919,836.06730133,85.62,85.7,85.41,84.92,85.99,82.7,82.26,82.26,81.28,81.26,0.43,-1.74
"Cudell Improvement, Inc.",8771.9860469,8773.7178158,8751.8541257,8696.2014465,8653.3969087,7628.2842887,7627.0235796,7658.2467158,7597.8795775,7664.6849729,444.260257,440.20312077,437.38694105,431.81601041,430.6194931,333.76538184,327.11922138,324.97345708,322.45448918,324.20592903,86.96,86.93,87.5,87.37,88.57,75.13,74.31,74.3,74.67,75.29,1.85,0.21
Fairfax Renaissance Dev. Corp.,3642.9289208,3645.4399569,3570.3052055,3529.8925296,3538.5252664,2899.2134694,2942.4297714,2877.9461033,2869.2710027,2921.075795,376.91284747,378.30717487,373.73748861,370.04885428,364.16194314,330.8935723,335.53336171,330.53882835,326.73791642,323.96806936,79.58,80.72,80.61,81.28,82.55,87.79,88.69,88.44,88.3,88.96,3.73,1.33
Ohio City Inc.,4364.5676522,4315.7760561,4386.4470559,4377.9254134,4416.7916552,3807.9604131,3817.27103,3916.5310808,3901.1277374,3974.4855765,739.45546026,736.89999773,736.09770497,735.12219389,727.02584339,642.64628486,635.41172552,639.23037662,641.44418261,649.09958737,87.25,88.45,89.29,89.11,89.99,86.91,86.23,86.84,87.26,89.28,3.14,2.73
Old Brooklyn Community Dev. Corp.,20829.155917,21128.660398,21110.658147,21086.744702,20967.1386,19315.249249,19654.120196,19557.207617,19420.307588,19399.397704,1218.4455675,1297.9290314,1294.3269656,1293.8167318,1287.2322953,1040.5911487,1129.7394774,1087.6019052,1068.7853778,1071.6776022,92.73,93.02,92.64,92.1,92.52,85.4,87.04,84.03,82.61,83.25,-0.23,-2.52
St. Clair Superior Dev. Corp.,17957.852858,18714.728217,18414.057293,18171.905053,17925.908033,14473.194493,15185.945559,14806.279746,14666.551859,14497.663018,2124.9626984,2260.6674581,2246.6696905,2224.0457282,2211.1797037,1809.4805345,1906.6749762,1884.4945009,1848.7992479,1845.9994702,80.6,81.14,80.41,80.71,80.88,85.15,84.34,83.88,83.13,83.48,0.35,-1.96
