cdc_name,_ebll_c2011,_ebll_c2012,_ebll_c2013,_ebll_c2014,_ebll_c2015,_ebll_5yavg,_w_ebll_c2011,_w_ebll_c2012,_w_ebll_c2013,_w_ebll_c2014,_w_ebll_c2015,_w_ebll_5yavg,_b_ebll_c2011,_b_ebll_c2012,_b_ebll_c2013,_b_ebll_c2014,_b_ebll_c2015,_b_ebll_5yavg,_a_ebll_c2011,_a_ebll_c2012,_a_ebll_c2013,_a_ebll_c2014,_a_ebll_c2015,_a_ebll_5yavg,_o_ebll_c2011,_o_ebll_c2012,_o_ebll_c2013,_o_ebll_c2014,_o_ebll_c2015,_o_ebll_5yavg
Bellaire Puritas Community Dev. Corp.,6.79,7.05,5.01,5.5,4.22,5.714,6.69,6.29,4.23,3.01,4.66,4.976,8.33,10.24,8.61,9.9,3.57,8.13,0,0,0,9.68,5.13,2.962,4,0,0,2.22,2.5,1.744
Buckeye Shaker Square Dev Corp.,21.34,19.41,18.26,17,15.08,18.218,17.86,26.09,24.24,11.76,9.09,17.808,22.37,20.12,18.51,17.41,15.91,18.864,999999,9.09,999999,999999,0,999999,12.82,9.52,12.5,16,11.43,12.454
Burton Bell Carr Dev. Corp.,10.35,9.99,6.15,9.84,7.35,8.736,12.2,22.22,14.81,5.26,12.35,13.368,9.76,9.17,5.71,10.41,7.08,8.426,,999999,999999,999999,999999,999999,19.74,17.24,9.86,6.06,5.13,11.606
"Campus District, Inc.",16.13,8.05,7.39,9.02,7.54,9.626,999999,0,999999,0,6.67,999999,15.2,7.55,6.96,9.62,8.09,9.484,,,,,,,28.57,999999,999999,999999,0,999999
Collinwood Nottingham Villages Dev. Corp.,18.49,15.38,11.81,18.01,13.41,15.42,999999,999999,999999,999999,0,999999,19.37,16.07,12.86,18.27,14.35,16.184,,,999999,,,999999,7.69,13.33,0,999999,999999,999999
"Cudell Improvement, Inc.",18.08,14.68,11.3,13.58,12.35,13.998,20,15.69,13.11,12.44,10.7,14.388,18.22,14.86,10.62,15.42,13.85,14.594,999999,999999,999999,999999,999999,999999,10.64,11.36,5.41,10.53,3.85,8.358
Detroit Shoreway Community Dev. Org.,18.22,16.92,14.03,14.58,15.21,15.792,16.92,15.85,12.39,9.34,11.7,13.24,21.99,19.6,16.43,20.56,21.59,20.034,999999,999999,999999,999999,999999,999999,6.06,0,9.09,7.69,2.78,5.124
Downtown Cleveland Alliance,6.99,3.88,8.89,4.78,4.52,5.812,3.45,0,0,0,3.13,1.316,5.56,5.05,9.77,5.17,6.67,6.444,999999,999999,999999,999999,999999,999999,15.91,0,10.34,9.09,0,7.068
Fairfax Renaissance Dev. Corp.,24.18,13.59,15.05,20.12,12.41,17.07,999999,999999,999999,999999,999999,999999,23.95,13.02,15,21.57,12.88,17.284,,999999,,999999,999999,999999,999999,999999,20,999999,999999,999999
Famicos Foundation,27.5,25.45,23.93,26.38,21.89,25.03,15.38,6.67,999999,999999,14.29,999999,28.45,25.87,23.65,26.58,22.06,25.322,999999,,,,,999999,15.69,23.68,30.56,22.22,21.43,22.716
Flats Forward,8.13,4.03,9.7,3.79,3.75,5.88,0,0,999999,999999,999999,999999,6.62,4.65,10.26,3.45,4.35,5.866,,999999,999999,999999,999999,999999,28.57,999999,8.33,999999,999999,999999
Harvard Community Services Center,13.07,13.39,9.43,12.55,11.72,12.032,999999,999999,6.67,999999,9.09,999999,12.93,13.57,10.25,13.11,12.16,12.404,,,,999999,999999,999999,6.45,9.52,0,4.76,4.76,5.098
Historic Gateway Dev. Corp.,8.82,0,7.69,0,0,3.302,999999,999999,999999,999999,999999,999999,0,0,11.76,0,999999,999999,,,999999,999999,999999,999999,999999,999999,999999,999999,0,999999
Historic Warehouse District,0,999999,999999,999999,999999,999999,999999,999999,,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,,,,999999,999999,999999,,999999,999999,999999,999999
Hough Dev. Corp.,20.75,20.53,15.49,16.32,13.93,17.404,25.42,23.68,8.7,9.89,10,15.538,20.88,20.88,16.91,18.15,15.4,18.444,0,0,0,0,0,0,20.27,18.03,9.62,9.09,3.33,12.068
Kamm's Corners Dev. Corp.,2.86,2.37,3.18,2.72,2.57,2.74,2.63,1.54,3.35,3.26,1.04,2.364,4.03,2.82,2.22,2.76,5.22,3.41,999999,999999,6.25,4.35,4,999999,1.61,3.03,4.26,0,1.79,2.138
Little Italy Redevelopment Corp.,0,999999,4.55,0,8.33,999999,999999,999999,999999,999999,999999,999999,,,,,,,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,,999999
Metro West Dev. Corp.,19.18,20.07,18.62,15.14,15.58,17.718,19.05,19.79,18.95,15.25,14.02,17.412,21.71,21.88,18.83,17.01,17.58,19.402,999999,15.38,21.43,7.69,999999,999999,13.04,14.44,13.58,6.45,12.66,12.034
Midtown Cleveland Inc.,9.62,15.69,8.33,10.42,8.06,10.424,19.05,33.33,999999,8.47,9.38,999999,6.06,6.45,4.44,12.42,8.15,7.504,999999,999999,999999,999999,999999,999999,14.29,999999,999999,4.17,999999,999999
Mt. Pleasant NOW Comm. Dev. Corp.,22.92,19.01,15.82,15.38,16.85,17.996,999999,7.14,0,999999,999999,999999,22.69,19.26,16.14,15.58,17.61,18.256,,,999999,,,999999,24.44,19.51,18.52,9.52,0,14.398
Northeast Shores Dev. Corp.,16.26,9.38,8.27,17.78,11.07,12.552,10.87,6.25,3.7,4,12.5,7.464,18.23,9.98,8.87,19.91,10.87,13.572,,,,999999,,999999,2.5,6.06,8.33,9.09,12,7.596
Ohio City Inc.,18.64,15.43,12.23,7.57,10.71,12.916,21.28,17.02,13.95,6.98,10.77,14,16.67,15.48,11.36,8.54,9.84,12.378,,999999,999999,999999,999999,999999,16.67,999999,7.69,6.67,8.33,999999
Old Brooklyn Community Dev. Corp.,9.78,8.39,7.5,7.48,8.31,8.292,10.86,9.78,8.52,8.2,7.93,9.058,9.87,6.25,4.97,7.06,12.57,8.144,999999,999999,0,999999,999999,999999,3.53,4.17,8.47,3.45,0,3.924
Shaker Square Area Dev. Corp.,8.56,7.77,11.89,13.22,9.77,10.242,15,17.65,8.33,6.67,6.67,10.864,9.73,9.24,14.75,16.36,13.64,12.744,999999,9.09,0,0,0,999999,4.08,0,8.33,13.79,5.26,6.292
Slavic Village Dev. Corp.,21.47,21.87,20.73,16.57,18.63,19.854,19.9,21.81,24.1,15.79,20.61,20.442,21.98,22.24,19.79,16.8,18.24,19.81,999999,999999,999999,,999999,999999,21.31,19.05,19.05,17.07,15,18.296
St. Clair Superior Dev. Corp.,27.98,24,17.39,22.1,19.41,22.176,33.33,26.39,9.09,24.44,12.24,21.098,28.24,23.83,18.21,22.58,20.26,22.624,0,999999,0,0,0,999999,24.68,27.87,15.94,19.35,14.29,20.426
Tremont West Dev. Corp.,13.15,19.91,15.09,11.52,13.33,14.6,15.09,24.37,20.18,14.29,14.94,17.774,12.05,16.13,11.76,8,9.62,11.512,999999,999999,999999,999999,999999,999999,8.7,7.69,0,11.76,20,9.63
Union Miles Dev. Corp.,20.62,20.03,16.37,17.26,15.18,17.892,17.65,31.25,22.22,15.38,999999,999999,19.66,19.55,16.19,17.06,15.54,17.6,,,,999999,,999999,36.17,25,16.67,19.35,10.53,21.544
"University Circle, Incorporated",16.67,7.89,7.41,3.57,8.7,8.848,999999,999999,999999,999999,999999,999999,23.08,10,9.52,4.76,16.67,12.806,999999,,,999999,999999,999999,999999,999999,999999,999999,999999,999999
Westown Community Dev. Corp.,9.9,12.85,9.38,9.03,7.1,9.652,10.88,11.7,10.07,7.44,8.94,9.806,10.03,15.23,9.12,10.71,5.9,10.198,4.55,0,0,6.67,0,2.244,5.81,12,8.7,12.24,2.22,8.194
