CDC_NAME,_mort_rate1115,_infmort_rate1115,le1115,_w_mort_rate1115,_w_infmort_rate1115,_b_mort_rate1115,_b_infmort_rate1115,_a_mort_rate1115,_a_infmort_rate1115,_o_mort_rate1115,_o_infmort_rate1115,_h_mort_rate1115,_h_infmort_rate1115
Bellaire Puritas Community Dev. Corp.,10.58,14.99,73.77717845926442,14.12,16.13,6.37,17.7,4.38,10.31,1.09,0,2.3,10.83
Buckeye Shaker Square Dev Corp.,10.14,9.15,75.74145467423956,13.19,18.87,10.26,8.36,1.88,0,2.35,0,3.04,52.63
Burton Bell Carr Dev. Corp.,7.34,20.28,73.02201325531675,10.17,46.51,7.45,20.24,,,0.75,0,0.7,0
"Campus District, Inc.",4.26,19.23,87.8466761480025,5.13,28.57,4.25,19.29,,,1.79,0,2.94,0
Collinwood Nottingham Villages Dev. Corp.,8.25,13.04,76.03392306956881,22.46,0,5.92,14.46,,,1.92,0,,
"Cudell Improvement, Inc.",9.29,10.4,72.5524385590045,13.26,10.29,7.18,16.51,5.71,0,0.67,0,3.27,0
Detroit Shoreway Community Dev. Org.,10.5,12.77,70.99715539337365,16.22,8.4,7.64,18.58,6.65,0,1.36,0,4.4,12.88
Downtown Cleveland Alliance,4.4,14.2,73.58408773716381,3.3,5.29,6.05,21.98,0.77,0,1.54,0,3.39,0
Fairfax Renaissance Dev. Corp.,14.59,13.16,71.52470154705233,19.58,0,14.83,15.15,3.9,0,,,4.69,0
Famicos Foundation,12.26,15.5,71.50183484035573,20.76,0,12.4,15.68,,,,,3.57,55.56
Flats Forward,3.46,18.32,105.63696161503125,0.86,37.04,7.52,17.7,1.43,0,,,5.95,0
Harvard Community Services Center,14.59,27.75,71.24251803158849,33.81,0,14.76,28.95,30.55,0,0.59,0,3.29,0
Historic Gateway Dev. Corp.,5.38,9.8,0.1,3.35,0,9.74,29.41,,,,,,
Historic Warehouse District,1.21,26.32,68.53447905516484,0.92,0,3.24,76.92,,,,,,
Hough Dev. Corp.,12.02,15.43,71.82826279017078,15.19,6.9,12.96,18.38,4.1,0,2.15,0,3.82,0
Kamm's Corners Dev. Corp.,10.72,8.54,77.2770612107139,12.28,5.65,6.87,7.87,4.42,0,,,4.19,40.65
Little Italy Redevelopment Corp.,5.61,0,83.64833436538268,7.65,0,,,,,,,,
Metro West Dev. Corp.,8.81,10.53,71.95500200384815,15.08,9.73,5.59,15.34,7.15,0,0.78,0,3.98,9.02
Midtown Cleveland Inc.,14.1,30.61,69.16427578770346,15.94,0,16.51,46.88,3.28,0,7.24,0,4.3,0
Mt. Pleasant NOW Comm. Dev. Corp.,12.1,16.39,71.78468192233075,15.14,0,12.31,17.21,20.18,0,0.86,0,3.12,0
Northeast Shores Dev. Corp.,11.77,10.47,74.70818608538838,16.49,4.24,9.76,12.5,11.38,0,1.51,0,,
Ohio City Inc.,10.99,4.07,71.26674447095672,12.69,4.63,12.5,5.92,3.14,0,2.18,0,6.6,0
Old Brooklyn Community Dev. Corp.,10.84,7.26,75.90569097006572,13.11,7.26,6.52,9.06,2.91,0,1.31,83.33,3.17,4.45
Shaker Square Area Dev. Corp.,9.71,7.43,79.09865661966379,10.22,9.9,11.14,9.17,0.85,0,,,3.61,0
Slavic Village Dev. Corp.,10.13,15.35,70.17222051990301,17.23,10.55,5.9,17.46,3.91,0,0.3,0,4.2,18.87
St. Clair Superior Dev. Corp.,12.19,16.67,72.1970659376529,22.76,6.37,11.82,18.77,6.1,0,1.28,0,3.38,0
Tremont West Dev. Corp.,7.65,9.24,72.3611141163827,9.93,0,6.02,27.03,2.64,0,0.97,0,5.11,13.42
Union Miles Dev. Corp.,11.76,17.97,73.67553117648035,20.24,45.45,11.88,17.87,,,0.61,0,,
"University Circle, Incorporated",14.55,10.42,68.814345715132,13.67,0,44.74,22.73,,,,,1.33,0
Westown Community Dev. Corp.,9.29,11.5,73.22124920263991,13.79,10.59,8.4,17.64,6.47,0,1.2,50,2.73,4.6
