cdc_name,qslots2012,qslots2013,qslots2014,qslots2015,qslots2016
Bellaire Puritas Community Dev. Corp.,43,233,54,159,336
Buckeye Shaker Square Dev Corp.,62,230,119,144,277
Burton Bell Carr Dev. Corp.,237,382,453,691,632
"Campus District, Inc.",90,268,209,207,182
Collinwood Nottingham Villages Dev. Corp.,5,2,21,13,41
"Cudell Improvement, Inc.",193,223,186,196,208
Detroit Shoreway Community Dev. Org.,183,183,125,139,339
Downtown Cleveland Alliance,36,36,0,0,71
Fairfax Renaissance Dev. Corp.,16,19,14,3,40
Famicos Foundation,157,183,162,131,165
Flats Forward,0,0,0,0,26
Harvard Community Services Center,383,100,404,456,462
Historic Gateway Dev. Corp.,0,0,0,0,0
Historic Warehouse District,0,0,0,0,0
Hough Dev. Corp.,71,116,143,169,385
Kamm's Corners Dev. Corp.,89,65,24,82,230
Little Italy Redevelopment Corp.,0,0,0,0,0
Metro West Dev. Corp.,143,185,125,160,240
Midtown Cleveland Inc.,44,40,34,102,110
Mt. Pleasant NOW Comm. Dev. Corp.,32,65,103,96,113
Northeast Shores Dev. Corp.,46,45,15,103,135
Ohio City Inc.,0,2,1,21,150
Old Brooklyn Community Dev. Corp.,6,8,6,60,147
Shaker Square Area Dev. Corp.,0,5,12,7,72
Slavic Village Dev. Corp.,3,9,12,43,138
St. Clair Superior Dev. Corp.,110,464,478,442,568
Tremont West Dev. Corp.,80,81,120,171,294
Union Miles Dev. Corp.,88,121,92,109,186
"University Circle, Incorporated",128,130,163,142,163
Westown Community Dev. Corp.,28,184,198,238,290
