cdc_name,al_sales2012,al_sales2013,al_sales2014,al_sales2015,al_sales2016,sfsale2012,sfsale2013,sfsale2014,sfsale2015,sfsale2016,mfsale2012,mfsale2013,mfsale2014,mfsale2015,mfsale2016,cdsale2012,cdsale2013,cdsale2014,cdsale2015,cdsale2016,med_al_price2012,med_al_price2013,med_al_price2014,med_al_price2015,med_al_price2016,med_sfprice2012,med_sfprice2013,med_sfprice2014,med_sfprice2015,med_sfprice2016,med_mfprice2012,med_mfprice2013,med_mfprice2014,med_mfprice2015,med_mfprice2016,med_cdprice2012,med_cdprice2013,med_cdprice2014,med_cdprice2015,med_cdprice2016,distress2012,distress2013,distress2014,distress2015,distress2016,_distress2012,_distress2013,_distress2014,_distress2015,_distress2016,pctchg_alsales,pctchgrt_sfsales,pctchgrt_mfsales,pctchgrt_cdsales,pctchgrt_distress,pctchg_medalprice,pctchg_medsfprice,pctchg_medmfprice,pctchg_medcdprice,ntal_sales2012,ntal_sales2013,ntal_sales2014,ntal_sales2015,ntal_sales2016,med_ntal_price2012,med_ntal_price2013,med_ntal_price2014,med_ntal_price2015,med_ntal_price2016,pctchgrt_ntalsales,pctchg_medntalprice,_sfsale2012,_sfsale2013,_sfsale2014,_sfsale2015,_sfsale2016,_mfsale2012,_mfsale2013,_mfsale2014,_mfsale2015,_mfsale2016,_cdsale2012,_cdsale2013,_cdsale2014,_cdsale2015,_cdsale2016,_ntalsales2012,_ntalsales2013,_ntalsales2014,_ntalsales2015,_ntalsales2016
Bellaire Puritas Community Dev. Corp.,270,321,323,325,403,252,303,301,301,375,18,18,22,24,28,0,0,0,0,0,29250,31000,35000,42500,46000,28750,30740,35000,42000,45400,29750,34500,40500,59450,54500,,,,,,16,10,13,16,13,5.93,3.12,4.02,4.92,3.23,49.26,-0.3,4.2,,-45.53,57.26,57.91,83.19,,134,164,204,190,254,38650,45600,42283.5,51317.5,50000,27,29.37,93.33,94.39,93.19,92.62,93.05,6.67,5.61,6.81,7.38,6.95,0,0,0,0,0,49.63,51.09,63.16,58.46,63.03
Buckeye Shaker Square Dev Corp.,200,259,241,308,325,88,112,89,122,132,93,116,128,141,156,19,31,24,45,37,14105.5,19118,18013,22500,22000,13000,21504.5,19750,19925,23644.5,10000,8200,10750,19400,10755.5,55000,65000,65250,79000,71000,86,101,89,90,110,43,39,36.93,29.22,33.85,62.5,-7.68,3.23,19.79,-21.28,55.97,81.88,7.56,29.09,79,118,110,149,128,20000,29000,23525,32500,29000,-0.3,45,44,43.24,36.93,39.61,40.62,46.5,44.79,53.11,45.78,48,9.5,11.97,9.96,14.61,11.38,39.5,45.56,45.64,48.38,39.38
Burton Bell Carr Dev. Corp.,48,71,67,69,68,36,58,55,46,51,12,11,9,18,14,0,2,3,5,3,16150,25000,30500,19490,27475,26500,25750,45028,30750,29450,6300,4800,9500,7371,16050,,1820,6000,6740,252500,20,21,14,27,12,41.67,29.58,20.9,39.13,17.65,41.67,0,-17.64,,-57.64,70.12,11.13,154.76,,15,25,30,27,35,11750,20200,36889,15000,19900,64.7,69.36,75,81.69,82.09,66.67,75,25,15.49,13.43,26.09,20.59,0,2.82,4.48,7.25,4.41,31.25,35.21,44.78,39.13,51.47
"Campus District, Inc.",0,0,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,,,160000,206000,231250,,,,,8000,,,,,,,,160000,206000,252500,0,0,0,0,1,,,0,0,25,,,,,,,,,,0,0,1,1,4,,,160000,206000,231250,,,,,0,0,25,,,0,0,0,,,100,100,75,,,100,100,100
Collinwood Nottingham Villages Dev. Corp.,77,99,92,97,117,47,51,49,51,66,30,48,43,46,51,0,0,0,0,0,12000,15500,17750,17000,18000,13000,15500,17500,17000,16550,7750,14950,18000,18076,19900,,,,,,36,37,23,27,35,46.75,37.37,25,27.84,29.91,51.95,-7.59,11.88,,-36.02,50,27.31,156.77,,16,38,34,36,42,16000,17500,17500,22917.5,19859.5,72.76,24.12,61.04,51.52,53.26,52.58,56.41,38.96,48.48,46.74,47.42,43.59,0,0,0,0,0,20.78,38.38,36.96,37.11,35.9
"Cudell Improvement, Inc.",126,126,172,176,213,81,81,110,115,128,40,40,52,54,73,5,5,10,7,12,20550,26750,30000,31950,37500,26000,22900,30000,26000,32100,16306.5,30000,28700,37300,40000,56500,44000,44250,48500,67750,30,21,22,34,34,23.81,16.67,12.79,19.32,15.96,69.05,-6.53,7.94,41.81,-32.97,82.48,23.46,145.3,19.91,67,66,101,103,111,38000,40000,40900,50000,47300,-1.99,24.47,64.29,64.29,63.95,65.34,60.09,31.75,31.75,30.23,30.68,34.27,3.97,3.97,5.81,3.98,5.63,53.17,52.38,58.72,58.52,52.11
Detroit Shoreway Community Dev. Org.,123,180,195,212,234,83,104,131,125,131,35,53,50,59,80,5,23,14,28,23,27500,29150,37900,40000,75000,22900,25925,38000,33100,88000,40000,20000,24750,35000,40375,252000,205000,234720,155412.5,285000,28,31,29,38,24,22.76,17.22,14.87,17.92,10.26,90.24,-17.04,20.13,141.52,-54.92,172.73,284.28,0.94,13.1,64,114,131,157,148,43750,57900,45000,50000,98500,21.56,125.14,67.48,57.78,67.18,58.96,55.98,28.46,29.44,25.64,27.83,34.19,4.07,12.78,7.18,13.21,9.83,52.03,63.33,67.18,74.06,63.25
Downtown Cleveland Alliance,38,59,77,84,69,1,5,2,3,1,0,0,0,0,0,37,54,75,81,68,202000,230000,200000,190000,182000,307000,287719,336500,275000,273000,,,,,,200000,202500,199000,190000,181000,0,0,0,0,0,0,0,0,0,0,81.58,-44.87,,1.21,,-9.9,-11.07,,-9.5,36,56,73,79,67,204500,234250,200000,190000,182000,2.49,-11,2.63,8.47,2.6,3.57,1.45,0,0,0,0,0,97.37,91.53,97.4,96.43,98.55,94.74,94.92,94.81,94.05,97.1
Fairfax Renaissance Dev. Corp.,46,38,41,40,69,30,24,30,29,49,16,14,11,11,20,0,0,0,0,0,10050,15875,22500,36200,23200,16800,31750,47250,60000,32000,6250,3750,5100,9500,14200,,,,,,23,17,13,14,21,50,44.74,31.71,35,30.43,50,8.88,-16.65,,-39.14,130.85,90.48,127.2,,16,13,18,20,36,54500,32500,14800,16250,23125,50,-57.57,65.22,63.16,73.17,72.5,71.01,34.78,36.84,26.83,27.5,28.99,0,0,0,0,0,34.78,34.21,43.9,50,52.17
Famicos Foundation,195,250,263,280,347,110,143,173,177,221,85,105,89,102,125,0,2,1,1,1,13000,10000,16619,17675,16000,11750,11900,19000,17150,16900,14000,9500,14400,18250,15000,,1000,3000,85000,14325,89,127,103,98,121,45.64,50.8,39.16,35,34.87,77.95,12.91,-17.37,,-23.6,23.08,43.83,7.14,,78,92,116,139,151,16100,15800,23650,20000,21700,8.8,34.78,56.41,57.2,65.78,63.21,63.69,43.59,42,33.84,36.43,36.02,0,0.8,0.38,0.36,0.29,40,36.8,44.11,49.64,43.52
