neighbor10,al_sales2012,al_sales2013,al_sales2014,al_sales2015,al_sales2016,sfsale2012,sfsale2013,sfsale2014,sfsale2015,sfsale2016,mfsale2012,mfsale2013,mfsale2014,mfsale2015,mfsale2016,cdsale2012,cdsale2013,cdsale2014,cdsale2015,cdsale2016,med_al_price2012,med_al_price2013,med_al_price2014,med_al_price2015,med_al_price2016,med_sfprice2012,med_sfprice2013,med_sfprice2014,med_sfprice2015,med_sfprice2016,med_mfprice2012,med_mfprice2013,med_mfprice2014,med_mfprice2015,med_mfprice2016,med_cdprice2012,med_cdprice2013,med_cdprice2014,med_cdprice2015,med_cdprice2016,distress2012,distress2013,distress2014,distress2015,distress2016,_distress2012,_distress2013,_distress2014,_distress2015,_distress2016,pctchg_alsales,pctchgrt_sfsales,pctchgrt_mfsales,pctchgrt_cdsales,pctchgrt_distress,pctchg_medalprice,pctchg_medsfprice,pctchg_medmfprice,pctchg_medcdprice,ntal_sales2012,ntal_sales2013,ntal_sales2014,ntal_sales2015,ntal_sales2016,med_ntal_price2012,med_ntal_price2013,med_ntal_price2014,med_ntal_price2015,med_ntal_price2016,pctchgrt_ntalsales,pctchg_medntalprice,_sfsale2012,_sfsale2013,_sfsale2014,_sfsale2015,_sfsale2016,_mfsale2012,_mfsale2013,_mfsale2014,_mfsale2015,_mfsale2016,_cdsale2012,_cdsale2013,_cdsale2014,_cdsale2015,_cdsale2016,_ntalsales2012,_ntalsales2013,_ntalsales2014,_ntalsales2015,_ntalsales2016
Bellaire-Puritas,149,181,190,172,247,140,178,178,165,237,9,3,12,7,10,,,,,,27000,27600,30000,32400,38000,27000,27600,29600,33000,38000,29500,24000,40500,15000,49500,,,,,,13,15,15,16,16,8.72,8.29,7.89,9.3,6.48,65.77,2.12,-32.95,,-25.69,40.74,40.74,67.8,,66,89,112,90,143,38650,41000,36900,40000,43000,30.68,11.25,93.96,98.34,93.68,95.93,95.95,6.04,1.66,6.32,4.07,4.05,,,,,,44.3,49.17,58.95,52.33,57.89
Broadway-Slavic Village,322,340,354,332,411,230,244,248,229,282,92,96,106,103,129,,,,,,12500,12500,15000,14650,13000,12000,13350,15750,14137,14000,13350,10908.5,12764,15000,11500,,,,,,137,150,128,129,177,42.55,44.12,36.16,38.86,43.07,27.64,-3.95,9.87,,1.22,4,16.67,-13.86,,143,177,178,173,196,15000,17300,17000,15500,17450,7.39,16.33,71.43,71.76,70.06,68.98,68.61,28.57,28.24,29.94,31.02,31.39,,,,,,44.41,52.06,50.28,52.11,47.69
Brooklyn Centre,70,84,103,108,127,56,58,69,70,85,14,26,34,38,42,,,,,,15000,16000,22500,25125.5,24700,14100,17750,21600,25900,22000,19950,15000,31443.5,22200,34000,,,,,,22,22,25,27,23,31.43,26.19,24.27,25,18.11,81.43,-16.34,65.35,,-42.38,64.67,56.03,70.43,,34,37,56,51,56,18000,22500,26750,35000,27000,-9.22,50,80,69.05,66.99,64.81,66.93,20,30.95,33.01,35.19,33.07,,,,,,48.57,44.05,54.37,47.22,44.09
Buckeye-Shaker Square,113,141,126,178,172,46,46,42,62,63,47,61,58,71,69,20,34,26,45,40,25101,21900,25500,35000,29550,17350,19750,28448.5,36450,27000,14900,9900,13450,20000,10000,61250,65000,65000,79000,72000,35,50,32,39,50,30.97,35.46,25.4,21.91,29.07,52.21,-10.02,-3.53,31.41,-6.13,17.72,55.62,-32.89,17.55,55,72,56,91,80,46000,50250,35500,50000,50500,-4.44,9.78,40.71,32.62,33.33,34.83,36.63,41.59,43.26,46.03,39.89,40.12,17.7,24.11,20.63,25.28,23.26,48.67,51.06,44.44,51.12,46.51
Buckeye-Woodhill,36,63,63,66,60,15,39,29,29,24,21,24,34,37,36,,,,,,10081.5,15000,10000,14875,14850,18000,22650,19750,14750,19250,8400,6347,5500,16700,10000,,,,,,18,28,35,27,26,50,44.44,55.56,40.91,43.33,66.67,-4.01,2.86,,-13.34,47.3,6.94,19.05,,14,31,33,33,26,25000,25100,16000,21700,23300,11.42,-6.8,41.67,61.9,46.03,43.94,40,58.33,38.1,53.97,56.06,60,,,,,,38.89,49.21,52.38,50,43.33
Central,19,35,26,27,35,18,31,20,21,30,1,2,4,2,5,,2,2,4,,44900,36000,43250,35000,50000,51100,40000,112400,79700,60200,7800,18150,19125,8050,20298,,1820,5881,4350,,2,4,6,9,2,10.53,11.43,23.08,33.33,5.71,84.21,-9.53,171.67,,-45.77,11.36,17.81,160.23,,4,7,6,4,16,57650,28000,14600,23875,27450,117.15,-52.39,94.74,88.57,76.92,77.78,85.71,5.26,5.71,15.38,7.41,14.29,,5.71,7.69,14.81,,21.05,20,23.08,14.81,45.71
Clark-Fulton,67,92,104,111,101,43,51,60,63,54,24,41,44,48,47,,,,,,14100,16125,18875,19971,21070,14100,16000,19825,20000,21285,14250,17842,17250,16500,20000,,,,,,26,28,35,29,23,38.81,30.43,33.65,26.13,22.77,50.75,-16.69,29.9,,-41.33,49.43,50.96,40.35,,35,34,39,61,52,15573,21375,24400,20000,28000,-1.44,79.8,64.18,55.43,57.69,56.76,53.47,35.82,44.57,42.31,43.24,46.53,,,,,,52.24,36.96,37.5,54.95,51.49
Collinwood-Nottingham,139,175,171,169,199,82,95,92,90,116,57,80,79,79,83,,,,,,10000,14900,17500,16000,17000,11500,15500,17700,16250,17200.5,8500,11270,17000,16000,15600,,,,,,70,74,53,44,65,50.36,42.29,30.99,26.04,32.66,43.17,-1.19,1.71,,-35.15,70,49.57,83.53,,33,59,73,65,68,13000,17500,19750,20154,19859.5,43.93,52.77,58.99,54.29,53.8,53.25,58.29,41.01,45.71,46.2,46.75,41.71,,,,,,23.74,33.71,42.69,38.46,34.17
Cudell,82,75,109,105,135,55,54,77,74,94,27,21,32,31,41,,,,,,17750,19000,22000,20000,25000,20000,16382.5,20000,20000,24995,15000,22750,23750,20200,25000,,,,,,23,19,20,28,29,28.05,25.33,18.35,26.67,21.48,64.63,3.82,-7.77,,-23.42,40.85,24.98,66.67,,40,35,57,52,60,19250,19000,27000,25000,30000,-8.9,55.84,67.07,72,70.64,70.48,69.63,32.93,28,29.36,29.52,30.37,,,,,,48.78,46.67,52.29,49.52,44.44
Cuyahoga Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Shoreway,109,161,179,183,207,72,89,118,107,113,32,49,47,48,71,5,23,14,28,23,27500,26100,34000,37400,75000,20302.5,18800,33200,30500,85000,38900,20000,25000,30000,37000,252000,205000,234720,155412.5,285000,27,28,29,36,22,24.77,17.39,16.2,19.67,10.63,89.91,-17.36,16.83,142.05,-57.09,172.73,318.67,-4.88,13.1,56,102,120,134,128,38850,57900,40850,39500,100000,20.36,157.4,66.06,55.28,65.92,58.47,54.59,29.36,30.43,26.26,26.23,34.3,4.59,14.29,7.82,15.3,11.11,51.38,63.35,67.04,73.22,61.84
Downtown,24,50,54,52,36,1,5,2,3,1,,,,,,23,45,52,49,35,187400,239500,174450,218500,204000,307000,287719,336500,275000,273000,,,,,,186800,230000,172500,206000,198000,0,0,0,0,0,0,0,0,0,0,50,-33.33,,1.45,,8.86,-11.07,,6,23,50,51,50,36,188000,239500,174000,218500,204000,4.35,8.51,4.17,10,3.7,5.77,2.78,,,,,,95.83,90,96.3,94.23,97.22,95.83,100,94.44,96.15,100
Edgewater,34,50,55,65,65,22,27,32,37,27,8,18,13,21,26,4,5,10,7,12,61650,65750,115000,119500,110000,139000,111000,176500,165000,130000,33550,57950,88000,86500,115000,56600,44000,44250,48500,67750,1,1,0,4,1,2.94,2,0,6.15,1.54,91.18,-35.81,70,56.97,-47.62,78.43,-6.47,242.77,19.7,27,34,43,50,48,90000,84750,120000,134400,117593.5,-7,30.66,64.71,54,58.18,56.92,41.54,23.53,36,23.64,32.31,40,11.76,10,18.18,10.77,18.46,79.41,68,78.18,76.92,73.85
Euclid-Green,51,64,55,42,79,33,47,34,32,60,18,17,21,10,19,,,,,,8501,17050.5,14500,13590,20000,8500,17500,14500,12750,22900,15250,14500,12810,22300,10924,,,,,,26,21,18,14,26,50.98,32.81,32.73,33.33,32.91,54.9,17.37,-31.85,,-35.45,135.27,169.41,-28.37,,12,23,17,8,39,16426,23600,15000,13925,22012,109.82,34.01,64.71,73.44,61.82,76.19,75.95,35.29,26.56,38.18,23.81,24.05,,,,,,23.53,35.94,30.91,19.05,49.37
Fairfax,45,37,40,39,68,29,24,30,29,48,16,13,10,10,20,,,,,,10000,15000,22950,38400,22975,16000,31750,47250,60000,30500,6250,3500,5550,8700,14200,,,,,,23,17,12,13,21,51.11,45.95,30,33.33,30.88,51.11,9.54,-17.29,,-39.58,129.75,90.63,127.2,,16,13,18,20,35,54500,32500,14800,16250,20500,44.74,-62.39,64.44,64.86,75,74.36,70.59,35.56,35.14,25,25.64,29.41,,,,,,35.56,35.14,45,51.28,51.47
Glenville,281,325,344,401,422,165,187,221,245,266,116,136,122,155,155,,2,1,1,1,12000,11500,16250,16700,14512.5,13000,12000,16500,16420,14475,11728,10000,16250,16967,15000,,1000,3000,85000,14325,131,156,141,152,165,46.62,48,40.99,37.91,39.1,50.18,7.34,-11.02,,-16.13,20.94,11.35,27.9,,102,129,145,188,164,19675,17000,22000,20750,20000,7.05,1.65,58.72,57.54,64.24,61.1,63.03,41.28,41.85,35.47,38.65,36.73,,0.62,0.29,0.25,0.24,36.3,39.69,42.15,46.88,38.86
Goodrich-Kirtland Pk,18,29,19,20,29,10,10,11,7,6,7,18,8,11,23,1,1,,2,,26000,27100,21500,26300,25000,24250,15850,20000,21000,18400,20000,28750,32900,27600,26000,105000,85000,,160000,,5,2,2,1,3,27.78,6.9,10.53,5,10.34,61.11,-62.76,103.93,,-62.78,-3.85,-24.12,30,,12,27,16,18,24,36500,27100,25475,26300,26650,24.13,-26.99,55.56,34.48,57.89,35,20.69,38.89,62.07,42.11,55,79.31,5.56,3.45,,10,,66.67,93.1,84.21,90,82.76
Hopkins,1,1,,3,,1,1,,3,,,,,,,,,,,,110000,119000,,125000,,110000,119000,,125000,,,,,,,,,,,,0,0,,0,,0,0,,0,,,,,,,,,,,1,,,2,,110000,,,102225,,,,100,100,,100,,,,,,,,,,,,100,,,66.67,
