neighbor10,_ebll_c2011,_ebll_c2012,_ebll_c2013,_ebll_c2014,_ebll_c2015,_ebll_5yavg,_w_ebll_c2011,_w_ebll_c2012,_w_ebll_c2013,_w_ebll_c2014,_w_ebll_c2015,_w_ebll_5yavg,_b_ebll_c2011,_b_ebll_c2012,_b_ebll_c2013,_b_ebll_c2014,_b_ebll_c2015,_b_ebll_5yavg,_a_ebll_c2011,_a_ebll_c2012,_a_ebll_c2013,_a_ebll_c2014,_a_ebll_c2015,_a_ebll_5yavg,_o_ebll_c2011,_o_ebll_c2012,_o_ebll_c2013,_o_ebll_c2014,_o_ebll_c2015,_o_ebll_5yavg,ordernum
Bellaire-Puritas,3.72,5.09,3.04,4.68,4.06,4.118,5.04,3.82,1.48,1.26,5.56,3.432,2.44,7.59,4.72,9.22,3.17,5.428,999999,999999,0,0,0,999999,3.57,0,4.35,3.7,0,2.324,1
Broadway-Slavic Village,21.24,21.92,20.81,16.67,18.83,19.894,19.9,22.04,24.1,15.98,20.77,20.558,21.67,22.24,19.9,16.91,18.46,19.836,999999,999999,999999,999999,999999,999999,21.31,19.05,19.05,16.67,15,18.216,2
Brooklyn Centre,16.84,18.36,16.76,13.69,13.33,15.796,14.6,18.02,15.63,16.1,16.67,16.204,22.61,21.05,19.67,11.88,7.32,16.506,999999,999999,999999,999999,999999,999999,13.51,8.33,9.09,4.35,11.11,9.278,3
Buckeye-Shaker Square,19.64,21.05,18.11,15.53,14.86,17.838,15,29.41,23.08,8.33,12.5,17.664,21.32,22.82,18.92,16.61,16.52,19.238,999999,999999,0,999999,0,999999,12.24,5.41,11.11,12,6.25,9.402,4
Buckeye-Woodhill,17.98,18.05,18.67,12,13.09,15.958,999999,999999,999999,999999,999999,999999,18.44,17.93,18.38,12.41,13.21,16.074,,,,,,,13.33,21.43,999999,8.33,15.38,999999,5
Central,10.88,8.88,5.5,9.48,6.39,8.226,12.5,12.5,6.67,0,10,8.334,10.38,8.41,5.3,9.7,6.25,8.008,999999,999999,999999,999999,999999,999999,19.61,18.42,8.7,10,8.33,13.012,6
Clark-Fulton,19.2,20.72,19.49,15.66,21.32,19.278,19.44,19.31,19.4,13.2,16.22,17.514,21.17,22.9,18.57,20.9,27.37,22.182,999999,999999,999999,999999,999999,999999,10.53,19.23,21.05,6.67,20.83,15.662,7
Collinwood-Nottingham,23.74,19.03,13.55,19.53,15.51,18.272,999999,0,9.09,999999,0,999999,24.48,19.73,14.62,19.72,16.54,19.018,999999,999999,999999,999999,999999,999999,14.29,14.29,0,15.38,0,8.792,8
Cudell,19.18,15.9,12.47,12.95,13.22,14.744,20.26,14.48,13.92,12,13.49,14.83,18.75,18,11.3,13.44,12.75,14.848,999999,999999,999999,999999,999999,999999,17.24,14.81,10.53,20,6.67,13.85,9
Cuyahoga Valley,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,,,,,,,999999,999999,999999,999999,999999,999999,10
Detroit Shoreway,18.32,16.78,13.97,15.34,15.3,15.942,17.78,16.23,12.12,10,11.69,13.564,20.88,18.72,16.58,20.96,21.88,19.804,999999,999999,999999,999999,999999,999999,7.14,0,9.52,9.09,2.94,5.738,11
Downtown,5.26,3.67,7.61,6.06,5.15,5.55,5.26,0,0,0,3.57,1.766,3.13,5.8,8.62,8.62,11.11,7.456,999999,999999,999999,999999,999999,999999,10,0,11.76,6.25,0,5.602,12
