cdc_name,v2012,v2013,v2014,v2015,v2016,h2012,h2013,h2014,h2015,h2016,r2012,r2013,r2014,r2015,r2016,ro2012,ro2013,ro2014,ro2015,ro2016,ag2012,ag2013,ag2014,ag2015,ag2016,a2012,a2013,a2014,a2015,a2016,dv2012,dv2013,dv2014,dv2015,dv2016,p2012,p2013,p2014,p2015,p2016,b2012,b2013,b2014,b2015,b2016,l2012,l2013,l2014,l2015,l2016,mv2012,mv2013,mv2014,mv2015,mv2016,ar2012,ar2013,ar2014,ar2015,ar2016,d2012,d2013,d2014,d2015,d2016,dp2012,dp2013,dp2014,dp2015,dp2016,dt2012,dt2013,dt2014,dt2015,dt2016,od2012,od2013,od2014,od2015,od2016,lq2012,lq2013,lq2014,lq2015,lq2016,Ia2012,Ia2013,Ia2014,Ia2015,Ia2016,II2012,II2013,II2014,II2015,II2016,_v2012,_v2013,_v2014,_v2015,_v2016,_h2012,_h2013,_h2014,_h2015,_h2016,_r2012,_r2013,_r2014,_r2015,_r2016,_ro2012,_ro2013,_ro2014,_ro2015,_ro2016,_ag2012,_ag2013,_ag2014,_ag2015,_ag2016,_a2012,_a2013,_a2014,_a2015,_a2016,_dv2012,_dv2013,_dv2014,_dv2015,_dv2016,_p2012,_p2013,_p2014,_p2015,_p2016,_b2012,_b2013,_b2014,_b2015,_b2016,_l2012,_l2013,_l2014,_l2015,_l2016,_mv2012,_mv2013,_mv2014,_mv2015,_mv2016,_ar2012,_ar2013,_ar2014,_ar2015,_ar2016,_d2012,_d2013,_d2014,_d2015,_d2016,_dp2012,_dp2013,_dp2014,_dp2015,_dp2016,_dt2012,_dt2013,_dt2014,_dt2015,_dt2016,_od2012,_od2013,_od2014,_od2015,_od2016,_lq2012,_lq2013,_lq2014,_lq2015,_lq2016,_Ia2012,_Ia2013,_Ia2014,_Ia2015,_Ia2016,_II2012,_II2013,_II2014,_II2015,_II2016,pctchgrt_v,pctchgrt_h,pctchgrt_r,pctchgrt_ro,pctchgrt_ag,pctchgrt_a,pctchgrt_dv,pctchgrt_p,pctchgrt_b,pctchgrt_l,pctchgrt_mv,pctchgrt_ar,pctchgrt_d,pctchgrt_dp,pctchgrt_dt,pctchgrt_od,pctchgrt_lq,pctchgrt_Ia,pctchgrt_II
Bellaire Puritas Community Dev. Corp.,183,168,193,192,227,1,0,1,1,4,22,21,20,16,16,111,95,113,121,135,49,52,59,54,72,338,335,335,399,372,191,226,249,260,305,1289,1475,1334,1153,1229,455,456,344,250,330,652,819,816,750,673,174,189,162,146,210,8,11,12,7,16,52,77,75,39,42,36,41,39,20,16,15,36,32,17,26,1,0,4,2,0,4,2,2,2,2,1472,1643,1527,1345,1456,1230,1274,1338,1370,1304,779.06,715.78,824.95,824.78,980.2,4.26,0,4.27,4.3,17.27,93.66,89.47,85.49,68.73,69.09,472.54,404.75,483,519.79,582.94,208.6,221.55,252.19,231.97,310.9,1438.91,1427.29,1431.91,1714.01,1606.32,813.11,962.89,1064.32,1116.9,1317.01,5487.45,6284.33,5702.01,4953,5306.89,1937,1942.82,1470.38,1073.94,1424.96,2775.65,3489.4,3487.89,3221.82,2906.05,740.74,805.25,692.45,627.18,906.79,34.06,46.87,51.29,30.07,69.09,221.37,328.06,320.58,167.53,181.36,153.26,174.68,166.7,85.92,69.09,63.86,153.38,136.78,73.03,112.27,4.26,0,17.1,8.59,0,17.03,8.52,8.55,8.59,8.64,6266.5,7000.11,6526.97,5777.79,6287.09,5236.28,5427.96,5719.11,5885.18,5630.75,25.82,305.4,-26.23,23.36,49.04,11.63,61.97,-3.29,-26.43,4.7,22.42,102.85,-18.07,-54.92,75.81,-100,-49.27,0.33,7.53
Buckeye Shaker Square Dev Corp.,402,400,380,432,403,9,4,8,10,14,29,39,27,24,30,225,209,202,234,202,139,148,143,164,157,516,491,482,572,456,350,379,400,446,355,1556,1446,1452,1219,1166,672,503,490,398,414,542,535,670,589,501,320,385,267,220,236,22,23,25,12,15,138,116,81,64,49,102,82,61,40,22,30,31,20,24,27,6,3,0,0,0,2,4,7,5,7,1958,1846,1832,1651,1569,1914,1909,2028,1959,1560,1693.41,1686.35,1607.22,1836.3,1721.92,37.91,16.86,33.84,42.51,59.82,122.16,164.42,114.2,102.02,128.18,947.81,881.12,854.37,994.66,863.1,585.53,623.95,604.82,697.11,670.82,2173.64,2069.99,2038.63,2431.39,1948.38,1474.37,1597.81,1691.81,1895.81,1516.83,6554.61,6096.15,6141.28,5181.59,4982.03,2830.78,2120.58,2072.47,1691.77,1768.92,2283.16,2255.49,2833.78,2503.66,2140.65,1347.99,1623.11,1129.28,935.15,1008.37,92.67,96.96,105.74,51.01,64.09,581.32,489.04,342.59,272.04,209.37,429.67,345.7,258,170.03,94,126.37,130.69,84.59,102.02,115.36,25.27,12.65,0,0,0,8.42,16.86,29.61,21.25,29.91,8248.03,7782.49,7748.5,7017.89,6703.95,8062.68,8048.09,8577.49,8327.1,6665.5,1.68,57.79,4.93,-8.94,14.57,-10.36,2.88,-23.99,-37.51,-6.24,-25.19,-30.84,-63.98,-78.12,-8.71,-100,255.23,-18.72,-17.33
Burton Bell Carr Dev. Corp.,514,538,483,473,477,8,3,8,10,15,51,39,50,55,39,262,316,228,208,218,193,180,197,200,205,624,628,680,632,480,366,388,413,476,402,1268,1113,1174,958,972,541,436,424,276,266,484,426,478,458,477,227,233,250,207,214,16,18,22,17,15,199,176,154,98,73,92,81,86,56,26,94,78,57,33,47,13,17,11,9,0,6,5,7,8,11,1782,1651,1657,1431,1449,2118,2042,2190,2043,1658,2794.59,2927.43,2636.67,2595,2630.53,43.5,16.32,43.67,54.86,82.72,277.28,212.21,272.95,301.74,215.08,1424.48,1719.46,1244.64,1141.14,1202.21,1049.33,979.44,1075.41,1097.25,1130.52,3392.65,3417.15,3712.09,3467.32,2647.08,1989.92,2111.23,2254.55,2611.46,2216.93,6894.04,6056.19,6408.81,5255.84,5360.33,2941.39,2372.42,2314.6,1514.21,1466.92,2631.48,2318,2609.38,2512.71,2630.53,1234.19,1267.83,1364.74,1135.66,1180.16,86.99,97.94,120.1,93.27,82.72,1081.95,957.67,840.68,537.65,402.58,500.2,440.75,469.47,307.23,143.38,511.07,424.42,311.16,181.05,259.19,70.68,92.5,60.05,49.38,0,32.62,27.21,38.21,43.89,60.66,9688.63,8983.62,9045.49,7850.84,7990.87,11515.44,11111.18,11955.11,11208.43,9143.45,-5.87,90.16,-22.43,-15.6,7.74,-21.98,11.41,-22.25,-50.13,-0.04,-4.38,-4.91,-62.79,-71.34,-49.28,-100,85.96,-17.52,-20.6
"Campus District, Inc.",104,120,108,104,172,2,0,0,0,1,13,13,9,12,15,47,67,50,48,81,42,40,49,44,75,219,155,224,167,166,72,75,61,80,52,351,282,274,264,332,53,70,45,45,50,242,158,188,178,245,53,49,39,38,32,3,5,2,3,5,70,49,64,27,39,45,39,44,18,10,21,8,19,7,29,4,2,1,2,0,3,0,0,2,1,455,402,382,368,504,556,460,537,429,488,2146.14,2478.31,2237.71,2165.61,3600.18,41.27,0,0,0,20.93,268.27,268.48,186.48,249.88,313.97,969.89,1383.72,1035.98,999.51,1695.43,866.71,826.1,1015.26,916.22,1569.84,4519.27,3201.15,4641.17,3477.47,3474.59,1485.79,1548.94,1263.89,1665.85,1088.43,7243.22,5824.03,5677.14,5497.31,6949.18,1093.71,1445.68,932.38,937.04,1046.56,4993.9,3263.11,3895.27,3706.52,5128.16,1093.71,1011.98,808.06,791.28,669.8,61.91,103.26,41.44,62.47,104.66,1444.52,1011.98,1326.05,562.23,816.32,928.62,805.45,911.66,374.82,209.31,433.36,165.22,393.67,145.76,607.01,82.54,41.31,20.72,41.65,0,61.91,0,0,41.65,20.93,9389.36,8302.34,7914.85,7662.92,10549.35,11473.59,9500.19,11126.37,8933.13,10214.45,67.75,-49.29,17.04,74.81,81.13,-23.12,-26.74,-4.06,-4.31,2.69,-38.76,69.05,-43.49,-77.46,40.07,-100,-66.19,12.35,-10.97
Collinwood Nottingham Villages Dev. Corp.,85,113,119,83,109,2,1,0,2,1,4,9,13,8,10,36,57,58,35,49,43,46,48,38,49,197,210,193,176,212,85,132,135,129,130,505,427,363,286,389,267,153,149,98,139,167,191,166,135,170,65,78,46,51,76,6,5,2,2,4,70,36,54,30,28,52,26,34,18,18,15,9,17,11,10,3,1,3,1,0,1,1,3,3,6,590,540,482,369,498,690,706,695,615,671,1356.7,1805.07,1907.07,1336.79,1764.66,31.92,15.97,0,32.21,16.19,63.84,143.77,208.34,128.85,161.9,574.6,910.52,929.5,563.71,793.29,686.33,734.81,769.24,612.03,793.29,3144.35,3354.55,3092.98,2834.65,3432.19,1356.7,2108.57,2163.48,2077.67,2104.65,8060.39,6820.91,5817.36,4606.3,6297.75,4261.63,2444.03,2387.84,1578.38,2250.35,2665.52,3051.04,2660.28,2174.3,2752.23,1037.48,1245.97,737.19,821.4,1230.41,95.77,79.87,32.05,32.21,64.76,1117.28,575.07,865.39,483.18,453.31,829.98,415.32,544.88,289.91,291.41,239.42,143.77,272.44,177.17,161.9,47.88,15.97,48.08,16.11,0,15.96,15.97,48.08,48.32,97.14,9417.09,8625.98,7724.43,5943.1,8062.41,11013.21,11277.66,11137.93,9905.17,10863.21,30.07,-49.28,153.6,38.06,15.58,9.15,55.13,-21.87,-47.2,3.25,18.6,-32.38,-59.43,-64.89,-32.38,-100,508.65,-14.39,-1.36
"Cudell Improvement, Inc.",211,292,243,237,266,3,4,0,4,10,18,29,32,20,31,116,169,147,135,142,74,90,64,78,83,332,417,387,395,381,212,282,258,236,241,937,878,860,678,781,418,329,319,200,242,360,394,367,340,397,151,149,163,130,133,8,6,11,8,9,152,149,134,67,53,78,69,86,30,23,72,75,47,34,30,2,5,1,3,0,3,4,1,3,3,1148,1170,1103,915,1047,1455,1539,1428,1332,1169,1325.89,1836.36,1533.15,1502.78,1695.42,18.85,25.16,0,25.36,63.74,113.11,182.38,201.9,126.82,197.59,728.92,1062.82,927.46,856.01,905.07,465,566,403.79,494.59,529.02,2086.23,2622.47,2441.69,2504.63,2428.4,1332.17,1773.47,1627.79,1496.44,1536.07,5887.95,5521.65,5425.97,4299.09,4977.9,2626.64,2069.05,2012.66,1268.17,1542.45,2262.18,2477.82,2315.5,2155.88,2530.38,948.86,937.05,1028.41,824.31,847.71,50.27,37.73,69.4,50.73,57.36,955.14,937.05,845.44,424.84,337.81,490.14,433.93,542.6,190.23,146.6,452.44,471.67,296.54,215.59,191.21,12.57,31.44,6.31,19.02,0,18.85,25.16,6.31,19.02,19.12,7213.84,7358.01,6959.13,5801.86,6673.32,9142.97,9678.61,9009.64,8445.99,7450.92,27.87,238.14,74.69,24.17,13.77,16.4,15.31,-15.46,-41.28,11.86,-10.66,14.1,-64.63,-70.09,-57.74,-100,1.43,-7.49,-18.51
Detroit Shoreway Community Dev. Org.,273,266,223,230,220,4,1,1,3,4,22,20,19,20,20,184,171,132,138,123,63,74,71,69,73,357,292,302,283,285,176,209,222,193,191,906,792,743,755,776,411,328,245,281,320,362,341,321,329,306,117,107,166,135,135,16,16,11,10,15,145,109,159,88,66,103,67,97,40,30,41,36,60,45,36,1,6,2,3,0,2,4,0,2,1,1179,1058,966,985,996,1222,1163,1216,1036,1006,2180.62,2126.42,1788.45,1853.82,1782.42,31.95,7.99,8.02,24.18,32.41,175.73,159.88,152.38,161.2,162.04,1469.72,1366.98,1058.63,1112.29,996.54,503.22,591.56,569.42,556.15,591.44,2851.58,2334.26,2422.03,2281,2309.05,1405.82,1670.76,1780.43,1555.6,1547.47,7236.78,6331.29,5958.83,6085.36,6287.09,3282.91,2622.05,1964.89,2264.88,2592.62,2891.52,2725.97,2574.41,2651.77,2479.19,934.55,855.36,1331.31,1088.11,1093.76,127.8,127.9,88.22,80.6,121.53,1158.2,871.35,1275.17,709.29,534.73,822.72,535.6,777.94,322.4,243.06,327.49,287.79,481.2,362.7,291.67,7.99,47.96,16.04,24.18,0,15.98,31.98,0,16.12,8.1,9417.4,8457.71,7747.28,7939.18,8069.52,9760.87,9297.09,9752.27,8350.24,8150.54,-18.26,1.44,-7.79,-32.2,17.53,-19.03,10.08,-13.12,-21.03,-14.26,17.04,-4.91,-53.83,-70.46,-10.94,-100,-49.31,-14.31,-16.5
Downtown Cleveland Alliance,265,294,269,266,317,2,2,3,1,4,23,30,21,21,36,137,176,162,141,173,103,86,83,103,104,560,535,538,462,554,101,87,84,94,83,1411,1265,1149,1180,1399,141,158,113,130,138,1084,953,895,956,1129,182,147,140,90,126,4,7,1,4,6,324,353,292,151,151,246,268,198,93,76,51,56,66,45,75,27,29,28,13,0,33,18,5,5,5,1676,1559,1418,1446,1716,1819,1807,1694,1462,1694,2298.86,2552.49,2343.01,2328.47,2789.31,17.35,17.36,26.13,8.75,35.2,199.52,260.46,182.91,183.83,316.77,1188.47,1528.02,1411.03,1234.26,1522.24,893.52,746.65,722.94,901.63,915.11,4857.97,4644.84,4686.02,4044.18,4874.7,876.17,755.33,731.65,822.84,730.32,12240.35,10982.65,10007.87,10329.3,12309.92,1223.17,1371.75,984.24,1137.97,1214.27,9403.64,8273.89,7795.51,8368.48,9934.17,1578.84,1276.24,1219.41,787.83,1108.69,34.7,60.77,8.71,35.01,52.79,2810.68,3064.72,2543.34,1321.8,1328.66,2134.04,2326.76,1724.59,814.09,668.73,442.42,486.19,574.86,393.91,659.93,234.22,251.78,243.88,113.8,0,286.27,156.27,43.55,43.77,44,14539.21,13535.14,12350.88,12657.77,15099.24,15779.73,15688.26,14754.86,12797.83,14905.66,21.33,102.88,58.77,28.08,2.42,0.34,-16.65,0.57,-0.73,5.64,-29.78,52.13,-52.73,-68.66,49.16,-100,-84.63,3.85,-5.54
Fairfax Renaissance Dev. Corp.,177,163,148,149,206,3,1,2,3,7,15,17,11,9,11,94,96,78,82,109,65,49,57,55,79,180,192,198,205,214,82,111,107,99,108,423,446,423,359,386,156,155,134,108,117,190,218,206,180,181,75,69,76,63,83,2,4,7,8,5,92,63,35,28,50,48,32,22,11,24,39,26,13,17,25,5,5,0,0,1,3,1,2,3,3,600,609,571,508,592,685,663,628,625,635,3031.01,2793.52,2544.67,2574.68,3578.1,51.37,17.14,34.39,51.84,121.59,256.87,291.35,189.13,155.52,191.06,1609.69,1645.26,1341.11,1416.94,1893.27,1113.08,839.77,980.04,950.38,1372.18,3082.39,3290.53,3404.35,3542.34,3717.06,1404.2,1902.34,1839.73,1710.69,1875.9,7243.61,7643.62,7272.94,6203.42,6704.6,2671.4,2656.42,2303.96,1866.21,2032.22,3253.63,3736.12,3541.9,3110.35,3143.87,1284.33,1182.53,1306.72,1088.62,1441.66,34.25,68.55,120.36,138.24,86.85,1575.44,1079.7,601.78,483.83,868.47,821.97,548.42,378.26,190.08,416.87,667.85,445.59,223.52,293.76,434.24,85.62,85.69,0,0,17.37,51.37,17.14,34.39,51.84,52.11,10274.62,10437.14,9817.6,8778.09,10282.7,11730.19,11362.6,10797.64,10799.82,11029.58,18.05,136.69,-25.62,17.62,23.28,20.59,33.59,-7.44,-23.93,-3.37,12.25,153.58,-44.87,-49.28,-34.98,-79.71,1.44,0.08,-5.97
Famicos Foundation,406,429,385,367,450,9,4,4,14,9,28,25,34,15,24,213,241,213,181,208,156,159,134,157,209,389,442,423,462,469,316,317,289,395,340,1203,1132,1055,923,1021,568,437,392,340,349,451,461,436,423,415,166,220,205,144,232,18,14,22,16,25,245,142,175,115,84,183,111,124,76,50,61,28,45,36,34,1,3,6,3,0,5,10,2,6,5,1609,1561,1440,1290,1471,1786,1788,1742,1749,1668,2073.87,2193.12,1974.57,1891.66,2331.52,45.97,20.45,20.51,72.16,46.63,143.03,127.8,174.38,77.32,124.35,1088.02,1232.03,1092.42,932.95,1077.68,796.86,812.84,687.25,809.24,1082.86,1987.04,2259.58,2169.46,2381.33,2429.96,1614.15,1620.56,1482.21,2035.99,1761.59,6145,5786.98,5410.82,4757.51,5289.96,2901.38,2234.02,2010.47,1752.5,1808.22,2303.74,2356.71,2236.13,2180.31,2150.18,847.94,1124.68,1051.39,742.23,1202.03,91.95,71.57,112.83,82.47,129.53,1251.47,725.93,897.53,592.76,435.22,934.78,567.45,635.96,391.73,259.06,311.59,143.14,230.79,185.56,176.16,5.11,15.34,30.77,15.46,0,25.54,51.12,10.26,30.93,25.91,8218.87,7980.11,7385.39,6649.17,7621.48,9123,9140.57,8934.27,9015.04,8642.17,12.42,1.44,-13.06,-0.95,35.89,22.29,9.13,-13.91,-37.68,-6.67,41.76,40.87,-65.22,-72.29,-43.46,-100,1.45,-7.27,-5.27
