neighbor10,v2012,v2013,v2014,v2015,v2016,h2012,h2013,h2014,h2015,h2016,r2012,r2013,r2014,r2015,r2016,ro2012,ro2013,ro2014,ro2015,ro2016,ag2012,ag2013,ag2014,ag2015,ag2016,a2012,a2013,a2014,a2015,a2016,dv2012,dv2013,dv2014,dv2015,dv2016,p2012,p2013,p2014,p2015,p2016,b2012,b2013,b2014,b2015,b2016,l2012,l2013,l2014,l2015,l2016,mv2012,mv2013,mv2014,mv2015,mv2016,ar2012,ar2013,ar2014,ar2015,ar2016,d2012,d2013,d2014,d2015,d2016,dp2012,dp2013,dp2014,dp2015,dp2016,dt2012,dt2013,dt2014,dt2015,dt2016,od2012,od2013,od2014,od2015,od2016,lq2012,lq2013,lq2014,lq2015,lq2016,Ia2012,Ia2013,Ia2014,Ia2015,Ia2016,II2012,II2013,II2014,II2015,II2016,_v2012,_v2013,_v2014,_v2015,_v2016,_h2012,_h2013,_h2014,_h2015,_h2016,_r2012,_r2013,_r2014,_r2015,_r2016,_ro2012,_ro2013,_ro2014,_ro2015,_ro2016,_ag2012,_ag2013,_ag2014,_ag2015,_ag2016,_a2012,_a2013,_a2014,_a2015,_a2016,_dv2012,_dv2013,_dv2014,_dv2015,_dv2016,_p2012,_p2013,_p2014,_p2015,_p2016,_b2012,_b2013,_b2014,_b2015,_b2016,_l2012,_l2013,_l2014,_l2015,_l2016,_mv2012,_mv2013,_mv2014,_mv2015,_mv2016,_ar2012,_ar2013,_ar2014,_ar2015,_ar2016,_d2012,_d2013,_d2014,_d2015,_d2016,_dp2012,_dp2013,_dp2014,_dp2015,_dp2016,_dt2012,_dt2013,_dt2014,_dt2015,_dt2016,_od2012,_od2013,_od2014,_od2015,_od2016,_lq2012,_lq2013,_lq2014,_lq2015,_lq2016,_Ia2012,_Ia2013,_Ia2014,_Ia2015,_Ia2016,_II2012,_II2013,_II2014,_II2015,_II2016,pctchgrt_v,pctchgrt_h,pctchgrt_r,pctchgrt_ro,pctchgrt_ag,pctchgrt_a,pctchgrt_dv,pctchgrt_p,pctchgrt_b,pctchgrt_l,pctchgrt_mv,pctchgrt_ar,pctchgrt_d,pctchgrt_dp,pctchgrt_dt,pctchgrt_od,pctchgrt_lq,pctchgrt_Ia,pctchgrt_II
Bellaire-Puritas,91,81,102,83,113,1,1,1,0,3,6,9,12,10,12,51,38,55,43,67,33,33,34,30,31,193,194,185,217,229,105,122,148,159,191,591,632,526,514,575,249,241,172,146,203,257,292,277,281,258,80,95,70,85,107,5,4,7,2,7,39,35,38,16,19,23,18,20,5,6,15,17,16,11,13,1,0,2,0,0,0,0,1,1,0,682,713,628,597,688,699,731,722,812,781,691.15,616.48,777.47,635.04,868.49,7.6,7.61,7.62,0,23.06,45.57,68.5,91.47,76.51,92.23,387.35,289.21,419.23,329,514.94,250.64,251.16,259.16,229.53,238.26,1465.84,1476.52,1410.12,1660.28,1760.03,797.48,928.53,1128.1,1216.52,1467.98,4488.65,4810.09,4009.32,3932.64,4419.3,1891.16,1834.23,1311.03,1117.05,1560.21,1951.92,2222.39,2111.37,2149.95,1982.92,607.6,723.04,533.56,650.34,822.37,37.98,30.44,53.36,15.3,53.8,296.21,266.38,289.65,122.42,146.03,174.69,137,152.45,38.26,46.11,113.93,129.39,121.96,84.16,99.91,7.6,0,15.24,0,0,0,0,7.62,7.65,0,5179.79,5426.58,4786.79,4567.68,5287.79,5308.91,5563.57,5503.29,6212.66,6002.56,25.66,203.42,102.39,32.94,-4.94,20.07,84.08,-1.55,-17.5,1.59,35.35,41.65,-50.7,-73.6,-12.31,-100,,2.09,13.07
Broadway-Slavic Village,490,501,381,445,459,5,3,8,9,5,39,36,18,36,23,280,303,211,235,239,166,159,144,165,192,554,578,539,573,602,400,409,417,462,481,1842,1612,1455,1333,1516,963,763,647,533,602,587,534,481,562,606,262,287,293,209,278,30,28,34,29,30,93,114,115,67,71,73,82,77,36,31,18,29,34,31,40,2,3,4,0,0,5,3,3,4,6,2332,2113,1836,1778,1975,2140,2141,2079,1978,1898,2204.23,2258.44,1720.06,2016.58,2089.45,22.49,13.52,36.12,40.78,22.76,175.44,162.28,81.26,163.14,104.7,1259.56,1365.88,952.58,1064.93,1087.97,746.74,716.75,650.1,747.72,874.02,2492.13,2605.54,2433.37,2596.63,2740.41,1799.37,1843.71,1882.58,2093.62,2189.6,8286.12,7266.67,6568.73,6040.67,6901.1,4331.99,3439.49,2920.94,2415.36,2740.41,2640.58,2407.2,2171.52,2546.78,2758.62,1178.59,1293.75,1322.78,947.11,1265.51,134.95,126.22,153.5,131.42,136.57,418.35,513.9,519.18,303.62,323.2,328.39,369.64,347.62,163.14,141.12,80.97,130.73,153.5,140.48,182.09,9,13.52,18.06,0,0,22.49,13.52,13.54,18.13,27.31,10490.35,9525.1,8288.79,8057.25,8990.55,9626.65,9651.32,9385.84,8963.58,8640.03,-5.21,1.2,-40.32,-13.62,17.04,9.96,21.69,-16.71,-36.74,4.47,7.37,1.2,-22.74,-57.03,124.89,-100,21.43,-14.3,-10.25
Brooklyn Centre,150,171,179,181,180,1,1,3,1,1,30,33,28,35,22,75,75,81,58,79,44,62,67,87,78,251,252,250,221,201,166,231,167,161,192,475,503,475,416,398,182,191,179,144,117,216,214,200,193,195,75,92,91,75,81,2,6,5,4,5,58,59,88,42,56,39,43,55,25,26,17,16,33,17,30,2,0,0,0,0,0,1,1,0,0,625,674,654,597,578,867,962,856,748,751,1697.26,1938.92,2032.67,2063.14,2061.04,11.32,11.34,34.07,11.4,11.45,339.45,374.18,317.96,398.95,251.9,848.63,850.41,919.81,661.12,904.57,497.86,703,760.83,991.67,893.12,2840.07,2857.36,2838.92,2519.08,2301.49,1878.3,2619.25,1896.4,1835.17,2198.44,5374.64,5703.38,5393.95,4741.8,4557.19,2059.34,2165.7,2032.67,1641.39,1339.68,2444.05,2426.49,2271.14,2199.92,2232.79,848.63,1043.16,1033.37,854.89,927.47,22.63,68.03,56.78,45.59,57.25,656.27,668.99,999.3,478.74,641.21,441.29,487.57,624.56,284.96,297.71,192.36,181.42,374.74,193.78,343.51,22.63,0,0,0,0,0,11.34,11.36,0,0,7071.9,7642.31,7426.61,6804.93,6618.23,9810.14,10907.86,9720.46,8526.11,8599.11,21.43,1.15,-25.79,6.59,79.39,-18.96,17.04,-15.21,-34.95,-8.64,9.29,152.98,-2.29,-32.54,78.58,-100,,-6.42,-12.34
Buckeye-Shaker Square,163,168,141,183,185,4,2,0,4,3,8,16,13,7,10,102,85,85,111,113,49,65,43,61,59,211,224,180,216,181,118,146,144,155,125,722,648,708,548,571,300,206,209,166,214,289,261,371,272,238,130,171,120,103,115,3,10,8,7,4,41,38,29,25,22,34,36,22,14,9,6,2,7,11,13,1,0,0,0,0,0,0,1,2,2,885,816,849,731,756,747,806,872,779,650,1326.84,1370.4,1151.88,1500.63,1523.91,32.56,16.31,0,32.8,24.71,65.12,130.51,106.2,57.4,82.37,830.29,693.36,694.39,910.22,930.82,398.87,530.22,351.28,500.21,486,1717.56,1827.2,1470.48,1771.24,1490.96,960.53,1190.95,1176.39,1271.03,1029.67,5877.16,5285.84,5783.9,4493.7,4703.53,2442.03,1680.38,1707.39,1361.23,1762.8,2352.49,2129.02,3030.83,2230.45,1960.49,1058.21,1394.87,980.32,844.62,947.3,24.42,81.57,65.35,57.4,32.95,333.74,309.97,236.91,205,181.22,276.76,293.66,179.73,114.8,74.14,48.84,16.31,57.19,90.2,107.09,8.14,0,0,0,0,0,0,8.17,16.4,16.47,7204,6656.24,6935.78,5994.34,6227.45,6080.66,6574.67,7123.67,6387.95,5354.29,14.85,-24.11,26.49,12.11,21.84,-13.19,7.2,-19.97,-27.81,-16.66,-10.48,34.93,-45.7,-73.21,119.27,-100,,-13.56,-11.95
Buckeye-Woodhill,152,150,153,159,150,2,1,5,5,8,11,18,9,10,15,76,83,81,84,58,63,48,58,60,69,169,158,196,221,171,114,130,157,150,141,542,503,421,428,375,244,195,142,125,120,155,165,182,218,175,130,136,86,80,74,13,7,11,5,6,53,35,24,19,9,36,22,17,12,5,15,13,7,7,4,2,0,0,0,0,0,3,1,1,2,694,653,574,587,525,648,636,697,716,567,2310.44,2284.81,2333.99,2434.68,2307.28,30.4,15.23,76.27,76.56,123.05,167.2,274.18,137.29,153.12,230.73,1155.22,1264.26,1235.64,1286.24,892.15,957.62,731.14,884.78,918.75,1061.35,2568.84,2406.67,2989.95,3384.05,2630.29,1732.83,1980.17,2395.01,2296.86,2168.84,8238.53,7661.73,6422.28,6553.72,5768.19,3708.86,2970.25,2166.19,1914.05,1845.82,2356.04,2513.29,2776.38,3338.11,2691.82,1976.03,2071.56,1311.92,1224.99,1138.26,197.6,106.62,167.8,76.56,92.29,805.61,533.12,366.12,290.94,138.44,547.21,335.11,259.33,183.75,76.91,228,198.02,106.78,107.19,61.53,30.4,0,0,0,0,0,45.7,15.25,15.31,30.76,10548.97,9946.54,8756.27,8988.39,8075.46,9849.76,9687.6,10632.62,10963.69,8721.5,-0.14,304.77,38,-22.77,10.83,2.39,25.16,-29.99,-50.23,14.25,-42.4,-53.29,-82.82,-85.95,-73.01,-100,,-23.45,-11.45
Central,353,352,351,316,347,4,1,6,6,12,32,19,29,30,25,177,207,171,152,153,140,125,145,128,157,465,447,523,435,320,252,270,283,321,258,836,719,795,616,615,371,278,281,170,164,300,267,328,293,321,150,161,174,138,121,15,13,12,15,9,127,121,106,80,49,54,52,55,48,16,64,57,43,24,33,9,12,8,8,0,4,5,4,5,10,1189,1071,1146,932,962,1411,1383,1547,1376,1068,2911.75,2909.59,2905.66,2625.79,2896.46,32.99,8.27,49.67,49.86,100.17,263.96,157.05,240.07,249.28,208.68,1460,1711.03,1415.58,1263.04,1277.11,1154.8,1033.23,1200.34,1063.61,1310.5,3835.6,3694.84,4329.51,3614.62,2671.08,2078.65,2231.78,2342.74,2667.34,2153.56,6895.82,5943.16,6581.18,5118.63,5133.49,3060.23,2297.91,2326.18,1412.61,1368.93,2474.58,2206.99,2715.26,2434.68,2679.43,1237.29,1330.8,1440.41,1146.71,1010,123.73,107.46,99.34,124.64,75.12,1047.57,1000.17,877.49,664.76,409.01,445.42,429.83,455.3,398.85,133.55,527.91,471.15,355.96,199.43,275.46,74.24,99.19,66.23,66.48,0,32.99,41.33,33.11,41.55,83.47,9807.58,8852.75,9486.84,7744.43,8029.95,11638.77,11431.7,12806.41,11433.83,8914.75,-0.53,203.64,-20.94,-12.53,13.48,-30.36,3.6,-25.56,-55.27,8.28,-18.37,-39.29,-60.96,-70.02,-47.82,-100,153.02,-18.13,-23.4
Clark-Fulton,164,152,170,140,165,0,0,4,1,3,20,14,11,19,10,96,80,103,85,87,48,58,52,35,65,267,239,270,249,211,155,149,163,144,190,548,551,500,425,618,237,215,173,133,221,228,254,228,230,286,77,68,85,53,100,6,14,14,9,11,73,98,101,48,57,49,63,63,27,24,24,34,35,21,33,0,1,3,0,0,4,3,1,2,0,712,703,670,565,783,847,860,915,782,785,1956.42,1817.07,2035.28,1682.44,1991.87,0,0,47.89,12.02,36.22,238.59,167.36,131.69,228.33,120.72,1145.22,956.35,1233.14,1021.48,1050.26,572.61,693.35,622.56,420.61,784.67,3185.15,2857.1,3232.5,2992.34,2547.17,1849.06,1781.2,1951.47,1730.51,2293.66,6537.31,6586.86,5986.12,5107.41,7460.44,2827.27,2570.19,2071.2,1598.32,2667.89,2719.9,3036.41,2729.67,2764.01,3452.57,918.56,812.9,1017.64,636.92,1207.19,71.58,167.36,167.61,108.16,132.79,870.85,1171.53,1209.2,576.84,688.1,584.54,753.13,754.25,324.47,289.73,286.31,406.45,419.03,252.37,398.37,0,11.95,35.92,0,0,47.72,35.86,11.97,24.03,0,8493.73,8403.93,8021.4,6789.85,9452.31,10104.2,10280.76,10954.6,9397.63,9476.45,1.81,,-49.4,-8.29,37.03,-20.03,24.04,14.12,-5.64,26.94,31.42,85.51,-20.99,-50.43,39.14,,-100,11.29,-6.21
Collinwood-Nottingham,207,266,242,195,218,4,2,2,4,4,12,15,18,19,15,91,133,116,81,98,100,116,106,91,101,379,388,342,357,371,187,246,243,238,277,901,780,697,601,714,436,311,290,224,241,320,333,305,261,303,127,124,91,110,165,18,12,11,6,5,210,94,93,61,52,152,69,62,33,30,54,24,28,27,22,4,1,3,1,0,4,5,8,12,7,1108,1046,939,796,932,1346,1277,1278,1179,1200,1820.48,2344.26,2135.94,1727.6,1940.13,35.18,17.63,17.65,35.44,35.6,105.54,132.2,158.87,168.33,133.49,800.31,1172.13,1023.84,717.62,872.17,879.46,1022.31,935.58,806.21,898.87,3333.15,3419.45,3018.55,3162.84,3301.77,1644.59,2168,2144.76,2108.56,2465.21,7923.93,6874.15,6151.85,5324.56,6354.36,3834.44,2740.85,2559.59,1984.53,2144.82,2814.27,2934.73,2691.98,2312.33,2696.6,1116.91,1092.81,803.18,974.55,1468.44,158.3,105.76,97.09,53.16,44.5,1846.86,828.42,820.83,540.43,462.78,1336.78,608.1,547.22,292.36,266.99,474.91,211.51,247.13,239.21,195.79,35.18,8.81,26.48,8.86,0,35.18,44.07,70.61,106.31,62.3,9744.41,9218.41,8287.78,7052.16,8294.49,11837.52,11254.22,11279.86,10445.35,10679.59,6.57,1.19,26.48,8.98,2.21,-0.94,49.9,-19.81,-44.06,-4.18,31.47,-71.89,-74.94,-80.03,-58.77,-100,77.09,-14.88,-9.78
Cudell,133,185,176,176,173,3,2,0,3,7,13,23,22,14,16,71,102,114,92,92,46,58,40,67,58,225,262,260,252,250,131,191,187,159,170,536,516,553,380,477,237,197,213,113,154,189,217,233,201,231,104,96,100,61,87,6,6,7,5,5,109,89,96,39,31,55,40,58,14,14,53,47,38,23,17,1,2,0,2,0,2,2,2,1,2,669,701,729,556,650,973,1030,979,896,758,1453.54,2026.07,1930.39,1937.67,1913.28,32.79,21.9,0,33.03,77.42,142.08,251.89,241.3,154.13,176.95,775.95,1117.08,1250.36,1012.88,1017.47,502.73,635.2,438.72,737.64,641.45,2458.99,2869.36,2851.71,2774.4,2764.86,1431.68,2091.78,2051.04,1750.51,1880.1,5857.87,5651.1,6065.36,4183.61,5275.34,2590.14,2157.49,2336.21,1244.07,1703.15,2065.55,2376.53,2555.57,2212.91,2554.73,1136.6,1051.37,1096.81,671.58,962.17,65.57,65.71,76.78,55.05,55.3,1191.25,974.71,1052.94,429.37,342.84,601.09,438.07,636.15,154.13,154.83,579.23,514.73,416.79,253.22,188.01,10.93,21.9,0,22.02,0,21.86,21.9,21.94,11.01,22.12,7311.4,7677.17,7995.75,6121.29,7188.62,10633.78,11280.3,10737.78,9864.52,8383.04,31.63,136.11,24.54,31.13,27.59,12.44,31.32,-9.94,-34.24,23.68,-15.35,-15.66,-71.22,-74.24,-67.54,-100,1.19,-1.68,-21.17
Cuyahoga Valley,16,13,15,19,17,0,0,0,0,0,1,1,3,1,1,8,6,5,11,11,7,6,7,7,5,31,17,19,20,16,2,2,2,4,8,124,109,111,81,101,39,41,46,28,28,65,54,54,40,56,20,14,11,12,17,0,0,0,1,0,12,6,11,8,3,6,2,4,4,2,5,4,4,3,1,1,0,3,1,0,0,0,0,0,1,140,122,126,100,118,94,75,82,67,84,1995.23,1624.52,1877.24,2386.82,2145.26,0,0,0,0,0,124.7,124.96,375.45,125.62,126.19,997.61,749.78,625.75,1381.84,1388.11,872.91,749.78,876.05,879.35,630.96,3865.75,2124.37,2377.84,2512.44,2019.06,249.4,249.93,250.3,502.49,1009.53,15463.01,13620.95,13891.61,10175.39,12745.34,4863.37,5123.48,5756.88,3517.42,3533.36,8105.61,6748,6758.08,5024.88,7066.73,2494.03,1749.48,1376.65,1507.46,2145.26,0,0,0,125.62,0,1496.42,749.78,1376.65,1004.98,378.57,748.21,249.93,500.6,502.49,252.38,623.51,499.85,500.6,376.87,126.19,124.7,0,375.45,125.62,0,0,0,0,0,126.19,17458.24,15245.47,15768.85,12562.21,14890.6,11721.96,9372.22,10262.27,8416.68,10600.09,7.52,,1.19,39.14,-27.72,-47.77,304.78,-17.58,-27.35,-12.82,-13.98,,-74.7,-66.27,-79.76,-100,,-14.71,-9.57
