neighbor10,hsg_den2012,hsg_den2013,hsg_den2014,hsg_den2015,hsg_den2016,f2012,f2013,f2014,f2015,f2016,shf2012,shf2013,shf2014,shf2015,shf2016,pctchg_hsgden,pctchg_f,pctchg_shf,_f12,_f13,_f14,_f15,_f16,pctchgrt_f,_shf12,_shf13,_shf14,_shf15,_shf16,pctchgrt_shf
Bellaire-Puritas,1500.77,1499.9,1495.51,1494.63,1519.49,154,137,96,79,96,97,82,88,80,73,1.25,-37.66,-24.74,3,2.67,1.88,1.55,1.85,-38.33,1.89,1.6,1.72,1.57,1.41,-25.4
Broadway-Slavic Village,1777.19,1735.27,1697.54,1671.73,1625.39,260,250,238,157,348,165,107,154,207,144,-8.54,33.85,-12.73,3.23,3.18,3.09,2.07,4.72,46.13,2.05,1.36,2,2.73,1.95,-4.88
Brooklyn Centre,1673.65,1666.1,1655.8,1652.37,1643.45,69,70,40,47,45,23,42,46,47,34,-1.8,-34.78,47.83,2.83,2.88,1.66,1.95,1.88,-33.57,0.94,1.73,1.91,1.95,1.42,51.06
Buckeye-Shaker Square,3024.52,3004.69,2970.19,2942.59,2907.23,115,105,64,79,122,66,55,71,59,76,-3.88,6.09,15.15,3.28,3.01,1.86,2.32,3.62,10.37,1.88,1.58,2.06,1.73,2.25,19.68
Buckeye-Woodhill,1425.13,1396.3,1361.7,1331.22,1294.15,60,54,51,47,93,40,22,34,41,53,-9.19,55,32.5,3.47,3.19,3.09,2.91,5.92,70.61,2.31,1.3,2.06,2.54,3.37,45.89
Central,348.35,346.22,356.88,353.89,339.4,41,35,35,27,27,24,16,24,8,17,-2.57,-34.15,-29.17,5.02,4.31,4.18,3.25,3.39,-32.47,2.94,1.97,2.87,0.96,2.14,-27.21
Clark-Fulton,2448.21,2385.33,2350.74,2335.02,2285.76,64,57,65,27,38,46,35,55,27,27,-6.64,-40.63,-41.3,2.74,2.5,2.9,1.21,1.74,-36.5,1.97,1.54,2.45,1.21,1.24,-37.06
Collinwood-Nottingham,1220.67,1195.2,1171.24,1156.38,1142.73,154,128,110,104,115,112,67,64,87,57,-6.39,-25.32,-49.11,3.83,3.25,2.85,2.73,3.05,-20.37,2.78,1.7,1.66,2.28,1.51,-45.68
Cudell,2179.24,2159.01,2138.78,2131.43,2113.04,55,71,60,38,48,50,24,51,55,33,-3.04,-12.73,-34,2.32,3.02,2.58,1.64,2.09,-9.91,2.11,1.02,2.19,2.37,1.44,-31.75
Cuyahoga Valley,2.19,2.19,2.19,2.19,1.92,0,0,1,0,0,0,0,0,1,0,-12.33,,,0,0,12.5,0,0,,0,0,0,12.5,0,
Detroit Shoreway,2044.37,2024.03,2016.16,2012.88,2000.42,61,65,59,47,38,51,33,34,31,48,-2.15,-37.7,-5.88,1.96,2.11,1.92,1.53,1.25,-36.22,1.64,1.07,1.11,1.01,1.57,-4.27
Downtown,223.01,223.37,223.73,224.45,225.53,2,0,1,2,2,0,1,1,0,0,1.13,0,,0.32,0,0.16,0.32,0.32,0,0,0.16,0.16,0,0,
Edgewater,1991.79,1985.78,1985.78,1988.19,1984.58,25,20,15,13,5,14,14,7,10,7,-0.36,-80,-50,1.51,1.21,0.91,0.79,0.3,-80.13,0.84,0.85,0.42,0.6,0.42,-50
