neighbor10,count2012,count2013,count2014,count2015,count2016,band12012,band12013,band12014,band12015,band12016,band22012,band22013,band22014,band22015,band22016,band32012,band32013,band32014,band32015,band32016,_band12012,_band12013,_band12014,_band12015,_band12016,_band22012,_band22013,_band22014,_band22015,_band22016,_band32012,_band32013,_band32014,_band32015,_band32016,meanscore2012,meanscore2013,meanscore2014,meanscore2015,meanscore2016,w_count2012,w_count2013,w_count2014,w_count2015,w_count2016,w_band12012,w_band12013,w_band12014,w_band12015,w_band12016,w_band22012,w_band22013,w_band22014,w_band22015,w_band22016,w_band32012,w_band32013,w_band32014,w_band32015,w_band32016,_w_band12012,_w_band12013,_w_band12014,_w_band12015,_w_band12016,_w_band22012,_w_band22013,_w_band22014,_w_band22015,_w_band22016,_w_band32012,_w_band32013,_w_band32014,_w_band32015,_w_band32016,w_meanscore2012,w_meanscore2013,w_meanscore2014,w_meanscore2015,w_meanscore2016,b_count2012,b_count2013,b_count2014,b_count2015,b_count2016,b_band12012,b_band12013,b_band12014,b_band12015,b_band12016,b_band22012,b_band22013,b_band22014,b_band22015,b_band22016,b_band32012,b_band32013,b_band32014,b_band32015,b_band32016,_b_band12012,_b_band12013,_b_band12014,_b_band12015,_b_band12016,_b_band22012,_b_band22013,_b_band22014,_b_band22015,_b_band22016,_b_band32012,_b_band32013,_b_band32014,_b_band32015,_b_band32016,b_meanscore2012,b_meanscore2013,b_meanscore2014,b_meanscore2015,b_meanscore2016,a_count2012,a_count2013,a_count2014,a_count2015,a_count2016,a_band12012,a_band12013,a_band12014,a_band12015,a_band12016,a_band22012,a_band22013,a_band22014,a_band22015,a_band22016,a_band32012,a_band32013,a_band32014,a_band32015,a_band32016,_a_band12012,_a_band12013,_a_band12014,_a_band12015,_a_band12016,_a_band22012,_a_band22013,_a_band22014,_a_band22015,_a_band22016,_a_band32012,_a_band32013,_a_band32014,_a_band32015,_a_band32016,a_meanscore2012,a_meanscore2013,a_meanscore2014,a_meanscore2015,a_meanscore2016,o_count2012,o_count2013,o_count2014,o_count2015,o_count2016,o_band12012,o_band12013,o_band12014,o_band12015,o_band12016,o_band22012,o_band22013,o_band22014,o_band22015,o_band22016,o_band32012,o_band32013,o_band32014,o_band32015,o_band32016,_o_band12012,_o_band12013,_o_band12014,_o_band12015,_o_band12016,_o_band22012,_o_band22013,_o_band22014,_o_band22015,_o_band22016,_o_band32012,_o_band32013,_o_band32014,_o_band32015,_o_band32016,o_meanscore2012,o_meanscore2013,o_meanscore2014,o_meanscore2015,o_meanscore2016,h_count2012,h_count2013,h_count2014,h_count2015,h_count2016,h_band12012,h_band12013,h_band12014,h_band12015,h_band12016,h_band22012,h_band22013,h_band22014,h_band22015,h_band22016,h_band32012,h_band32013,h_band32014,h_band32015,h_band32016,_h_band12012,_h_band12013,_h_band12014,_h_band12015,_h_band12016,_h_band22012,_h_band22013,_h_band22014,_h_band22015,_h_band22016,_h_band32012,_h_band32013,_h_band32014,_h_band32015,_h_band32016,h_meanscore2012,h_meanscore2013,h_meanscore2014,h_meanscore2015,h_meanscore2016
Bellaire-Puritas,104,105,118,98,73,48,40,47,34,23,43,44,47,42,32,13,21,24,22,18,46.15,38.1,39.83,34.69,31.51,41.35,41.9,39.83,42.86,43.84,12.5,20,20.34,22.45,24.66,14.8,16.54,16.01,259.09,259.81,43,33,35,26,37,19,8,12,8,11,19,16,13,12,16,5,9,10,6,10,44.19,24.24,34.29,30.77,29.73,44.19,48.48,37.14,46.15,43.24,11.63,27.27,28.57,23.08,27.03,15.14,17.88,16.97,259.69,261.24,31,46,56,47,33,15,20,23,20,11,11,18,22,21,16,5,8,11,6,6,48.39,43.48,41.07,42.55,33.33,35.48,39.13,39.29,44.68,48.48,16.13,17.39,19.64,12.77,18.18,14.42,16.28,15.68,256.26,257.82,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,12,999999,999999,999999,999999,0,999999,999999,999999,999999,5,999999,999999,999999,999999,7,999999,999999,999999,999999,0,999999,999999,999999,999999,41.67,999999,999999,999999,999999,58.33,999999,999999,999999,999999,269.33,999999,17,19,19,12,999999,8,10,7,5,999999,6,7,10,4,999999,3,2,2,3,999999,47.06,52.63,36.84,41.67,999999,35.29,36.84,52.63,33.33,999999,17.65,10.53,10.53,25,999999,13.82,14.53,15.89,259.58,999999
Broadway-Slavic Village,173,154,174,136,131,78,81,77,51,51,66,62,71,67,60,29,11,26,18,20,45.09,52.6,44.25,37.5,38.93,38.15,40.26,40.8,49.26,45.8,16.76,7.14,14.94,13.24,15.27,15.68,13.44,15.09,256.05,254.91,26,17,16,16,24,15,7,3,6,12,7,9,8,9,8,4,1,5,1,4,57.69,41.18,18.75,37.5,50,26.92,52.94,50,56.25,33.33,15.38,5.88,31.25,6.25,16.67,15.69,13.88,18.31,255.19,253.5,128,129,141,106,107,51,70,64,38,39,55,49,61,54,52,22,10,16,14,16,39.84,54.26,45.39,35.85,36.45,42.97,37.98,43.26,50.94,48.6,17.19,7.75,11.35,13.21,14.95,16.11,13.51,14.87,256.33,255.22,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,6,999999,999999,999999,999999,0,999999,999999,999999,999999,4,999999,999999,999999,999999,60,999999,999999,999999,999999,0,999999,999999,999999,999999,40,999999,999999,999999,999999,14.4,999999,999999,13,999999,999999,999999,999999,9,999999,999999,999999,999999,3,999999,999999,999999,999999,1,999999,999999,999999,999999,69.23,999999,999999,999999,999999,23.08,999999,999999,999999,999999,7.69,999999,999999,999999,999999,11.62,999999,999999,999999,999999
Brooklyn Centre,102,89,92,86,83,63,52,54,47,39,28,31,32,29,35,11,6,6,10,9,61.76,58.43,58.7,54.65,46.99,27.45,34.83,34.78,33.72,42.17,10.78,6.74,6.52,11.63,10.84,12.66,12.01,12.63,250.88,251.83,37,24,33,30,55,23,13,17,12,27,10,9,13,12,22,4,2,3,6,6,62.16,54.17,51.52,40,49.09,27.03,37.5,39.39,40,40,10.81,8.33,9.09,20,10.91,12.65,12.96,13.88,255.5,251.36,30,25,24,19,28,20,12,12,10,12,9,10,10,6,13,1,3,2,3,3,66.67,48,50,52.63,42.86,30,40,41.67,31.58,46.43,3.33,12,8.33,15.79,10.71,11.23,13,13.17,252.68,252.75,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,32,35,33,34,999999,19,23,25,23,999999,8,11,8,10,999999,5,1,0,1,999999,59.38,65.71,75.76,67.65,999999,25,31.43,24.24,29.41,999999,15.63,2.86,0,2.94,999999,13.63,11.03,10.52,246.32,999999
Buckeye-Shaker Square,51,46,62,31,42,24,18,26,12,13,18,16,27,12,23,9,12,9,7,6,47.06,39.13,41.94,38.71,30.95,35.29,34.78,43.55,38.71,54.76,17.65,26.09,14.52,22.58,14.29,14.82,17.28,15.53,258.74,257.71,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,50,43,62,31,42,23,17,26,12,13,18,14,27,12,23,9,12,9,7,6,46,39.53,41.94,38.71,30.95,36,32.56,43.55,38.71,54.76,18,27.91,14.52,22.58,14.29,14.92,17.65,15.53,258.74,257.71,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Buckeye-Woodhill,68,54,59,49,45,24,20,30,14,17,30,24,22,24,20,14,10,7,11,8,35.29,37.04,50.85,28.57,37.78,44.12,44.44,37.29,48.98,44.44,20.59,18.52,11.86,22.45,17.78,16.63,16.72,13.61,259.27,255.89,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,66,50,57,48,45,23,17,29,14,17,30,23,21,24,20,13,10,7,10,8,34.85,34,50.88,29.17,37.78,45.45,46,36.84,50,44.44,19.7,20,12.28,20.83,17.78,16.7,17.32,13.81,258.85,255.89,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Central,228,185,171,154,150,100,80,80,75,67,102,78,71,60,62,26,27,20,19,21,43.86,43.24,46.78,48.7,44.67,44.74,42.16,41.52,38.96,41.33,11.4,14.59,11.7,12.34,14,15.3,15.05,14.74,254.12,252.96,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,217,181,164,146,146,93,78,76,73,64,98,76,68,56,62,26,27,20,17,20,42.86,43.09,46.34,50,43.84,45.16,41.99,41.46,38.36,42.47,11.98,14.92,12.2,11.64,13.7,15.43,15.17,14.77,253.78,253,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Clark-Fulton,90,113,86,67,69,53,68,53,32,42,27,36,27,28,22,10,9,6,7,5,58.89,60.18,61.63,47.76,60.87,30,31.86,31.4,41.79,31.88,11.11,7.96,6.98,10.45,7.25,12.42,12.86,11.73,254.85,250.77,17,21,19,18,49,8,10,8,5,30,5,8,8,10,15,4,3,3,3,4,47.06,47.62,42.11,27.78,61.22,29.41,38.1,42.11,55.56,30.61,23.53,14.29,15.79,16.67,8.16,15.41,14.29,15.32,259.5,249.96,25,25,18,18,20,13,14,7,11,12,10,10,10,6,7,2,1,1,1,1,52,56,38.89,61.11,60,40,40,55.56,33.33,35,8,4,5.56,5.56,5,13.76,13.72,14.11,251.61,252.75,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,46,64,46,29,999999,31,42,36,15,999999,11,17,9,11,999999,4,5,1,3,999999,67.39,65.63,78.26,51.72,999999,23.91,26.56,19.57,37.93,999999,8.7,7.81,2.17,10.34,999999,10.39,12.11,9.35,253.97,999999
Collinwood-Nottingham,85,74,75,68,57,38,34,32,19,23,35,25,35,36,19,12,15,8,13,15,44.71,45.95,42.67,27.94,40.35,41.18,33.78,46.67,52.94,33.33,14.12,20.27,10.67,19.12,26.32,15.73,15.39,15.23,257.82,254.26,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,82,70,72,67,56,38,32,31,19,22,33,24,33,35,19,11,14,8,13,15,46.34,45.71,43.06,28.36,39.29,40.24,34.29,45.83,52.24,33.93,13.41,20,11.11,19.4,26.79,15.5,15.53,15.35,257.69,254.59,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Cudell,95,85,91,89,65,45,39,39,33,28,35,28,37,48,28,15,18,15,8,9,47.37,45.88,42.86,37.08,43.08,36.84,32.94,40.66,53.93,43.08,15.79,21.18,16.48,8.99,13.85,14.87,15.47,15.41,254.9,255.55,22,20,22,25,25,13,9,7,6,11,7,7,11,17,10,2,4,4,2,4,59.09,45,31.82,24,44,31.82,35,50,68,40,9.09,20,18.18,8,16,13.18,15.35,16.59,257.68,253.56,43,48,43,48,34,16,24,18,17,15,18,17,17,26,15,9,7,8,5,4,37.21,50,41.86,35.42,44.12,41.86,35.42,39.53,54.17,44.12,20.93,14.58,18.6,10.42,11.76,16.35,15.04,16.21,255.73,256.35,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,23,14,17,14,999999,12,5,7,9,999999,9,3,7,4,999999,2,6,3,1,999999,52.17,35.71,41.18,64.29,999999,39.13,21.43,41.18,28.57,999999,8.7,42.86,17.65,7.14,999999,13.7,16.86,14.88,250.93,999999
Cuyahoga Valley,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
