cdc_name,ams_res2012,ams_res2013,ams_res2014,ams_res2015,ams_res2016,res_occ2012,res_occ2013,res_occ2014,res_occ2015,res_occ2016,ams_bus2012,ams_bus2013,ams_bus2014,ams_bus2015,ams_bus2016,bus_occ2012,bus_occ2013,bus_occ2014,bus_occ2015,bus_occ2016,_res_occ2012,_res_occ2013,_res_occ2014,_res_occ2015,_res_occ2016,_bus_occ2012,_bus_occ2013,_bus_occ2014,_bus_occ2015,_bus_occ2016,pctchgrt_res,pctchgrt_bus
Buckeye Shaker Square Dev Corp.,16286.48272281,16307.45253365,16184.49692186,16188.91452857,16208.27026895,13615.3804855,13472.32947542,13361.79834578,13630.34326942,13855.48970918,1072.96583008,1047.59784278,1029.18680874,1004.14777036,1008.12603535,944.65066271,918.19113668,895.60202683,871.69323674,860.89818336,83.6,82.61,82.56,84.2,85.48,88.04,87.65,87.02,86.81,85.4,2.25,-3
Detroit Shoreway Community Dev. Org.,7158.69819427,7133.25247935,7097.00583062,7075.46605908,7070.3609081,5829.95080857,5893.24768586,5871.88975717,6031.05308495,6079.75259759,672.96510007,678.6069181,671.17837131,669.06244081,659.96658801,513.50037248,534.65190935,527.98723005,531.46810206,531.78789045,81.44,82.62,82.74,85.24,85.99,76.3,78.79,78.67,79.43,80.58,5.59,5.61
Hough Dev. Corp.,14392.83317145,14394.22435817,14920.97102035,14937.60545155,14965.12262559,12532.87991447,12490.99411373,13078.3253705,13164.73504599,13135.50715606,2202.58805534,2195.8307234,2158.81162912,2237.13441264,2243.7850824,1914.20986814,1892.05292215,1814.67027515,1870.91927728,1870.4186629,87.08,86.78,87.65,88.13,87.77,86.91,86.17,84.06,83.63,83.36,0.79,-4.08
Kamm's Corners Dev. Corp.,12908.85362906,12963.52575971,12905.78330678,12970.18796129,13014.61650149,12499.92337263,12583.56269999,12554.29007236,12691.90540238,12756.99722539,1075.362779,1042.08562106,1006.83217195,993.60095356,977.39511839,976.77254375,949.05560479,912.64560273,903.55731425,892.70954517,96.83,97.07,97.28,97.85,98.02,90.83,91.07,90.65,90.94,91.34,1.23,0.56
Little Italy Redevelopment Corp.,1296.51036674,1338.41050447,1332.87370037,1352.32733176,1339.75729068,1226.17797432,1257.15414826,1241.59124279,1276.90707425,1276.60778795,114.77647737,115.82398108,109.23967473,107.44395458,108.04252796,98.31570685,101.45821789,94.87391134,93.97605147,95.47248532,94.58,93.93,93.15,94.42,95.29,85.66,87.6,86.85,87.47,88.37,0.75,3.16
Northeast Shores Dev. Corp.,11385.28060501,11348.94376573,11299.41097338,11191.4850193,11150.12413014,9922.90922152,9828.34122809,9803.30958041,9712.39886927,9761.27170292,697.04417169,694.53844795,687.45822644,688.32823139,678.10962491,589.37223274,569.80252885,546.00142367,551.64746782,543.76418629,87.16,86.6,86.76,86.78,87.54,84.55,82.04,79.42,80.14,80.19,0.44,-5.16
Slavic Village Dev. Corp.,12596.59738368,12275.32087318,12008.384463,11942.90316171,11844.83793452,9742.49894087,9515.46471595,9155.6560238,9326.75388159,9423.15698276,1006.27976561,990.83901223,981.34221526,974.75096189,965.34023223,804.80383442,792.9935354,784.40715699,784.75114307,766.96514533,77.34,77.52,76.24,78.09,79.55,79.98,80.03,79.93,80.51,79.45,2.86,-0.66
Tremont West Dev. Corp.,4383.07716799,4464.36690393,4496.75956213,4483.68407022,4488.21924561,4067.23916653,4153.03894437,4195.36014025,4178.89843518,4198.46552472,593.98843975,592.19921602,585.88391325,579.64259812,586.91742339,529.20254872,533.70219086,532.91418391,530.10950817,537.38388611,92.79,93.03,93.3,93.2,93.54,89.09,90.12,90.96,91.45,91.56,0.81,2.77
Westown Community Dev. Corp.,11431.72493076,11419.89808578,11394.72723434,11369.39831853,11352.07145538,10278.73888586,10291.42837624,10301.00796742,10389.85577194,10481.92985608,715.14830108,713.91972957,708.27631723,707.60031261,709.53182938,554.83953437,561.7018944,572.50303271,577.92811975,582.43504102,89.91,90.12,90.4,91.38,92.33,77.58,78.68,80.83,81.67,82.09,2.69,5.81
Bellaire Puritas Community Dev. Corp.,11951.73409912,11964.45538198,11902.06436346,11923.37602646,11946.23264474,11173.48845003,11246.85193174,11242.04109958,11382.96978539,11475.92253096,1057.99402361,1046.32815997,1033.35803206,1021.99488543,1015.23552514,951.5304755,945.81203181,933.10756843,928.83082656,930.54740138,93.49,94,94.45,95.47,96.06,89.94,90.39,90.3,90.88,91.66,2.75,1.91
