neighbor10,ams_res2012,ams_res2013,ams_res2014,ams_res2015,ams_res2016,res_occ2012,res_occ2013,res_occ2014,res_occ2015,res_occ2016,ams_bus2012,ams_bus2013,ams_bus2014,ams_bus2015,ams_bus2016,bus_occ2012,bus_occ2013,bus_occ2014,bus_occ2015,bus_occ2016,_res_occ2012,_res_occ2013,_res_occ2014,_res_occ2015,_res_occ2016,_bus_occ2012,_bus_occ2013,_bus_occ2014,_bus_occ2015,_bus_occ2016,pctchgrt_res,pctchgrt_bus
Bellaire-Puritas,6597.94071083,6598.73175877,6597.942407330001,6634.63024086,6638.2339716199995,6105.77127325,6168.71943605,6186.6918111800005,6279.55392355,6321.25372713,623.0940242,619.91457161,615.66457161,606.6318851,603.95760692,560.0538850600001,555.4388118100001,551.6457765,546.60423172,545.7131369,92.54,93.48,93.77,94.65,95.22,89.88,89.6,89.6,90.1,90.36,2.9,0.53
Broadway-Slavic Village,12573.64533032,12253.879179849999,11987.16050249,11922.288462989998,11824.224621,9718.72305927,9493.510662189998,9134.17424633,9305.377601579998,9401.6591902,1004.79850494,989.40517604,979.95633544,973.320969,963.81494866,803.39483614,791.60963505,783.12239104,783.44777812,765.69974633,77.29,77.47,76.2,78.05,79.51,79.96,80.01,79.91,80.49,79.44,2.87,-0.65
Brooklyn Centre,4091.6416827900002,4070.80550219,4050.84855988,3999.4403460900003,3981.5454928,3637.5182388800004,3575.31574277,3499.56995768,3482.82235337,3526.21267237,179.43944944999998,178.83071464,178.11808787,173.63522885999998,172.24615455,153.95220507,150.21317302,145.19378731,139.62066814999997,138.7083467,88.9,87.83,86.39,87.08,88.56,85.8,84,81.52,80.41,80.53,-0.38,-6.14
Buckeye-Shaker Square,9426,9439.75,9438.5,9471.5,9484.25,8147.25,8022.25,8080.5,8290.25,8465.75,701,676,665.25,642.75,643,640.75,613.5,600.5,575.5,564,86.43,84.98,85.61,87.53,89.26,91.41,90.75,90.27,89.54,87.71,3.27,-4.05
Buckeye-Woodhill,3726.3872914399994,3764.15685239,3712.4810808400002,3722.0284352400004,3736.44208311,3120.5821518499997,3152.9489409400003,3077.61709052,3123.6841764400006,3143.05517452,278.57866831,278.29348747,274.33066345,277.88297649000003,277.25105405,233.59945585,233.90659429,228.65319954999995,233.88012397000003,232.34441428999997,83.74,83.76,82.9,83.92,84.12,83.85,84.05,83.35,84.16,83.8,0.45,-0.06
Central,5365.03475178,5376.09751773,5335.847517730001,5198.30106383,5067.45531915,4961.59680852,4933.52943262,4921.24078014,4918.9464539,4861.58829788,763.08333333,758.78687943,765.54432624,770.69361702,770.29113476,663.17411348,653.34007092,650.66843972,664.34397163,672.0460992999999,92.48,91.77,92.23,94.63,95.94,86.91,86.1,84.99,86.2,87.25,3.74,0.39
Clark-Fulton,3733.15958807,3745.40184719,3718.45086502,3655.1326402600002,3602.7913961,3216.0250521400003,3237.1087182,3177.38682155,3143.5181355600002,3144.37750087,366.16249645999994,365.39522701,366.67124560999997,367.10706387000005,363.11114209000004,310.44813046999997,304.15557576,303.55320513,307.45818066000004,303.97029229000003,86.15,86.43,85.45,86,87.28,84.78,83.24,82.79,83.75,83.71,1.31,-1.26
Collinwood-Nottingham,7233.01708774,7087.65059519,6997.7808633,6917.727627329999,6856.9642609,5974.02737177,5781.58214334,5763.27411563,5718.10894906,5607.642143790001,818.1171090400001,804.3298847799999,785.54886456,761.0892665,744.24388002,690.97430954,671.9879337899999,641.42414478,620.57854533,605.45299049,82.59,81.57,82.36,82.66,81.78,84.46,83.55,81.65,81.54,81.35,-0.98,-3.68
Cudell,4681.87209702,4658.54819071,4597.13465835,4547.48579689,4543.50151507,3942.69126383,3970.56901276,3906.46771327,3905.5361677099995,3972.15664324,289.82999103,289.38791463,284.18329895,282.96610322000004,284.86175772,212.18971867999997,216.85460676000002,214.86736856,215.25592892000003,220.94171529000002,84.21,85.23,84.98,85.88,87.43,73.21,74.94,75.61,76.07,77.56,3.82,5.94
Cuyahoga Valley,1759.27272414,1805.62403556,1856.6430545,1884.29032697,1898.0505634400001,1733.04716303,1779.3993534400001,1833.31885368,1864.49879657,1880.5176662400002,938.80219741,890.40622912,839.30466574,808.95439746,793.85285149,914.77492035,868.79744181,818.61505759,789.65040507,777.7673376700001,98.51,98.55,98.74,98.95,99.08,97.44,97.57,97.53,97.61,97.97,0.58,0.54
