cdc_name,al_sales2011,al_sales2012,al_sales2013,al_sales2014,al_sales2015,sfsale2011,sfsale2012,sfsale2013,sfsale2014,sfsale2015,mfsale2011,mfsale2012,mfsale2013,mfsale2014,mfsale2015,cdsale2011,cdsale2012,cdsale2013,cdsale2014,cdsale2015,med_al_price2011,med_al_price2012,med_al_price2013,med_al_price2014,med_al_price2015,med_sfprice2011,med_sfprice2012,med_sfprice2013,med_sfprice2014,med_sfprice2015,med_mfprice2011,med_mfprice2012,med_mfprice2013,med_mfprice2014,med_mfprice2015,med_cdprice2011,med_cdprice2012,med_cdprice2013,med_cdprice2014,med_cdprice2015,distress2011,distress2012,distress2013,distress2014,distress2015,_distress2011,_distress2012,_distress2013,_distress2014,_distress2015,pctchg_alsales,pctchgrt_sfsales,pctchgrt_mfsales,pctchgrt_cdsales,pctchgrt_distress,pctchg_medalprice,pctchg_medsfprice,pctchg_medmfprice,pctchg_medcdprice,ntal_sales2011,ntal_sales2012,ntal_sales2013,ntal_sales2014,ntal_sales2015,med_ntal_price2011,med_ntal_price2012,med_ntal_price2013,med_ntal_price2014,med_ntal_price2015,pctchgrt_ntalsales,pctchg_medntalprice,_sfsale2011,_sfsale2012,_sfsale2013,_sfsale2014,_sfsale2015,_mfsale2011,_mfsale2012,_mfsale2013,_mfsale2014,_mfsale2015,_cdsale2011,_cdsale2012,_cdsale2013,_cdsale2014,_cdsale2015,_ntalsales2011,_ntalsales2012,_ntalsales2013,_ntalsales2014,_ntalsales2015
Bellaire Puritas Community Dev. Corp.,269,270,322,323,324,255,252,304,301,300,14,18,18,22,24,,,,,,29000,29250,31000,35000,42500,29000,28750,30620,35000,42000,25760,29750,34500,40500,59450,,,,,,19,16,10,13,15,7.06,5.93,3.11,4.02,4.63,20.45,-2.33,42.5,,-34.42,46.55,44.83,130.78,,127,134,164,204,190,40000,38650,45600,42283.5,51317.5,24.21,28.29,94.8,93.33,94.41,93.19,92.59,5.2,6.67,5.59,6.81,7.41,,,,,,47.21,49.63,50.93,63.16,58.64
Buckeye Area Dev Corp.,220,203,261,243,309,101,88,113,90,122,99,96,117,129,142,20,19,31,24,45,15000,14234,19118,18000,22000,17000,13000,21400,19750,19925,10000,10000,8400,10000,18950,36125,55000,65000,65250,79000,91,87,102,91,91,41.36,42.86,39.08,37.45,29.45,40.45,-14.01,2.11,60.18,-28.8,46.67,17.21,89.5,118.69,93,80,118,110,149,25000,20100,29000,23525,32500,14.08,30,45.91,43.35,43.3,37.04,39.48,45,47.29,44.83,53.09,45.95,9.09,9.36,11.88,9.88,14.56,42.27,39.41,45.21,45.27,48.22
Burton Bell Carr Dev. Corp.,43,48,71,67,72,29,36,58,55,49,14,12,11,9,18,,,2,3,5,9500,16150,25000,30500,16250,14700,26500,25750,45028,25000,4850,6300,4800,9500,7371,,,1820,6000,6740,22,20,21,14,30,51.16,41.67,29.58,20.9,41.67,67.44,0.92,-23.22,,-18.55,71.05,70.07,51.98,,20,15,25,30,28,13400,11750,20200,36889,15000,-16.38,11.94,67.44,75,81.69,82.09,68.06,32.56,25,15.49,13.43,25,,,2.82,4.48,6.94,46.51,31.25,35.21,44.78,38.89
"Campus District, Inc.",,,,1,1,,,,,,,,,,,,,,1,1,,,,160000,206000,,,,,,,,,,,,,,160000,206000,,,,0,0,,,,0,0,,,,,,,,,,,,,1,1,,,,160000,206000,,,,,,,,,,,,,,,,100,100,,,,100,100
Collinwood Nottingham Villages Dev. Corp.,87,77,99,93,98,53,47,51,50,52,34,30,48,43,46,,,,,,12000,12000,15500,18000,16926,12000,13000,15500,19000,16500,12929.5,7750,14950,18000,18076,,,,,,36,36,37,23,28,41.38,46.75,37.37,24.73,28.57,12.64,-12.9,20.11,,-30.96,41.05,37.5,39.8,,31,16,38,34,36,12000,16000,17500,17500,22917.5,3.09,90.98,60.92,61.04,51.52,53.76,53.06,39.08,38.96,48.48,46.24,46.94,,,,,,35.63,20.78,38.38,36.56,36.73
"Cudell Improvement, Inc.",109,115,127,163,177,64,75,81,104,113,40,35,41,49,57,5,5,5,10,7,32000,23000,25000,31500,33000,36800,28000,22900,30750,26000,26100,16900,30000,30000,38500,45000,56500,44000,44250,48500,18,23,20,19,37,16.51,20,15.75,11.66,20.9,62.39,8.72,-12.26,-13.94,26.59,3.13,-29.35,47.51,7.78,52,66,67,98,101,45650,38500,40000,42950,53000,19.6,16.1,58.72,65.22,63.78,63.8,63.84,36.7,30.43,32.28,30.06,32.2,4.59,4.35,3.94,6.13,3.95,47.71,57.39,52.76,60.12,57.06
Detroit Shoreway Community Dev. Org.,119,124,181,195,217,77,84,105,131,124,38,35,53,50,65,4,5,23,14,28,25900,27500,29300,37900,40000,27600,22700,26100,38000,31250,20250,40000,20000,24750,40000,249730,252000,205000,234720,155412.5,24,30,31,29,41,20.17,24.19,17.13,14.87,18.89,82.35,-11.7,-6.2,283.93,-6.35,54.44,13.22,97.53,-37.77,66,66,115,131,158,32350,40000,55800,45000,48000,31.28,48.38,64.71,67.74,58.01,67.18,57.14,31.93,28.23,29.28,25.64,29.95,3.36,4.03,12.71,7.18,12.9,55.46,53.23,63.54,67.18,72.81
Fairfax Renaissance Dev. Corp.,47,46,38,42,39,28,30,24,31,28,19,16,14,11,11,,,,,,10940,10050,15875,21450,34000,15000,16800,31750,42000,52750,8750,6250,3750,5100,9500,,,,,,23,23,17,14,14,48.94,50,44.74,33.33,35.9,-17.02,20.51,-30.23,,-26.64,210.79,251.67,8.57,,26,16,13,18,19,16375,54500,32500,14800,14500,-11.93,-11.45,59.57,65.22,63.16,73.81,71.79,40.43,34.78,36.84,26.19,28.21,,,,,,55.32,34.78,34.21,42.86,48.72
Famicos Foundation,193,200,252,264,281,123,115,145,174,177,70,85,105,89,103,,,2,1,1,9100,13561.5,10000,16659.5,17750,13000,13000,12000,19250,17600,6500,14000,9500,14400,18100,,,1000,3000,85000,98,90,127,103,98,50.78,45,50.4,39.02,34.88,45.6,-1.16,1.05,,-31.31,95.05,35.38,178.46,,58,81,94,117,140,17625,16750,16750,23800,20000,65.79,13.48,63.73,57.5,57.54,65.91,62.99,36.27,42.5,41.67,33.71,36.65,,,0.79,0.38,0.36,30.05,40.5,37.3,44.32,49.82
Flats Forward,16,16,11,26,38,2,1,2,5,1,2,,,1,,12,15,9,20,37,185450,223000,200000,200000,180000,359000,337000,297500,32000,365000,67000,,,60000,,185450,205000,164000,200000,180000,0,0,0,1,0,0,0,0,3.85,0,137.5,-78.96,,29.83,,-2.94,1.67,,-2.94,14,15,8,23,35,208572.5,241000,219000,200000,179000,5.27,-14.18,12.5,6.25,18.18,19.23,2.63,12.5,,,3.85,,75,93.75,81.82,76.92,97.37,87.5,93.75,72.73,88.46,92.11
Harvard Community Services Center,229,257,328,297,386,205,233,285,265,357,24,24,43,32,29,,,,,,15100,16500,18950,19200,21520,17000,17200,19000,19000,21612,9150,9750,16467,19500,20000,,,,,,86,79,92,73,88,37.55,30.74,28.05,24.58,22.8,68.56,3.32,-28.34,,-39.28,42.52,27.13,118.58,,65,84,135,121,148,20000,22900,22900,21825,24000,35.1,20,89.52,90.66,86.89,89.23,92.49,10.48,9.34,13.11,10.77,7.51,,,,,,28.38,32.68,41.16,40.74,38.34
Historic Gateway Dev. Corp.,13,5,12,14,12,,,,,,,,,,,13,5,12,14,12,209000,152000,216250,168350,345950.5,,,,,,,,,,,209000,152000,216250,168350,345950.5,0,0,0,0,0,0,0,0,0,0,-7.69,,,0,,65.53,,,65.53,12,5,12,13,11,219950,152000,216250,160000,331901,-0.69,50.9,,,,,,,,,,,100,100,100,100,100,92.31,100,100,92.86,91.67
Historic Warehouse District,19,18,33,39,37,1,,,2,1,,,,,,18,18,33,37,36,160000,187400,230000,174900,190000,380000,,,336500,365000,,,,,,153700,187400,230000,174000,185000,0,0,0,0,0,0,0,0,0,0,94.74,-48.67,,2.7,,18.75,-3.95,,20.36,15,17,33,37,36,286000,188000,230000,174900,195000,23.24,-31.82,5.26,,,5.13,2.7,,,,,,94.74,100,100,94.87,97.3,78.95,94.44,100,94.87,97.3
Hough Dev. Corp.,112,106,134,114,132,54,65,71,62,67,58,40,62,52,63,,1,1,,2,6500,12250,15600,13650,12300,10200,16025,17900,14500,11455,5000,8625,9577.5,12825,12900,,105000,85000,,160000,67,48,53,42,57,59.82,45.28,39.55,36.84,43.18,17.86,5.29,-7.84,,-27.82,89.23,12.3,158,,53,43,80,59,76,16750,20000,20300,15000,15000,21.68,-10.45,48.21,61.32,52.99,54.39,50.76,51.79,37.74,46.27,45.61,47.73,,0.94,0.75,,1.52,47.32,40.57,59.7,51.75,57.58
