neighbor10,_ebll_c2010,_ebll_c2011,_ebll_c2012,_ebll_c2013,_ebll_c2014,_ebll_c1014avg
Bellaire-Puritas,5.44,3.72,5.09,3.04,4.68,=SUM(B2:F2)/5
Broadway-Slavic Village,22.63,21.24,21.92,20.81,16.67,=SUM(B3:F3)/5
Brooklyn Centre,18.87,16.84,18.36,16.76,13.65,=SUM(B4:F4)/5
Buckeye-Shaker Square,19.54,19.64,21.05,18.11,15.53,=SUM(B5:F5)/5
Buckeye-Woodhill,18.28,17.98,18.05,18.67,11.96,=SUM(B6:F6)/5
Central,12.06,10.88,8.88,5.5,9.49,=SUM(B7:F7)/5
Clark-Fulton,26.42,19.16,20.66,19.49,15.66,=SUM(B8:F8)/5
Collinwood-Nottingham,20.74,23.74,19.03,13.55,19.53,=SUM(B9:F9)/5
Cudell,21.1,19.18,15.9,12.47,12.91,=SUM(B10:F10)/5
Cuyahoga Valley,999999,999999,999999,999999,999999,999999
Detroit Shoreway,19.05,18.32,16.78,13.97,15.34,=SUM(B12:F12)/5
Downtown,11.69,5.26,3.67,7.61,6.06,=SUM(B13:F13)/5
Edgewater,11.65,14.42,9.09,4.62,12.62,=SUM(B14:F14)/5
Euclid-Green,9.19,15.71,10.81,9.73,16.39,=SUM(B15:F15)/5
Fairfax,17.79,21.63,13.45,13.36,18.28,=SUM(B16:F16)/5
Glenville,28.17,27.87,25.34,22.87,27.14,=SUM(B17:F17)/5
Goodrich-Kirtland Pk,25.14,22.16,17.82,15,12.75,=SUM(B18:F18)/5
Hopkins,999999,999999,999999,999999,999999,999999
Hough,23.6,19.05,19.01,14.56,18.12,=SUM(B20:F20)/5
Jefferson,10.45,7.89,11.11,7.77,5.01,=SUM(B21:F21)/5
Kamm's,4.26,3.24,3.36,2.96,3.79,=SUM(B22:F22)/5
Kinsman,14.11,15.1,15.29,10.79,12.8,=SUM(B23:F23)/5
Lee-Harvard,7.32,5.39,9.57,7.35,6.11,=SUM(B24:F24)/5
Lee-Seville,6.73,10.57,10.26,7.56,10.62,=SUM(B25:F25)/5
Mount Pleasant,23.03,22.64,18.03,15.97,17.04,=SUM(B26:F26)/5
North Shore Collinwood,16.84,16.38,10.17,8.7,18.05,=SUM(B27:F27)/5
Ohio City,16.24,15.66,10.58,12.13,6.23,=SUM(B28:F28)/5
Old Brooklyn,10.58,9.78,8.4,7.51,7.52,=SUM(B29:F29)/5
St.Clair-Superior,37.29,35.14,33.56,24.09,23.29,=SUM(B30:F30)/5
Stockyards,21.01,21.84,23.09,19.3,15.18,=SUM(B31:F31)/5
Tremont,15.58,13.27,20.18,15.17,11.7,=SUM(B32:F32)/5
Union-Miles,22.84,20.85,20.89,17.71,17.29,=SUM(B33:F33)/5
University,8.24,15.91,10.14,7.41,10.23,=SUM(B34:F34)/5
West Boulevard,18.35,12.99,13.44,12.98,12.14,=SUM(B35:F35)/5
Cleveland City,18.5,17.36,16.17,13.83,14.14,=SUM(B36:F36)/5
Cuyahoga County,14.15,12.94,11.68,9.74,10.2,=SUM(B37:F37)/5
