cdc_name,_attend2011,_attend2012,_attend2013,_attend2014,_attend2015,pctchgrt_attend
Bellaire Puritas Community Dev. Corp.,91.52,91.96,90.5,90.55,88.38,-3.43
Buckeye Area Dev Corp.,89.39,89.44,87.39,86.31,84.51,-5.46
Burton Bell Carr Dev. Corp.,88.36,88.27,86.73,85.82,84.65,-4.2
"Campus District, Inc.",87.97,87.47,86.31,86.21,83.63,-4.93
Collinwood Nottingham Villages Dev. Corp.,89.67,89.84,87.93,86.87,85.41,-4.75
"Cudell Improvement, Inc.",89.53,89,87.02,86.94,85.82,-4.14
Detroit Shoreway Community Dev. Org.,90.55,89.75,87.5,87.29,86.12,-4.89
Fairfax Renaissance Dev. Corp.,90.54,89.96,88.65,87.96,87.12,-3.78
Famicos Foundation,90.23,90.34,89.52,88.42,86.13,-4.54
Flats Forward,89.49,90.89,82.12,82.81,81.37,-9.07
Harvard Community Services Center,90.92,90.76,89.56,89.27,86.93,-4.39
Historic Gateway Dev. Corp.,88.09,87.14,79.3,78.49,82.6,-6.23
Historic Warehouse District,85.96,94.32,70.32,75.73,84.99,-1.13
Hough Dev. Corp.,90.17,90.28,88.11,87.89,86.36,-4.23
Kamm's Corners Dev. Corp.,91.91,92.04,90.86,90.24,89.12,-3.04
Little Italy Redevelopment Corp.,81.97,91.01,75.16,81.94,86.67,5.73
Midtown Cleveland Inc.,88.71,91.11,85.06,89.05,89.36,0.73
Mt. Pleasant NOW Comm. Dev. Corp.,90.24,89.89,88.06,87.31,85.39,-5.37
Northeast Shores Dev. Corp.,91.8,91.67,89.49,89.83,87.54,-4.64
Ohio City Inc.,90.86,90.97,87.6,88.63,86.07,-5.27
Old Brooklyn Community Dev. Corp.,90.09,90.1,88.4,88.05,85.84,-4.72
Shaker Square Area Dev. Corp.,92,91.49,90.06,89.71,87.26,-5.15
Slavic Village Dev. Corp.,88.49,88.21,86.02,85.41,83.65,-5.47
St. Clair Superior Dev. Corp.,89.74,89.74,87.89,87.44,86.11,-4.05
"Stockyards, Clark Fulton, Brooklyn Center Comm. Dev. Corp.",89.7,90.09,87.78,87.23,85.35,-4.85
Tremont West Dev. Corp.,89.67,91,88.5,88.29,85.82,-4.29
Union Miles Dev. Corp.,89.8,89.95,86.81,86.72,85.26,-5.06
"University Circle, Incorporated",93.01,91.09,90.65,88.55,86.17,-7.35
Westown Community Dev. Corp.,89.81,89.87,88.32,88.63,86.34,-3.86
