neighbor10,rpass502011,rpass502012,rpass502013,rpass502014,rpass502015,rpass102011,rpass102012,rpass102013,rpass102014,rpass102015,rpass202011,rpass202012,rpass202013,rpass202014,rpass202015,rpass412011,rpass412012,rpass412013,rpass412014,rpass412015,mpass502011,mpass502012,mpass502013,mpass502014,mpass502015,mpass102011,mpass102012,mpass102013,mpass102014,mpass102015,mpass202011,mpass202012,mpass202013,mpass202014,mpass202015,mpass412011,mpass412012,mpass412013,mpass412014,mpass412015,_rpass502011,_rpass502012,_rpass502013,_rpass502014,_rpass502015,_rpass102011,_rpass102012,_rpass102013,_rpass102014,_rpass102015,_rpass202011,_rpass202012,_rpass202013,_rpass202014,_rpass202015,_rpass412011,_rpass412012,_rpass412013,_rpass412014,_rpass412015,_mpass502011,_mpass502012,_mpass502013,_mpass502014,_mpass502015,_mpass102011,_mpass102012,_mpass102013,_mpass102014,_mpass102015,_mpass202011,_mpass202012,_mpass202013,_mpass202014,_mpass202015,_mpass412011,_mpass412012,_mpass412013,_mpass412014,_mpass412015,pctchgrt_rpass50,pctchgrt_rpass10,pctchgrt_rpass20,pctchgrt_rpass41,pctchgrt_mpass50,pctchgrt_mpass10,pctchgrt_mpass20,pctchgrt_mpass41
Bellaire-Puritas,53,62,58,60,999999,59,51,64,59,999999,80,76,42,50,999999,57,50,65,56,64,56,63,53,51,999999,48,45,48,54,999999,57,60,28,41,999999,49,47,63,44,62,53.54,65.26,75.32,70.59,999999,61.46,62.2,75.29,76.62,999999,72.73,74.51,60.87,66.67,999999,72.15,68.49,77.38,77.78,66.67,56.57,66.32,68.83,65.38,999999,50,54.88,56.47,70.13,999999,51.82,59.41,40.58,54.67,999999,60.49,63.51,75.9,61.11,63.92,999999,999999,999999,-7.6,999999,999999,999999,5.67
Broadway-Slavic Village,98,64,76,68,999999,87,92,73,76,999999,99,97,55,72,999999,118,85,91,102,95,87,53,60,56,999999,55,63,40,46,999999,45,60,27,54,999999,102,76,78,58,80,47.34,37.65,47.5,39.08,999999,40.09,51.69,44.51,48.1,999999,49.01,54.49,35.03,46.45,999999,61.14,54.14,57.23,69.39,63.76,42.03,31.18,37.5,33.94,999999,25.35,35.39,24.39,29.11,999999,22.28,33.71,17.2,34.62,999999,52.85,46.34,47.56,38.67,52.29,999999,999999,999999,4.29,999999,999999,999999,-1.06
Brooklyn Centre,53,70,50,38,999999,58,69,78,67,999999,54,69,48,44,999999,54,50,53,49,50,58,62,52,38,999999,51,63,60,58,999999,40,49,35,36,999999,48,45,52,37,50,48.62,64.22,53.19,46.91,999999,71.6,69.7,75.73,73.63,999999,61.36,74.19,57.14,65.67,999999,63.53,69.44,69.74,72.06,71.43,53.21,56.88,55.32,50,999999,62.96,63.64,58.25,62.37,999999,45.45,52.69,41.67,52.94,999999,55.17,61.64,70.27,55.22,72.46,999999,999999,999999,12.44,999999,999999,999999,31.34
Buckeye-Shaker Square,25,29,17,27,999999,29,23,35,19,999999,39,30,31,23,999999,44,36,25,27,21,22,29,20,18,999999,21,16,26,16,999999,22,17,15,19,999999,41,31,22,20,15,50,48.33,50,50,999999,53.7,48.94,74.47,40.43,999999,67.24,65.22,57.41,50,999999,66.67,64.29,62.5,77.14,58.33,44,48.33,58.82,36,999999,38.89,34.04,55.32,34.04,999999,37.93,36.96,27.78,41.3,999999,64.06,55.36,52.38,60.61,39.47,999999,999999,999999,-12.51,999999,999999,999999,-38.39
Buckeye-Woodhill,24,25,18,18,999999,35,20,19,19,999999,38,37,20,24,999999,28,33,33,36,35,28,21,23,17,999999,19,19,9,14,999999,27,19,10,13,999999,25,29,25,26,31,33.33,42.37,38.3,41.86,999999,50,30.77,40.43,51.35,999999,58.46,67.27,37.74,44.44,999999,45.16,70.21,71.74,69.23,71.43,38.89,35.59,50,40.48,999999,27.14,29.23,19.15,37.84,999999,41.54,35.19,18.87,24.53,999999,40.32,60.42,50,50,60.78,999999,999999,999999,58.17,999999,999999,999999,50.74
Central,94,67,54,48,999999,57,84,67,37,999999,65,76,39,48,999999,47,52,53,61,58,76,71,62,34,999999,41,49,41,27,999999,37,31,21,20,999999,37,53,44,44,54,50.27,35.64,39.13,37.21,999999,40.14,51.22,45.89,29.37,999999,47.45,55.07,36.11,40,999999,53.41,52,64.63,66.3,56.86,40.64,37.97,44.93,27.2,999999,28.87,29.88,28.08,21.6,999999,27.01,22.46,19.44,16.67,999999,43.53,51.46,53.01,46.81,54.55,999999,999999,999999,6.46,999999,999999,999999,25.32
Clark-Fulton,42,61,36,37,999999,53,42,69,30,999999,49,56,44,32,999999,48,47,50,53,45,48,54,32,40,999999,43,35,49,35,999999,39,37,28,27,999999,38,40,39,47,39,41.58,61,56.25,50,999999,64.63,52.5,71.13,54.55,999999,52.13,69.14,65.67,41.03,999999,57.83,57.32,75.76,69.74,63.38,47.52,54.55,50,57.14,999999,52.44,43.75,50.52,63.64,999999,41.49,45.68,41.79,34.18,999999,45.24,48.19,60.94,61.04,53.42,999999,999999,999999,9.6,999999,999999,999999,18.08
Collinwood-Nottingham,39,31,20,39,999999,47,30,33,26,999999,50,50,37,35,999999,64,63,49,65,44,41,24,22,32,999999,26,21,22,25,999999,32,34,16,20,999999,53,55,37,35,30,35.78,40.79,37.04,56.52,999999,51.65,39.47,44.59,40.63,999999,53.19,58.14,53.62,51.47,999999,66.67,52.94,69.01,85.53,61.11,37.61,31.58,41.51,47.76,999999,28.57,28,29.73,39.06,999999,34.04,39.53,23.19,28.99,999999,54.64,45.45,51.39,44.87,42.25,999999,999999,999999,-8.34,999999,999999,999999,-22.68
Cudell,50,52,48,61,999999,49,59,53,55,999999,73,65,46,45,999999,55,43,43,39,56,60,50,43,53,999999,38,55,36,39,999999,62,53,31,33,999999,48,43,43,33,47,53.19,57.78,58.54,65.59,999999,56.98,56.73,60.92,68.75,999999,66.97,77.38,56.1,59.21,999999,61.11,55.13,53.75,49.37,64.37,63.83,55.56,52.44,58.24,999999,44.19,53.4,41.38,48.75,999999,56.88,63.1,38.27,43.42,999999,53.93,55.13,52.44,42.31,54.65,999999,999999,999999,5.33,999999,999999,999999,1.34
Cuyahoga Valley,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Detroit Shoreway,57,50,51,50,999999,65,66,70,45,999999,83,56,46,45,999999,55,39,42,58,49,58,53,52,47,999999,57,49,57,36,999999,60,37,26,37,999999,47,35,36,41,47,54.81,52.08,63.75,53.76,999999,55.56,74.16,74.47,57.69,999999,69.17,67.47,48.94,51.72,999999,63.95,54.93,71.19,77.33,62.03,55.77,56.38,65,51.65,999999,48.72,55.06,60.64,45.57,999999,50,44.58,27.96,42.05,999999,52.81,48.61,59.02,55.41,60.26,999999,999999,999999,-3,999999,999999,999999,14.11
Downtown,999999,6,2,6,999999,6,999999,999999,3,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,4,4,999999,999999,5,999999,999999,3,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,54.55,18.18,46.15,999999,50,999999,999999,27.27,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,36.36,40,999999,999999,41.67,999999,999999,30,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Edgewater,20,13,13,18,999999,26,11,11,15,999999,14,11,10,9,999999,8,999999,999999,999999,999999,22,13,14,19,999999,23,12,10,14,999999,12,10,7,6,999999,8,999999,999999,999999,999999,74.07,68.42,81.25,78.26,999999,83.87,91.67,68.75,83.33,999999,82.35,91.67,76.92,75,999999,80,999999,999999,999999,999999,81.48,68.42,87.5,90.48,999999,74.19,100,62.5,73.68,999999,70.59,83.33,53.85,50,999999,80,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Euclid-Green,16,24,15,19,999999,22,21,19,15,999999,17,11,12,19,999999,28,15,12,19,14,11,24,11,17,999999,19,16,17,6,999999,2,8,8,15,999999,25,14,11,15,16,53.33,64.86,53.57,54.29,999999,68.75,75,65.52,55.56,999999,54.84,44,44.44,59.38,999999,66.67,62.5,57.14,86.36,66.67,36.67,64.86,39.29,50,999999,59.38,57.14,58.62,21.43,999999,6.45,32,29.63,46.88,999999,59.52,53.85,52.38,65.22,72.73,999999,999999,999999,0,999999,999999,999999,22.19
Fairfax,26,21,19,18,999999,25,20,20,18,999999,25,19,21,19,999999,36,25,18,31,16,33,14,14,15,999999,11,14,12,12,999999,22,3,11,13,999999,35,21,12,24,17,44.83,61.76,52.78,40,999999,46.3,44.44,64.52,56.25,999999,48.08,50,48.84,48.72,999999,58.06,55.56,62.07,75.61,53.33,56.9,41.18,41.18,33.33,999999,20.37,31.11,38.71,37.5,999999,42.31,7.89,25.58,32.5,999999,56.45,43.75,40,55.81,58.62,999999,999999,999999,-8.15,999999,999999,999999,3.84
