neighbor10,v2010,v2011,v2012,v2013,v2014,h2010,h2011,h2012,h2013,h2014,r2010,r2011,r2012,r2013,r2014,ro2010,ro2011,ro2012,ro2013,ro2014,ag2010,ag2011,ag2012,ag2013,ag2014,a2010,a2011,a2012,a2013,a2014,dv2010,dv2011,dv2012,dv2013,dv2014,p2010,p2011,p2012,p2013,p2014,b2010,b2011,b2012,b2013,b2014,l2010,l2011,l2012,l2013,l2014,mv2010,mv2011,mv2012,mv2013,mv2014,ar2010,ar2011,ar2012,ar2013,ar2014,d2010,d2011,d2012,d2013,d2014,dp2010,dp2011,dp2012,dp2013,dp2014,dt2010,dt2011,dt2012,dt2013,dt2014,od2010,od2011,od2012,od2013,od2014,lq2010,lq2011,lq2012,lq2013,lq2014,Ia2010,Ia2011,Ia2012,Ia2013,Ia2014,II2010,II2011,II2012,II2013,II2014,_v2010,_v2011,_v2012,_v2013,_v2014,_h2010,_h2011,_h2012,_h2013,_h2014,_r2010,_r2011,_r2012,_r2013,_r2014,_ro2010,_ro2011,_ro2012,_ro2013,_ro2014,_ag2010,_ag2011,_ag2012,_ag2013,_ag2014,_a2010,_a2011,_a2012,_a2013,_a2014,_dv2010,_dv2011,_dv2012,_dv2013,_dv2014,_p2010,_p2011,_p2012,_p2013,_p2014,_b2010,_b2011,_b2012,_b2013,_b2014,_l2010,_l2011,_l2012,_l2013,_l2014,_mv2010,_mv2011,_mv2012,_mv2013,_mv2014,_ar2010,_ar2011,_ar2012,_ar2013,_ar2014,_d2010,_d2011,_d2012,_d2013,_d2014,_dp2010,_dp2011,_dp2012,_dp2013,_dp2014,_dt2010,_dt2011,_dt2012,_dt2013,_dt2014,_od2010,_od2011,_od2012,_od2013,_od2014,_lq2010,_lq2011,_lq2012,_lq2013,_lq2014,_Ia2010,_Ia2011,_Ia2012,_Ia2013,_Ia2014,_II2010,_II2011,_II2012,_II2013,_II2014,pctchgrt_v,pctchgrt_h,pctchgrt_r,pctchgrt_ro,pctchgrt_ag,pctchgrt_a,pctchgrt_dv,pctchgrt_p,pctchgrt_b,pctchgrt_l,pctchgrt_mv,pctchgrt_ar,pctchgrt_d,pctchgrt_dp,pctchgrt_dt,pctchgrt_od,pctchgrt_lq,pctchgrt_Ia,pctchgrt_II
Bellaire-Puritas,116,91,91,81,102,2,2,1,1,1,8,9,6,9,12,63,44,51,38,55,43,36,33,33,34,220,178,193,194,185,151,133,105,122,148,593,618,591,632,526,238,272,249,241,172,274,274,257,292,277,76,69,80,95,70,5,3,5,4,7,63,48,39,35,38,38,41,23,18,20,25,7,15,17,16,0,0,1,0,2,4,1,0,0,1,709,709,682,713,628,785,599,699,731,722,867.94,688.38,690.49,616.47,780.77,14.96,15.13,7.59,7.61,7.65,59.86,68.08,45.53,68.5,91.86,471.38,332.84,386.98,289.21,421,321.74,272.32,250.4,251.16,260.26,1646.09,1346.5,1464.45,1476.49,1416.1,1129.82,1006.09,796.72,928.51,1132.88,4436.96,4674.91,4484.39,4810.01,4026.32,1780.77,2057.57,1889.36,1834.2,1316.59,2050.13,2072.7,1950.06,2222.35,2120.33,568.65,521.96,607.02,723.02,535.82,37.41,22.69,37.94,30.44,53.58,471.38,363.1,295.92,266.38,290.88,284.32,310.15,174.52,136.99,153.09,187.06,52.95,113.82,129.38,122.47,0,0,7.59,0,15.31,29.93,7.56,0,0,7.65,5304.9,5363.29,5174.88,5426.48,4807.09,5873.55,4531.19,5303.87,5563.47,5526.63,-10.04,-48.86,53.46,-10.69,-19.11,-13.97,0.27,-9.25,-26.07,3.42,-5.77,43.22,-38.29,-46.16,-34.53,,-74.44,-9.38,-5.91
Broadway-Slavic Village,463,410,490,501,381,6,10,5,3,8,29,20,39,36,18,259,244,280,303,211,169,136,166,159,144,586,553,554,578,539,418,373,400,409,417,1684,1966,1842,1612,1455,910,1002,963,763,647,506,601,587,534,481,227,327,262,287,293,41,36,30,28,34,130,131,93,114,115,95,93,73,82,77,35,36,18,29,34,0,2,2,3,4,8,8,5,3,3,2147,2376,2332,2113,1836,2048,1735,2140,2141,2079,2051.85,1836.97,2202.14,2258.4,1727.35,26.59,44.8,22.47,13.52,36.27,128.52,89.61,175.27,162.28,81.61,1147.8,1093.22,1258.37,1365.86,956.62,748.95,609.34,746.03,716.74,652.86,2596.94,2477.67,2489.77,2605.49,2443.69,1852.43,1671.2,1797.67,1843.68,1890.57,7462.88,8808.5,8278.26,7266.53,6596.59,4032.79,4489.38,4327.89,3439.43,2933.33,2242.41,2692.73,2638.08,2407.15,2180.73,1005.98,1465.1,1177.47,1293.73,1328.39,181.7,161.3,134.83,126.22,154.15,576.11,586.93,417.96,513.89,521.38,421.01,416.68,328.07,369.64,349.1,155.11,161.3,80.9,130.73,154.15,0,8.96,8.99,13.52,18.13,35.45,35.84,22.47,13.52,13.6,9514.74,10645.48,10480.41,9524.93,8323.94,9076,7773.53,9617.53,9651.15,9425.64,-15.81,36.4,-36.5,-16.66,-12.83,-5.9,2.06,-11.61,-27.26,-2.75,32.05,-15.16,-9.5,-17.08,-0.62,,-61.64,-12.52,3.85
Brooklyn Centre,133,158,150,171,179,1,1,1,1,3,21,18,30,33,28,64,74,75,75,81,47,65,44,62,67,262,242,251,252,250,186,158,166,231,167,470,509,475,503,475,180,206,182,191,179,207,205,216,214,200,76,91,75,92,91,7,7,2,6,5,59,56,58,59,88,44,35,39,43,55,15,21,17,16,33,0,0,2,0,0,0,0,0,1,1,603,667,625,674,654,823,718,867,962,856,1482.55,1780.62,1695.65,1938.89,2041.29,11.15,11.27,11.3,11.34,34.21,234.09,202.85,339.13,374.17,319.31,713.41,833.96,847.82,850.39,923.71,523.91,732.53,497.39,702.99,764.06,2920.52,2727.27,2837.38,2857.31,2850.96,2073.35,1780.62,1876.52,2619.2,1904.44,5239.1,5736.29,5369.55,5703.28,5416.82,2006.47,2321.56,2057.38,2165.66,2041.29,2307.44,2310.29,2441.73,2426.45,2280.77,847.17,1025.54,847.82,1043.14,1037.75,78.03,78.89,22.61,68.03,57.02,657.67,631.1,655.65,668.97,1003.54,490.47,394.44,440.87,487.56,627.21,167.21,236.66,192.17,181.42,376.33,0,0,22.61,0,0,0,0,0,11.34,11.4,6721.66,7516.9,7065.19,7642.17,7458.11,9174.01,8091.66,9800.84,10907.67,9761.68,37.69,206.82,36.4,29.48,45.84,-2.38,-8.15,3.39,1.74,-1.16,22.5,-26.93,52.59,27.88,125.06,,,10.96,6.41
Buckeye-Shaker Square,132,154,163,168,141,2,0,4,2,0,7,7,8,16,13,79,92,102,85,85,44,55,49,65,43,151,174,211,224,180,129,128,118,146,144,571,787,722,648,708,238,407,300,206,209,201,256,289,261,371,127,120,130,171,120,5,4,3,10,8,62,40,41,38,29,50,31,34,36,22,11,9,6,2,7,1,0,1,0,0,0,0,0,0,1,703,941,885,816,849,682,623,747,806,872,1058.54,1248.56,1325.58,1370.38,1156.76,16.04,0,32.53,16.31,0,56.13,56.75,65.06,130.51,106.65,633.52,745.89,829.5,693.35,697.34,352.85,445.91,398.49,530.21,352.77,1210.91,1410.71,1715.94,1827.17,1476.72,1034.48,1037.76,959.62,1190.92,1181.38,4578.99,6380.61,5871.59,5285.75,5808.43,1908.58,3299.76,2439.72,1680.34,1714.63,1611.87,2075.52,2350.26,2128.98,3043.68,1018.44,972.9,1057.21,1394.85,984.48,40.1,32.43,24.4,81.57,65.63,497.19,324.3,333.43,309.97,237.92,400.96,251.33,276.5,293.65,180.49,88.21,72.97,48.79,16.31,57.43,8.02,0,8.13,0,0,0,0,0,0,8.2,5637.53,7629.17,7197.17,6656.12,6965.19,5469.13,5050.98,6074.9,6574.55,7153.88,9.28,-100,90.01,10.07,-0.02,21.95,14.2,26.85,-10.16,88.83,-3.33,63.67,-52.15,-54.99,-34.89,-100,,23.55,30.8
Buckeye-Woodhill,138,114,152,150,153,1,4,2,1,5,9,5,11,18,9,59,57,76,83,81,69,48,63,48,58,175,172,169,158,196,136,126,114,130,157,431,562,542,503,421,208,275,244,195,142,155,168,155,165,182,66,110,130,136,86,2,9,13,7,11,57,43,53,35,24,40,29,36,22,17,17,13,15,13,7,0,1,2,0,0,1,2,0,3,1,569,676,694,653,574,651,562,648,636,697,2066.49,1725.89,2308.25,2284.77,2343.89,14.97,60.56,30.37,15.23,76.6,134.77,75.7,167.04,274.17,137.88,883.5,862.94,1154.12,1264.24,1240.88,1033.24,726.69,956.71,731.13,888.53,2620.55,2603.97,2566.4,2406.62,3002.63,2036.54,1907.56,1731.18,1980.13,2405.17,6454.03,8508.32,8230.72,7661.6,6449.52,3114.71,4163.32,3705.34,2970.2,2175.37,2321.05,2543.41,2353.8,2513.25,2788.15,988.32,1665.33,1974.16,2071.52,1317.48,29.95,136.25,197.42,106.62,168.51,853.55,650.99,804.85,533.11,367.67,598.98,439.04,546.69,335.1,260.43,254.57,196.81,227.79,198.01,107.24,0,15.14,30.37,0,0,14.97,30.28,0,45.7,15.32,8520.52,10234.21,10538.96,9946.37,8793.41,9748.43,8508.32,9840.42,9687.43,10677.71,13.42,411.69,2.31,40.45,-14.01,14.58,18.1,-0.07,-30.16,20.12,33.31,462.64,-56.92,-56.52,-57.87,,2.34,3.2,9.53
Central,350,390,353,352,351,5,5,4,1,6,19,24,32,19,29,186,228,177,207,171,140,133,140,125,145,489,487,465,447,523,277,264,252,270,283,815,892,836,719,795,408,417,371,278,281,289,296,300,267,328,112,162,150,161,174,6,17,15,13,12,174,139,127,121,106,92,62,54,52,55,73,71,64,57,43,9,6,9,12,8,17,6,4,5,4,1165,1282,1189,1071,1146,1595,1334,1411,1383,1547,2844.14,3204.07,2908.99,2909.53,2917.98,40.63,41.08,32.96,8.27,49.88,154.4,197.17,263.7,157.05,241.09,1511.46,1873.15,1458.62,1711,1421.58,1137.66,1092.67,1153.71,1033.22,1205.43,3973.67,4000.98,3831.96,3694.78,4347.87,2250.93,2168.91,2076.67,2231.74,2352.67,6622.79,7328.28,6889.29,5943.05,6609.1,3315.46,3425.89,3057.33,2297.87,2336.05,2348.45,2431.81,2472.23,2206.95,2726.77,910.13,1330.92,1236.12,1330.78,1446.52,48.76,139.66,123.61,107.45,99.76,1413.94,1141.96,1046.58,1000.15,881.21,747.6,509.36,445,429.82,457.23,593.21,583.3,527.41,471.15,357.47,73.14,49.29,74.17,99.19,66.51,138.14,49.29,32.96,41.33,33.25,9466.93,10532.34,9798.28,8852.59,9527.07,12961.16,10959.55,11627.73,11431.49,12860.72,2.6,22.77,56.15,-5.95,5.96,9.42,4.52,-0.21,-29.54,16.11,58.94,104.59,-37.68,-38.84,-39.74,-9.06,-75.93,0.64,-0.77
Clark-Fulton,142,183,164,152,170,3,3,0,0,4,5,10,20,14,11,79,99,96,80,103,55,71,48,58,52,296,260,267,239,270,154,167,155,149,163,571,561,548,551,500,221,237,237,215,173,239,224,228,254,228,93,81,77,68,85,18,19,6,14,14,74,59,73,98,101,53,46,49,63,63,21,13,24,34,35,0,0,0,1,3,2,2,4,3,1,713,744,712,703,670,910,755,847,860,915,1668.82,2174.34,1954.57,1817.03,2043.91,35.26,35.64,0,0,48.09,58.76,118.82,238.36,167.36,132.25,928.43,1176.28,1144.14,956.33,1238.37,646.37,843.59,572.07,693.34,625.2,3478.67,3089.22,3182.13,2857.04,3246.21,1809.85,1984.23,1847.3,1781.17,1959.75,6710.54,6665.59,6531.11,6586.74,6011.51,2597.25,2815.94,2824.59,2570.14,2079.98,2808.79,2661.48,2717.32,3036.36,2741.25,1092.96,962.41,917.69,812.88,1021.96,211.54,225.75,71.51,167.36,168.32,869.67,701.02,870.02,1171.51,1214.32,622.87,546.55,583.99,753.11,757.45,246.8,154.46,286.03,406.44,420.81,0,0,0,11.95,36.07,23.5,23.76,47.67,35.86,12.02,8379.36,8839.92,8485.67,8403.78,8055.42,10694.56,8970.62,10094.62,10280.58,11001.06,22.48,36.39,125.07,33.38,-3.28,-6.68,8.28,-10.42,-19.92,-2.4,-6.5,-20.43,39.63,21.61,70.51,,-48.85,-3.87,2.87
Collinwood-Nottingham,199,212,207,266,242,2,0,4,2,2,13,8,12,15,18,91,95,91,133,116,93,109,100,116,106,344,315,379,388,342,227,207,187,246,243,806,805,901,780,697,414,425,436,311,290,271,253,320,333,305,111,117,127,124,91,10,10,18,12,11,223,214,210,94,93,165,172,152,69,62,55,41,54,24,28,3,1,4,1,3,3,6,4,5,8,1005,1017,1108,1046,939,1312,1156,1346,1277,1278,1724.14,1856.99,1818.75,2344.22,2144.99,17.33,0,35.15,17.63,17.73,112.63,70.07,105.44,132.19,159.55,788.42,832.14,799.55,1172.11,1028.18,805.75,954.77,878.63,1022.29,939.54,2980.42,2759.2,3329.99,3419.39,3031.36,1966.73,1813.19,1643.03,2167.96,2153.86,6983.19,7051.29,7916.42,6874.03,6177.94,3586.9,3722.73,3830.81,2740.8,2570.45,2347.95,2216.12,2811.6,2934.68,2703.4,961.71,1024.85,1115.85,1092.79,806.59,86.64,87.59,158.15,105.75,97.5,1932.07,1874.51,1845.11,828.41,824.32,1429.56,1506.61,1335.51,608.09,549.54,476.52,359.13,474.46,211.51,248.18,25.99,8.76,35.15,8.81,26.59,25.99,52.56,35.15,44.06,70.91,8707.33,8908.28,9735.17,9218.25,8322.93,11367.18,10125.83,11826.3,11254.01,11327.7,24.41,2.31,41.66,30.41,16.6,1.71,9.51,-11.53,-28.34,15.14,-16.13,12.53,-57.33,-61.56,-47.92,2.31,172.84,-4.41,-0.35
Cudell,174,135,133,185,176,2,2,3,2,0,14,17,13,23,22,106,70,71,102,114,52,46,46,58,40,273,222,225,262,260,166,148,131,191,187,508,598,536,516,553,212,291,237,197,213,211,207,189,217,233,76,93,104,96,100,9,7,6,6,7,120,132,109,89,96,71,64,55,40,58,49,66,53,47,38,0,2,1,2,0,2,2,2,2,2,682,733,669,701,729,935,757,973,1030,979,1873.39,1469.49,1452.16,2026.04,1938.57,21.53,21.77,32.76,21.9,0,150.73,185.05,141.94,251.89,242.32,1141.26,761.96,775.21,1117.06,1255.67,559.86,500.71,502.25,635.19,440.58,2939.28,2416.49,2456.66,2869.31,2863.8,1787.25,1610.99,1430.32,2091.75,2059.73,5469.42,6509.28,5852.31,5651,6091.09,2282.52,3167.56,2587.68,2157.45,2346.11,2271.75,2253.21,2063.6,2376.49,2566.41,818.26,1012.31,1135.52,1051.35,1101.46,96.9,76.2,65.51,65.71,77.1,1291.99,1436.83,1190.12,974.69,1057.4,764.43,696.65,600.52,438.06,638.85,527.56,718.42,578.68,514.72,418.56,0,21.77,10.92,21.9,0,21.53,21.77,21.84,21.9,22.03,7342.81,7978.77,7304.47,7677.03,8029.66,10066.75,8240.01,10623.69,11280.09,10783.32,3.48,-100,60.76,10.02,-21.31,-2.57,15.25,11.37,2.79,12.97,34.61,-20.43,-18.16,-16.43,-20.66,,2.32,9.35,7.12
Cuyahoga Valley,16,23,16,13,15,0,0,0,0,0,0,0,1,1,3,10,7,8,6,5,6,16,7,6,7,39,39,31,17,19,3,4,2,2,2,143,140,124,109,111,50,32,39,41,46,74,87,65,54,54,19,21,20,14,11,0,0,0,0,0,9,5,12,6,11,8,5,6,2,4,1,0,5,4,4,0,0,1,0,3,0,2,0,0,0,159,163,140,122,126,99,93,94,75,82,1965.6,2856.65,1993.34,1624.49,1885.21,0,0,0,0,0,0,0,124.58,124.96,377.04,1228.5,869.42,996.67,749.76,628.4,737.1,1987.24,872.08,749.76,879.76,4791.15,4843.89,3862.09,2124.33,2387.93,368.55,496.81,249.17,249.92,251.36,17567.57,17388.32,15448.35,13620.71,13950.52,6142.51,3974.47,4858.76,5123.39,5781.3,9090.91,10805.6,8097.93,6747.87,6786.74,2334.15,2608.25,2491.67,1749.45,1382.48,0,0,0,0,0,1105.65,621.01,1495,749.76,1382.48,982.8,621.01,747.5,249.92,502.72,122.85,0,622.92,499.84,502.72,0,0,124.58,0,377.04,0,248.4,0,0,0,19533.17,20244.97,17441.69,15245.2,15835.73,12162.16,11550.81,11710.85,9372.05,10305.79,-4.09,,,-48.85,19.35,-50.16,-31.8,-20.59,-5.88,-25.35,-40.77,,25.04,-48.85,309.21,,,-18.93,-15.26
