neighbor10,hsg_den2011,hsg_den2012,hsg_den2013,hsg_den2014,hsg_den2015,f2011,f2012,f2013,f2014,f2015,shf2011,shf2012,shf2013,shf2014,shf2015,pctchg_hsgden,pctchg_f,pctchg_shf,_f11,_f12,_f13,_f14,_f15,pctchgrt_f,_shf11,_shf12,_shf13,_shf14,_shf15,pctchgrt_shf
Bellaire-Puritas,1506.33,1501.07,1500.19,1495.8,1494.92,155,154,137,96,79,77,97,82,88,83,-0.76,-49.03,7.79,3.01,3,2.67,1.88,1.55,-48.5,1.5,1.89,1.6,1.72,1.62,8
Broadway-Slavic Village,1817.56,1798.59,1762.85,1724.46,1722.69,269,265,253,243,160,166,171,107,154,231,-5.22,-40.52,39.16,3.27,3.25,3.17,3.11,2.05,-37.31,2.02,2.1,1.34,1.97,2.96,46.53
Brooklyn Centre,1681.89,1675.02,1667.47,1658.55,1655.8,77,69,70,40,47,37,24,42,46,49,-1.55,-38.96,32.43,3.14,2.83,2.88,1.66,1.95,-37.9,1.51,0.98,1.73,1.9,2.03,34.44
Buckeye-Shaker Square,3048.67,3039.18,3021.07,2996.06,2994.34,125,116,106,64,79,41,68,55,72,62,-1.78,-36.8,51.22,3.54,3.29,3.03,1.84,2.28,-35.59,1.16,1.93,1.57,2.07,1.79,54.31
Buckeye-Woodhill,1445.72,1440.78,1416.89,1390.53,1392.18,50,61,54,53,47,23,42,23,35,42,-3.7,-6,82.61,2.85,3.49,3.14,3.14,2.78,-2.46,1.31,2.4,1.34,2.07,2.49,90.08
Central,356.45,350.06,348.35,359.01,356.88,47,41,35,35,30,11,24,17,24,10,0.12,-36.17,-9.09,5.62,4.99,4.28,4.16,3.58,-36.3,1.32,2.92,2.08,2.85,1.19,-9.85
Clark-Fulton,2493.27,2458.69,2395.81,2361.22,2358.08,69,63,57,64,32,28,47,35,57,35,-5.42,-53.62,25,2.9,2.69,2.49,2.84,1.42,-51.03,1.18,2,1.53,2.53,1.56,32.2
Collinwood-Nottingham,1249.18,1225.83,1199.44,1175.18,1164.26,175,154,130,113,109,85,115,70,64,94,-6.8,-37.71,10.59,4.25,3.81,3.29,2.92,2.84,-33.18,2.06,2.85,1.77,1.65,2.45,18.93
Cudell,2202.23,2184.76,2161.77,2144.3,2139.7,78,55,72,63,38,45,51,24,51,58,-2.84,-51.28,28.89,3.26,2.31,3.06,2.7,1.63,-50,1.88,2.15,1.02,2.19,2.49,32.45
Cuyahoga Valley,1.92,2.19,2.19,2.19,2.19,0,0,0,1,0,0,0,0,0,1,14.06,,,0,0,0,12.5,0,,0,0,0,0,12.5,
Detroit Shoreway,2057.48,2046.99,2027.97,2019.44,2018.79,118,61,70,58,48,43,51,33,34,32,-1.88,-59.32,-25.58,3.76,1.95,2.26,1.88,1.56,-58.51,1.37,1.63,1.07,1.1,1.04,-24.09
Downtown,220.85,223.01,223.37,223.73,224.45,2,2,0,1,2,3,0,1,1,0,1.63,0,-100,0.33,0.32,0,0.16,0.32,-3.03,0.49,0,0.16,0.16,0,-100
Edgewater,1998.99,1992.99,1986.98,1986.98,1988.19,27,25,20,15,13,12,14,14,7,10,-0.54,-51.85,-16.67,1.62,1.51,1.21,0.91,0.79,-51.23,0.72,0.84,0.85,0.42,0.6,-16.67
Euclid-Green,1460,1447.77,1440.79,1431.18,1425.94,66,63,42,33,36,22,34,33,31,26,-2.33,-45.45,18.18,3.95,3.8,2.55,2.01,2.2,-44.3,1.32,2.05,2,1.89,1.59,20.45
Fairfax,1158.26,1130.94,1099.29,1075.7,1063.91,73,51,62,92,53,22,36,22,47,43,-8.15,-27.4,95.45,3.91,2.8,3.5,5.31,3.09,-20.97,1.18,1.98,1.24,2.71,2.51,112.71
Glenville,2532.03,2496.59,2456.72,2404.59,2392.87,345,292,211,145,333,162,200,102,136,101,-5.5,-3.48,-37.65,3.55,3.05,2.24,1.57,3.63,2.25,1.67,2.09,1.08,1.47,1.1,-34.13
Goodrich-Kirtland Pk,581.67,565.56,558.41,558.41,558.41,9,8,7,12,5,1,9,3,6,9,-4,-44.44,800,0.92,0.84,0.75,1.28,0.53,-42.39,0.1,0.95,0.32,0.64,0.96,860
Hopkins,11.57,11.57,13.54,11.57,11.57,1,2,0,0,0,0,1,0,0,0,0,-100,,2.13,4.26,0,0,0,-100,0,2.13,0,0,0,
Hough,1598.81,1577.66,1535.36,1494.81,1484.82,78,81,74,65,56,36,37,25,39,44,-7.13,-28.21,22.22,2.87,3.02,2.83,2.56,2.22,-22.65,1.32,1.38,0.96,1.53,1.74,31.82
Jefferson,2482.28,2478.8,2470.29,2465.26,2465.65,192,194,166,110,108,105,118,85,107,110,-0.67,-43.75,4.76,2.99,3.03,2.6,1.73,1.69,-43.48,1.64,1.84,1.33,1.68,1.73,5.49
Kamm's,1824.73,1823.93,1822.33,1820.93,1820.73,148,194,116,110,80,84,82,106,69,76,-0.22,-45.95,-9.52,1.62,2.13,1.27,1.21,0.88,-45.68,0.92,0.9,1.16,0.76,0.83,-9.78
Kinsman,1125.2,1119.82,1109.06,1073.21,1072.02,66,42,84,44,40,21,44,22,33,44,-4.73,-39.39,109.52,3.51,2.24,4.53,2.45,2.23,-36.47,1.12,2.35,1.19,1.84,2.45,118.75
Lee-Harvard,2823.18,2818.95,2818.95,2808.68,2808.08,143,174,153,110,98,83,76,76,86,113,-0.53,-31.47,36.14,3.06,3.73,3.28,2.37,2.11,-31.05,1.78,1.63,1.63,1.85,2.43,36.52
Lee-Seville,1449.54,1443.88,1434.68,1424.07,1424.07,50,87,66,51,55,27,34,34,30,51,-1.76,10,88.89,2.44,4.26,3.25,2.53,2.73,11.89,1.32,1.67,1.68,1.49,2.53,91.67
Mount Pleasant,2873.83,2859.64,2798.29,2748.38,2746.09,193,235,137,153,218,75,138,84,107,171,-4.44,12.95,128,3.07,3.76,2.24,2.55,3.63,18.24,1.19,2.21,1.37,1.78,2.85,139.5
North Shore Collinwood,2150.25,2140.99,2129.09,2112.35,2101.33,166,172,172,93,93,69,95,85,84,83,-2.28,-43.98,20.29,3.4,3.54,3.56,1.94,1.95,-42.65,1.41,1.96,1.76,1.75,1.74,23.4
Ohio City,1993.33,1983.4,1969.85,1955.4,1957.2,34,24,24,25,20,18,21,19,16,18,-1.81,-41.18,0,1.54,1.09,1.1,1.15,0.92,-40.26,0.82,0.96,0.87,0.74,0.83,1.22
Old Brooklyn,1954.54,1953.35,1949.44,1945.7,1944.85,263,346,242,185,169,123,156,162,167,148,-0.5,-35.74,20.33,2.29,3.01,2.11,1.62,1.48,-35.37,1.07,1.36,1.41,1.46,1.29,20.56
St.Clair-Superior,1503.99,1478.03,1442.17,1397.67,1390.25,72,72,62,50,63,21,51,20,22,43,-7.56,-12.5,104.76,2.96,3.01,2.66,2.21,2.8,-5.41,0.86,2.13,0.86,0.97,1.91,122.09
Stockyards,1787.3,1771.68,1732.03,1704.39,1698.99,105,78,45,78,64,48,55,49,53,54,-4.94,-39.05,12.5,3.53,2.64,1.56,2.75,2.26,-35.98,1.61,1.87,1.7,1.87,1.91,18.63
Tremont,1312.65,1309.66,1310.26,1300.67,1310.26,35,24,23,24,17,12,16,12,21,11,-0.18,-51.43,-8.33,1.6,1.1,1.05,1.11,0.78,-51.25,0.55,0.73,0.55,0.97,0.5,-9.09
Union-Miles,2379.88,2365.17,2341.38,2304.75,2305.38,250,305,142,123,211,93,149,105,98,138,-3.13,-15.6,48.39,3.29,4.04,1.9,1.67,2.86,-13.07,1.22,1.97,1.4,1.33,1.87,53.28
