neighbor10,count2011,count2012,count2013,count2014,count2015,band12011,band12012,band12013,band12014,band12015,band22011,band22012,band22013,band22014,band22015,band32011,band32012,band32013,band32014,band32015,pctband12011,pctband12012,pctband12013,pctband12014,pctband12015,pctband22011,pctband22012,pctband22013,pctband22014,pctband22015,pctband32011,pctband32012,pctband32013,pctband32014,pctband32015,meanscore2011,meanscore2012,meanscore2013,meanscore2014,meanscore2015
Bellaire-Puritas,108,104,105,118,93,34,48,40,47,7,48,43,44,47,60,26,13,21,24,26,31.48,46.15,38.1,39.83,7.53,44.44,41.35,41.9,39.83,64.52,24.07,12.5,20,20.34,27.96,17.43,14.8,16.54,16.01,24.92
Broadway-Slavic Village,205,173,154,174,130,116,78,81,77,20,67,66,62,71,84,22,29,11,26,26,56.59,45.09,52.6,44.25,15.38,32.68,38.15,40.26,40.8,64.62,10.73,16.76,7.14,14.94,20,13.79,15.68,13.44,15.09,23.58
Brooklyn Centre,97,102,89,92,84,54,63,52,54,31,36,28,31,32,40,7,11,6,6,13,55.67,61.76,58.43,58.7,36.9,37.11,27.45,34.83,34.78,47.62,7.22,10.78,6.74,6.52,15.48,12.49,12.66,12.01,12.63,19.96
Buckeye-Shaker Square,63,51,46,62,43,22,24,18,26,5,29,18,16,27,29,12,9,12,9,9,34.92,47.06,39.13,41.94,11.63,46.03,35.29,34.78,43.55,67.44,19.05,17.65,26.09,14.52,20.93,16.62,14.82,17.28,15.53,23.58
Buckeye-Woodhill,72,68,54,59,67,25,24,20,30,7,34,30,24,22,46,13,14,10,7,14,34.72,35.29,37.04,50.85,10.45,47.22,44.12,44.44,37.29,68.66,18.06,20.59,18.52,11.86,20.9,17.11,16.63,16.72,13.61,24.16
Central,229,228,185,171,153,89,100,80,80,42,106,102,78,71,80,34,26,27,20,31,38.86,43.86,43.24,46.78,27.45,46.29,44.74,42.16,41.52,52.29,14.85,11.4,14.59,11.7,20.26,15.62,15.3,15.05,14.74,22.15
Clark-Fulton,94,90,113,86,77,44,53,68,53,11,40,27,36,27,53,10,10,9,6,13,46.81,58.89,60.18,61.63,14.29,42.55,30,31.86,31.4,68.83,10.64,11.11,7.96,6.98,16.88,14.22,12.42,12.86,11.73,22.9
Collinwood-Nottingham,98,85,74,75,67,39,38,34,32,11,40,35,25,35,40,19,12,15,8,16,39.8,44.71,45.95,42.67,16.42,40.82,41.18,33.78,46.67,59.7,19.39,14.12,20.27,10.67,23.88,16.4,15.73,15.39,15.23,23.27
Cudell,96,95,85,91,85,34,45,39,39,11,45,35,28,37,61,17,15,18,15,13,35.42,47.37,45.88,42.86,12.94,46.88,36.84,32.94,40.66,71.76,17.71,15.79,21.18,16.48,15.29,15.75,14.87,15.47,15.41,23.46
Cuyahoga Valley,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
