cdc_name,count2011,count2012,count2013,count2014,count2015,band12011,band12012,band12013,band12014,band12015,band22011,band22012,band22013,band22014,band22015,band32011,band32012,band32013,band32014,band32015,pctband12011,pctband12012,pctband12013,pctband12014,pctband12015,pctband22011,pctband22012,pctband22013,pctband22014,pctband22015,pctband32011,pctband32012,pctband32013,pctband32014,pctband32015,meanscore2011,meanscore2012,meanscore2013,meanscore2014,meanscore2015
Bellaire Puritas Community Dev. Corp.,186,192,180,194,172,63,76,64,73,14,82,76,72,70,106,41,40,44,51,52,33.87,39.58,35.56,37.63,8.14,44.09,39.58,40,36.08,61.63,22.04,20.83,24.44,26.29,30.23,16.85,16.14,17.18,16.61,25.58
Buckeye Area Dev Corp.,174,149,129,151,142,59,53,45,67,17,78,66,53,63,102,37,30,31,21,23,33.91,35.57,34.88,44.37,11.97,44.83,44.3,41.09,41.72,71.83,21.26,20.13,24.03,13.91,16.2,17.17,16.36,17.23,14.75,23.49
Burton Bell Carr Dev. Corp.,301,308,237,234,215,120,133,113,111,51,133,134,91,94,120,48,41,33,29,44,39.87,43.18,47.68,47.44,23.72,44.19,43.51,38.4,40.17,55.81,15.95,13.31,13.92,12.39,20.47,15.5,15.46,14.53,14.63,22.54
"Campus District, Inc.",55,64,49,36,27,22,26,22,20,7,23,27,23,14,17,10,11,4,2,3,40,40.63,44.9,55.56,25.93,41.82,42.19,46.94,38.89,62.96,18.18,17.19,8.16,5.56,11.11,16.11,16.19,15.04,13.53,22.22
Collinwood Nottingham Villages Dev. Corp.,47,40,42,32,27,20,16,13,14,3,17,16,21,14,14,10,8,8,4,10,42.55,40,30.95,43.75,11.11,36.17,40,50,43.75,51.85,21.28,20,19.05,12.5,37.04,16.17,16.83,16.69,14.53,24.33
"Cudell Improvement, Inc.",122,126,95,119,106,42,54,46,46,14,53,50,33,50,66,27,22,16,23,26,34.43,42.86,48.42,38.66,13.21,43.44,39.68,34.74,42.02,62.26,22.13,17.46,16.84,19.33,24.53,16.4,15.65,14.74,15.82,24.25
Detroit Shoreway Community Dev. Org.,96,103,124,120,99,47,51,73,73,17,39,45,35,34,60,10,7,16,13,22,48.96,49.51,58.87,60.83,17.17,40.63,43.69,28.23,28.33,60.61,10.42,6.8,12.9,10.83,22.22,13.48,14.23,13.11,12.85,23.57
Fairfax Renaissance Dev. Corp.,55,37,25,33,36,19,8,10,16,4,20,19,8,13,24,16,10,7,4,8,34.55,21.62,40,48.48,11.11,36.36,51.35,32,39.39,66.67,29.09,27.03,28,12.12,22.22,17,19.16,17.2,15.36,24.94
Famicos Foundation,194,178,146,135,132,66,71,53,58,13,93,76,67,57,77,35,31,26,20,42,34.02,39.89,36.3,42.96,9.85,47.94,42.7,45.89,42.22,58.33,18.04,17.42,17.81,14.81,31.82,16.74,15.74,16.51,15.6,25.39
Flats Forward,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
