neighbor10,ams_res2011,ams_res2012,ams_res2013,ams_res2014,ams_res2015,res_occ2011,res_occ2012,res_occ2013,res_occ2014,res_occ2015,ams_bus2011,ams_bus2012,ams_bus2013,ams_bus2014,ams_bus2015,bus_occ2011,bus_occ2012,bus_occ2013,bus_occ2014,bus_occ2015,_res_occ2011,_res_occ2012,_res_occ2013,_res_occ2014,_res_occ2015,_bus_occ2011,_bus_occ2012,_bus_occ2013,_bus_occ2014,_bus_occ2015,pctchgrt_res,pctchgrt_bus
Bellaire-Puritas,6354.7530381,6597.9407108,6598.7317588,6597.9424073,6634.6302409,5843.3960287,6105.7712733,6168.7194361,6186.6918112,6279.5539236,551.88238195,623.0940242,619.91457161,615.66457161,606.6318851,491.77169539,560.05388506,555.43881181,551.6457765,546.60423172,91.95,92.54,93.48,93.77,94.65,89.11,89.88,89.6,89.6,90.1,2.94,1.11
Broadway-Slavic Village,12882.650558,12573.64533,12253.87918,11987.160502,11922.288463,10100.420958,9718.7230593,9493.5106622,9134.1742463,9305.3776016,1011.010397,1004.7985049,989.40517604,979.95633544,973.320969,846.85383136,803.39483614,791.60963505,783.12239104,783.44777812,78.4,77.29,77.47,76.2,78.05,83.76,79.96,80.01,79.91,80.49,-0.45,-3.9
Brooklyn Centre,4122.4636283,4091.6416828,4070.8055022,4050.8485599,3999.4403461,3630.9422796,3637.5182389,3575.3157428,3499.5699577,3482.8223534,186.46649581,179.43944945,178.83071464,178.11808787,173.63522886,158.27526795,153.95220507,150.21317302,145.19378731,139.62066815,88.08,88.9,87.83,86.39,87.08,84.88,85.8,84,81.52,80.41,-1.14,-5.27
Buckeye-Shaker Square,8489,9426,9439.75,9438.5,9471.5,7199.5,8147.25,8022.25,8080.5,8290.25,503,701,676,665.25,642.75,449.75,640.75,613.5,600.5,575.5,84.81,86.43,84.98,85.61,87.53,89.41,91.41,90.75,90.27,89.54,3.21,0.15
Buckeye-Woodhill,3727.5059704,3726.3872914,3764.1568524,3712.4810808,3722.0284352,3086.6841549,3120.5821519,3152.9489409,3077.6170905,3123.6841764,278.21880903,278.57866831,278.29348747,274.33066345,277.88297649,232.32185999,233.59945585,233.90659429,228.65319955,233.88012397,82.81,83.74,83.76,82.9,83.92,83.5,83.85,84.05,83.35,84.16,1.34,0.79
Central,5389.7656028,5365.0347518,5376.0975177,5335.8475177,5198.3010638,4949.5599291,4961.5968085,4933.5294326,4921.2407801,4918.9464539,777.22730496,763.08333333,758.78687943,765.54432624,770.69361702,684.07624113,663.17411348,653.34007092,650.66843972,664.34397163,91.83,92.48,91.77,92.23,94.63,88.01,86.91,86.1,84.99,86.2,3.05,-2.06
Clark-Fulton,3789.0006077,3733.1595881,3745.4018472,3718.450865,3655.1326403,3243.1589708,3216.0250521,3237.1087182,3177.3868216,3143.5181356,371.263472,366.16249646,365.39522701,366.67124561,367.10706387,317.10682794,310.44813047,304.15557576,303.55320513,307.45818066,85.59,86.15,86.43,85.45,86,85.41,84.78,83.24,82.79,83.75,0.48,-1.94
Collinwood-Nottingham,6715.7753598,7233.0170877,7087.6505952,6997.7808633,6917.7276273,5523.0269458,5974.0273718,5781.5821433,5763.2741156,5718.1089491,715.96552188,818.11710904,804.32988478,785.54886456,761.0892665,604.2406407,690.97430954,671.98793379,641.42414478,620.57854533,82.24,82.59,81.57,82.36,82.66,84.4,84.46,83.55,81.65,81.54,0.51,-3.39
Cudell,4702.2001568,4681.872097,4658.5481907,4597.1346584,4547.4857969,3975.1430706,3942.6912638,3970.5690128,3906.4677133,3905.5361677,291.5233591,289.82999103,289.38791463,284.18329895,282.96610322,213.60595474,212.18971868,216.85460676,214.86736856,215.25592892,84.54,84.21,85.23,84.98,85.88,73.27,73.21,74.94,75.61,76.07,1.59,3.82
Cuyahoga Valley,651.57433868,1759.2727241,1805.6240356,1856.6430545,1884.290327,626.06637086,1733.047163,1779.3993534,1833.3188537,1864.4987966,350.5129628,938.80219741,890.40622912,839.30466574,808.95439746,324.55120112,914.77492035,868.79744181,818.61505759,789.65040507,96.09,98.51,98.55,98.74,98.95,92.59,97.44,97.57,97.53,97.61,2.98,5.42
Detroit Shoreway,6263.3736444,6515.3680631,6484.4476912,6448.716213,6425.6943691,5035.1490087,5310.6062767,5367.5639387,5354.4088648,5497.7475497,556.98471696,607.70833742,614.93059374,607.92782487,606.81337754,415.42791747,460.27526212,481.71537819,474.47382092,478.66925751,80.39,81.51,82.78,83.03,85.56,74.59,75.74,78.34,78.05,78.88,6.43,5.75
Downtown,5802.5676424,6412.8858782,6594.8579905,7585.8831092,8123.8947785,5419.0826741,6117.5539953,6327.0112737,7401.0116693,8012.729826,4256.2414953,4395.2262658,4419.9950554,4396.6661392,4413.3107199,3452.7511867,3492.4683544,3516.4505538,3449.1869067,3502.0555775,93.39,95.39,95.94,97.56,98.63,81.12,79.46,79.56,78.45,79.35,5.61,-2.18
Edgewater,3937.75,3959.5,3961.75,3967.75,3976,3537.5,3562.25,3568.75,3576.25,3646,176.25,173.5,170,169,169.25,140,135.25,129.5,130.25,132.5,89.84,89.97,90.08,90.13,91.7,79.43,77.95,76.18,77.07,78.29,2.07,-1.44
Euclid-Green,2938.75,2936,2929.75,2915.25,2842,2469.5,2500.25,2450.25,2477.5,2409.5,173.75,176,176,175,175,138.25,125,120.5,124.25,123,84.03,85.16,83.63,84.98,84.78,79.57,71.02,68.47,71,70.29,0.89,-11.66
Fairfax,3792.4701089,3784.5491411,3710.9728456,3663.5538917,3653.2289266,3020.1011096,3052.8038476,2991.0819915,2978.0358231,3014.1470955,384.66435242,384.68289009,380.32192717,376.78552713,370.28597543,338.03734461,340.74291074,335.76880118,332.14432229,328.80844769,79.63,80.66,80.6,81.29,82.51,87.88,88.58,88.29,88.15,88.8,3.62,1.05
Glenville,16499.247118,17072.786735,16765.127575,16540.037666,16336.458962,12463.5783,12805.620008,12403.513608,12213.956936,12157.009605,709.66400003,773.73402184,772.64970263,772.98807435,771.55323778,583.899714,633.56425842,621.46155295,616.95058003,613.14797052,75.54,75.01,73.98,73.84,74.42,82.28,81.88,80.43,79.81,79.47,-1.48,-3.42
Goodrich-Kirtland Pk,2563,3229.25,3226.25,3231.75,3234,2338.25,3018.25,3016,3017.5,3054,1145,1249.25,1245.75,1229.25,1236,1008,1105.5,1100.25,1068.5,1082.25,91.23,93.47,93.48,93.37,94.43,88.03,88.49,88.32,86.92,87.56,3.51,-0.53
Hopkins,271.59437984,736.23821102,759.69866662,783.49048377,801.25841887,267.40139349,733.23605608,756.91305332,780.56125923,798.682064,165.02173367,371.88626128,349.33420327,325.3955973,310.89117335,157.00022557,366.40845239,344.92614719,316.53021403,296.67986211,98.46,99.59,99.63,99.63,99.68,95.14,98.53,98.74,97.28,95.43,1.24,0.3
Hough,6827.6722316,7015.3025228,6971.8198244,6875.0809549,6841.2004647,5907.1134265,6076.8756049,5994.9965983,5879.6978045,5845.5860525,331.10747603,380.40523739,371.02952503,360.70658516,352.06227678,298.92257439,349.70697196,338.9819949,326.92621189,322.33140621,86.52,86.62,85.99,85.52,85.45,90.28,91.93,91.36,90.63,91.56,-1.24,1.42
